CAN Message; 0x24:0599ad6e2b8175b8
Timestamp;Amplitude
1739209652.2799494;-38.13080360867914
1739209652.2799604;-33.981070128970906
1739209652.2799714;-45.120503652039325
1739209652.2799823;-45.120503652039325
1739209652.279993;-38.13080360867914
1739209652.280004;-35.57807855764607
1739209652.280015;-38.13080360867914
1739209652.280026;-38.13080360867914
1739209652.280037;-38.13080360867914
1739209652.280048;-33.981070128970906
1739209652.2800589;-38.13080360867914
1739209652.2800698;-45.120503652039325
1739209652.2800806;-45.120503652039325
1739209652.2800915;-45.120503652039325
1739209652.2801025;-38.13080360867914
1739209652.2801135;-38.13080360867914
1739209652.2801244;-32.816014438256545
1739209652.2801354;-33.981070128970906
1739209652.2801464;-38.13080360867914
1739209652.2801573;-45.120503652039325
1739209652.280168;-38.13080360867914
1739209652.280179;-38.13080360867914
1739209652.28019;-45.120503652039325
1739209652.280201;-45.120503652039325
1739209652.280212;-45.120503652039325
1739209652.280223;-38.13080360867914
1739209652.2802339;-45.120503652039325
1739209652.2802448;-38.13080360867914
1739209652.2802556;-38.13080360867914
1739209652.2802665;-38.13080360867914
1739209652.2802775;-38.13080360867914
1739209652.2802885;-45.120503652039325
1739209652.2802994;-38.13080360867914
1739209652.2803104;-38.13080360867914
1739209652.2803214;-45.120503652039325
1739209652.2803323;-38.13080360867914
1739209652.280343;-33.981070128970906
1739209652.280354;-33.981070128970906
1739209652.280365;-38.13080360867914
1739209652.280376;-38.13080360867914
1739209652.280387;-45.120503652039325
1739209652.280398;-33.981070128970906
1739209652.2804089;-33.981070128970906
1739209652.2804198;-38.13080360867914
1739209652.2804306;-38.13080360867914
1739209652.2804415;-38.13080360867914
1739209652.2804525;-35.57807855764607
1739209652.2804635;-38.13080360867914
1739209652.2804744;-38.13080360867914
1739209652.2804854;-33.981070128970906
1739209652.2804964;-35.57807855764607
1739209652.2805073;-45.120503652039325
1739209652.280518;-38.13080360867914
1739209652.280529;-38.13080360867914
1739209652.28054;-45.120503652039325
1739209652.280551;-38.13080360867914
1739209652.280562;-35.57807855764607
1739209652.280573;-31.141103565318915
1739209652.2805839;-28.992665084841942
1739209652.2805948;-45.120503652039325
1739209652.2806056;-45.120503652039325
1739209652.2806165;-35.57807855764607
1739209652.2806275;-38.13080360867914
1739209652.2806385;-45.120503652039325
1739209652.2806494;-38.13080360867914
1739209652.2806604;-38.13080360867914
1739209652.2806714;-38.13080360867914
1739209652.2806823;-38.13080360867914
1739209652.2806933;-38.13080360867914
1739209652.280704;-45.120503652039325
1739209652.280715;-45.120503652039325
1739209652.280726;-38.13080360867914
1739209652.280737;-35.57807855764607
1739209652.280748;-38.13080360867914
1739209652.2807589;-30.49652367304973
1739209652.2807698;-35.57807855764607
1739209652.2807808;-45.120503652039325
1739209652.2807915;-38.13080360867914
1739209652.2808025;-33.981070128970906
1739209652.2808135;-45.120503652039325
1739209652.2808244;-45.120503652039325
1739209652.2808354;-45.120503652039325
1739209652.2808464;-38.13080360867914
1739209652.2808573;-38.13080360867914
1739209652.2808683;-38.13080360867914
1739209652.280879;-45.120503652039325
1739209652.28089;-35.57807855764607
1739209652.280901;-38.13080360867914
1739209652.280912;-38.13080360867914
1739209652.280923;-35.57807855764607
1739209652.2809339;-45.120503652039325
1739209652.2809448;-38.13080360867914
1739209652.2809558;-45.120503652039325
1739209652.2809665;-45.120503652039325
1739209652.2809775;-35.57807855764607
1739209652.2809885;-33.981070128970906
1739209652.2809994;-38.13080360867914
1739209652.2810104;-45.120503652039325
1739209652.2810214;-26.991370085610722
1739209652.2810323;-33.981070128970906
1739209652.2810433;-45.120503652039325
1739209652.281054;-45.120503652039325
1739209652.281065;-35.57807855764607
1739209652.281076;-45.120503652039325
1739209652.281087;-38.13080360867914
1739209652.281098;-45.120503652039325
1739209652.2811089;-38.13080360867914
1739209652.2811198;-45.120503652039325
1739209652.2811308;-45.120503652039325
1739209652.2811415;-45.120503652039325
1739209652.2811525;-38.13080360867914
1739209652.2811635;-33.981070128970906
1739209652.2811744;-45.120503652039325
1739209652.2811854;-45.120503652039325
1739209652.2811964;-30.49652367304973
1739209652.2812073;-31.141103565318893
1739209652.2812183;-45.120503652039325
1739209652.281229;-38.13080360867914
1739209652.28124;-31.141103565318915
1739209652.281251;-45.120503652039325
1739209652.281262;-45.120503652039325
1739209652.281273;-45.120503652039325
1739209652.2812839;-45.120503652039325
1739209652.2812948;-45.120503652039325
1739209652.2813058;-38.13080360867914
1739209652.2813165;-38.13080360867914
1739209652.2813275;-35.57807855764607
1739209652.2813385;-35.57807855764607
1739209652.2813494;-45.120503652039325
1739209652.2813604;-38.13080360867914
1739209652.2813714;-35.57807855764607
1739209652.2813823;-31.141103565318915
1739209652.2813933;-38.13080360867914
1739209652.2814043;-38.13080360867914
1739209652.281415;-45.120503652039325
1739209652.281426;-38.13080360867914
1739209652.281437;-38.13080360867914
1739209652.281448;-38.13080360867914
1739209652.2814589;-45.120503652039325
1739209652.2814698;-45.120503652039325
1739209652.2814808;-45.120503652039325
1739209652.2814918;-45.120503652039325
1739209652.2815025;-35.57807855764607
1739209652.2815135;-32.816014438256545
1739209652.2815244;-45.120503652039325
1739209652.2815354;-38.13080360867914
1739209652.2815464;-45.120503652039325
1739209652.2815573;-45.120503652039325
1739209652.2815683;-38.13080360867914
1739209652.2815793;-38.13080360867914
1739209652.28159;-38.13080360867914
1739209652.281601;-38.13080360867914
1739209652.281612;-38.13080360867914
1739209652.281623;-45.120503652039325
1739209652.2816339;-32.816014438256545
1739209652.2816448;-32.816014438256545
1739209652.2816558;-45.120503652039325
1739209652.2816668;-38.13080360867914
1739209652.2816775;-32.816014438256545
1739209652.2816885;-35.57807855764607
1739209652.2816994;-45.120503652039325
1739209652.2817104;-38.13080360867914
