CAN Message; 0x62:0b84295bb2e7fe8b
Timestamp;Amplitude
1739209643.738617;-32.816014438256545
1739209643.7386231;-38.13080360867914
1739209643.7386296;-38.13080360867914
1739209643.738636;-38.13080360867914
1739209643.7386422;-35.57807855764607
1739209643.7386487;-35.57807855764607
1739209643.738655;-45.120503652039325
1739209643.7386613;-45.120503652039325
1739209643.7386677;-45.120503652039325
1739209643.7386742;-45.120503652039325
1739209643.7386806;-45.120503652039325
1739209643.7386868;-45.120503652039325
1739209643.7386932;-38.13080360867914
1739209643.7386997;-32.816014438256545
1739209643.7387059;-45.120503652039325
1739209643.7387123;-33.981070128970906
1739209643.7387187;-31.141103565318915
1739209643.738725;-38.13080360867914
1739209643.7387314;-45.120503652039325
1739209643.7387378;-38.13080360867914
1739209643.738744;-38.13080360867914
1739209643.7387505;-38.13080360867914
1739209643.738757;-38.13080360867914
1739209643.738763;-45.120503652039325
1739209643.7387695;-45.120503652039325
1739209643.738776;-45.120503652039325
1739209643.7387822;-45.120503652039325
1739209643.7387886;-45.120503652039325
1739209643.738795;-38.13080360867914
1739209643.7388012;-45.120503652039325
1739209643.7388077;-45.120503652039325
1739209643.738814;-45.120503652039325
1739209643.7388206;-38.13080360867914
1739209643.7388268;-38.13080360867914
1739209643.7388332;-45.120503652039325
1739209643.7388396;-38.13080360867914
1739209643.7388458;-38.13080360867914
1739209643.7388523;-45.120503652039325
1739209643.7388587;-45.120503652039325
1739209643.738865;-38.13080360867914
1739209643.7388713;-28.58837851428586
1739209643.7388778;-45.120503652039325
1739209643.738884;-45.120503652039325
1739209643.7388904;-38.13080360867914
1739209643.7388968;-38.13080360867914
1739209643.738903;-38.13080360867914
1739209643.7389095;-38.13080360867914
1739209643.738916;-45.120503652039325
1739209643.738922;-31.141103565318943
1739209643.7389286;-45.120503652039325
1739209643.738935;-38.13080360867914
1739209643.7389412;-45.120503652039325
1739209643.7389476;-38.13080360867914
1739209643.738954;-35.57807855764607
1739209643.7389605;-45.120503652039325
1739209643.7389667;-38.13080360867914
1739209643.7389731;-32.816014438256545
1739209643.7389796;-45.120503652039325
1739209643.7389858;-38.13080360867914
1739209643.7389922;-38.13080360867914
1739209643.7389987;-38.13080360867914
1739209643.7390049;-38.13080360867914
1739209643.7390113;-45.120503652039325
1739209643.7390177;-45.120503652039325
1739209643.739024;-33.981070128970906
1739209643.7390304;-45.120503652039325
1739209643.7390368;-45.120503652039325
1739209643.739043;-45.120503652039325
1739209643.7390494;-35.57807855764607
1739209643.7390559;-38.13080360867914
1739209643.739062;-45.120503652039325
1739209643.7390685;-45.120503652039325
1739209643.739075;-33.981070128970956
1739209643.7390814;-45.120503652039325
1739209643.7390876;-45.120503652039325
1739209643.739094;-45.120503652039325
1739209643.7391005;-45.120503652039325
1739209643.7391067;-33.981070128970906
1739209643.739113;-45.120503652039325
1739209643.7391195;-38.13080360867914
1739209643.7391257;-29.438486411369333
1739209643.7391322;-35.57807855764607
1739209643.7391386;-45.120503652039325
1739209643.7391448;-38.13080360867914
1739209643.7391512;-45.120503652039325
1739209643.7391577;-45.120503652039325
1739209643.7391639;-38.13080360867914
1739209643.7391703;-45.120503652039325
1739209643.7391768;-45.120503652039325
1739209643.739183;-38.13080360867914
1739209643.7391894;-38.13080360867914
1739209643.7391958;-45.120503652039325
1739209643.739202;-45.120503652039325
1739209643.7392085;-38.13080360867914
1739209643.739215;-45.120503652039325
1739209643.7392213;-45.120503652039325
1739209643.7392275;-45.120503652039325
1739209643.739234;-45.120503652039325
1739209643.7392404;-35.57807855764607
1739209643.7392466;-38.13080360867914
1739209643.739253;-45.120503652039325
1739209643.7392595;-33.981070128970906
1739209643.7392657;-45.120503652039325
1739209643.739272;-45.120503652039325
1739209643.7392786;-35.57807855764607
1739209643.7392848;-38.13080360867914
1739209643.7392912;-32.816014438256545
