CAN Message; 0x98:00005dbae680c4de
Timestamp;Amplitude
1739209867.7749734;-45.120503652039325
1739209867.7749832;-45.120503652039325
1739209867.7749927;-45.120503652039325
1739209867.7750022;-38.13080360867914
1739209867.775012;-45.120503652039325
1739209867.7750216;-32.816014438256545
1739209867.775031;-33.981070128970956
1739209867.7750409;-38.13080360867914
1739209867.7750504;-35.57807855764607
1739209867.77506;-38.13080360867914
1739209867.7750697;-38.13080360867914
1739209867.7750793;-45.120503652039325
1739209867.7750888;-38.13080360867914
1739209867.7750986;-38.13080360867914
1739209867.775108;-31.141103565318915
1739209867.7751179;-29.438486411369333
1739209867.7751274;-45.120503652039325
1739209867.775137;-38.13080360867914
1739209867.7751467;-35.57807855764607
1739209867.7751563;-35.57807855764607
1739209867.7751658;-45.120503652039325
1739209867.7751756;-45.120503652039325
1739209867.775185;-45.120503652039325
1739209867.7751946;-45.120503652039325
1739209867.7752044;-38.13080360867914
1739209867.775214;-38.13080360867914
1739209867.7752235;-45.120503652039325
1739209867.7752333;-45.120503652039325
1739209867.7752428;-45.120503652039325
1739209867.7752523;-45.120503652039325
1739209867.775262;-45.120503652039325
1739209867.7752717;-45.120503652039325
1739209867.7752812;-33.981070128970906
1739209867.775291;-38.13080360867914
1739209867.7753005;-45.120503652039325
1739209867.77531;-45.120503652039325
1739209867.7753198;-35.57807855764607
1739209867.7753294;-38.13080360867914
1739209867.775339;-33.981070128970906
1739209867.7753487;-30.49652367304973
1739209867.7753582;-38.13080360867914
1739209867.7753677;-33.981070128970906
1739209867.7753775;-38.13080360867914
1739209867.775387;-38.13080360867914
1739209867.7753968;-45.120503652039325
1739209867.7754064;-45.120503652039325
1739209867.775416;-45.120503652039325
1739209867.7754257;-45.120503652039325
1739209867.7754352;-45.120503652039325
1739209867.7754447;-45.120503652039325
1739209867.7754545;-35.57807855764607
1739209867.775464;-32.816014438256545
1739209867.7754736;-45.120503652039325
1739209867.7754834;-45.120503652039325
1739209867.775493;-38.13080360867914
1739209867.7755024;-45.120503652039325
1739209867.7755122;-45.120503652039325
1739209867.7755218;-45.120503652039325
1739209867.7755313;-45.120503652039325
1739209867.775541;-45.120503652039325
1739209867.7755506;-35.57807855764607
1739209867.7755601;-32.816014438256545
1739209867.77557;-38.13080360867914
1739209867.7755795;-35.57807855764607
1739209867.775589;-38.13080360867914
1739209867.7755988;-45.120503652039325
1739209867.7756083;-35.57807855764607
1739209867.7756178;-38.13080360867914
1739209867.7756276;-38.13080360867914
1739209867.7756371;-45.120503652039325
1739209867.7756467;-38.13080360867914
1739209867.7756565;-45.120503652039325
1739209867.775666;-45.120503652039325
1739209867.7756758;-45.120503652039325
1739209867.7756853;-38.13080360867914
1739209867.7756948;-38.13080360867914
1739209867.7757046;-38.13080360867914
1739209867.7757142;-38.13080360867914
1739209867.7757237;-35.57807855764607
1739209867.7757335;-38.13080360867914
1739209867.775743;-38.13080360867914
1739209867.7757525;-38.13080360867914
1739209867.7757623;-38.13080360867914
1739209867.7757719;-38.13080360867914
1739209867.7757814;-38.13080360867914
1739209867.7757912;-45.120503652039325
1739209867.7758007;-45.120503652039325
1739209867.7758102;-38.13080360867914
1739209867.77582;-38.13080360867914
1739209867.7758296;-38.13080360867914
1739209867.775839;-38.13080360867914
1739209867.7758489;-35.57807855764607
1739209867.7758584;-38.13080360867914
1739209867.775868;-45.120503652039325
1739209867.7758777;-38.13080360867914
1739209867.7758873;-45.120503652039325
