CAN Message; 0x1a7:0000fe1a0841116b
Timestamp;Amplitude
1739209758.9029198;-38.13080360867914
1739209758.9029238;-45.120503652039325
1739209758.9029276;-38.13080360867914
1739209758.9029317;-33.981070128970906
1739209758.9029355;-45.120503652039325
1739209758.9029396;-45.120503652039325
1739209758.9029434;-38.13080360867914
1739209758.9029474;-45.120503652039325
1739209758.9029512;-38.13080360867914
1739209758.9029553;-33.981070128970906
1739209758.902959;-38.13080360867914
1739209758.9029632;-32.816014438256545
1739209758.902967;-38.13080360867914
1739209758.902971;-45.120503652039325
1739209758.9029748;-45.120503652039325
1739209758.902979;-38.13080360867914
1739209758.9029827;-45.120503652039325
1739209758.9029868;-45.120503652039325
1739209758.9029906;-33.981070128970906
1739209758.9029946;-28.992665084841942
1739209758.9029984;-38.13080360867914
1739209758.9030025;-38.13080360867914
1739209758.9030063;-38.13080360867914
1739209758.9030104;-38.13080360867914
1739209758.9030142;-38.13080360867914
1739209758.9030182;-38.13080360867914
1739209758.903022;-38.13080360867914
1739209758.903026;-32.81601443825658
1739209758.90303;-38.13080360867914
1739209758.903034;-35.57807855764607
1739209758.9030378;-45.120503652039325
1739209758.9030416;-45.120503652039325
1739209758.9030457;-38.13080360867914
1739209758.9030495;-38.13080360867914
1739209758.9030535;-33.981070128970906
1739209758.9030573;-28.992665084841942
1739209758.9030614;-45.120503652039325
1739209758.9030652;-45.120503652039325
1739209758.9030693;-38.13080360867914
1739209758.903073;-38.13080360867914
1739209758.9030771;-45.120503652039325
1739209758.903081;-45.120503652039325
1739209758.903085;-38.13080360867914
1739209758.9030888;-45.120503652039325
1739209758.9030929;-45.120503652039325
1739209758.9030967;-45.120503652039325
1739209758.9031007;-38.13080360867914
1739209758.9031045;-38.13080360867914
1739209758.9031086;-45.120503652039325
1739209758.9031124;-45.120503652039325
1739209758.9031165;-45.120503652039325
1739209758.9031203;-38.13080360867914
1739209758.9031243;-45.120503652039325
1739209758.9031281;-45.120503652039325
1739209758.9031322;-45.120503652039325
1739209758.903136;-38.13080360867914
1739209758.90314;-38.13080360867914
1739209758.903144;-38.13080360867914
1739209758.903148;-38.13080360867914
1739209758.9031518;-26.991370085610722
1739209758.9031556;-38.13080360867914
1739209758.9031596;-35.57807855764607
1739209758.9031634;-35.57807855764607
1739209758.9031675;-38.13080360867914
1739209758.9031713;-45.120503652039325
1739209758.9031754;-35.57807855764607
1739209758.9031792;-38.13080360867914
1739209758.9031832;-33.981070128970956
1739209758.903187;-45.120503652039325
1739209758.903191;-38.13080360867914
1739209758.903195;-38.13080360867914
1739209758.903199;-45.120503652039325
1739209758.9032028;-38.13080360867914
