CAN Message; 0x1a7:00006f0c51ac3c35
Timestamp;Amplitude
1739209909.543064;-38.13080360867914
1739209909.5430682;-38.13080360867914
1739209909.543072;-38.13080360867914
1739209909.543076;-38.13080360867914
1739209909.54308;-45.120503652039325
1739209909.5430841;-35.57807855764607
1739209909.5430882;-45.120503652039325
1739209909.5430923;-45.120503652039325
1739209909.543096;-38.13080360867914
1739209909.5431;-35.57807855764607
1739209909.5431042;-38.13080360867914
1739209909.5431082;-45.120503652039325
1739209909.5431123;-38.13080360867914
1739209909.5431163;-45.120503652039325
1739209909.5431201;-45.120503652039325
1739209909.5431242;-45.120503652039325
1739209909.5431283;-45.120503652039325
1739209909.5431323;-38.13080360867914
1739209909.5431364;-38.13080360867914
1739209909.5431404;-45.120503652039325
1739209909.5431442;-38.13080360867914
1739209909.5431483;-45.120503652039325
1739209909.5431523;-38.13080360867914
1739209909.5431564;-31.141103565318893
1739209909.5431604;-45.120503652039325
1739209909.5431643;-38.13080360867914
1739209909.5431683;-38.13080360867914
1739209909.5431724;-38.13080360867914
1739209909.5431764;-35.57807855764607
1739209909.5431805;-38.13080360867914
1739209909.5431845;-38.13080360867914
1739209909.5431883;-45.120503652039325
1739209909.5431924;-45.120503652039325
1739209909.5431964;-35.57807855764607
1739209909.5432005;-35.57807855764607
1739209909.5432045;-45.120503652039325
1739209909.5432086;-45.120503652039325
1739209909.5432124;-33.981070128970906
1739209909.5432165;-45.120503652039325
1739209909.5432205;-32.816014438256545
1739209909.5432246;-38.13080360867914
1739209909.5432286;-35.57807855764607
1739209909.5432327;-38.13080360867914
1739209909.5432365;-38.13080360867914
1739209909.5432405;-38.13080360867914
1739209909.5432446;-45.120503652039325
1739209909.5432487;-38.13080360867914
1739209909.5432527;-45.120503652039325
1739209909.5432565;-38.13080360867914
1739209909.5432606;-38.13080360867914
1739209909.5432646;-38.13080360867914
1739209909.5432687;-45.120503652039325
1739209909.5432727;-38.13080360867914
1739209909.5432768;-38.13080360867914
1739209909.5432806;-38.13080360867914
1739209909.5432847;-45.120503652039325
1739209909.5432887;-45.120503652039325
1739209909.5432928;-38.13080360867914
1739209909.5432968;-38.13080360867914
1739209909.5433009;-38.13080360867914
1739209909.5433047;-45.120503652039325
1739209909.5433087;-38.13080360867914
1739209909.5433128;-45.120503652039325
