CAN Message; 0x77:ea68fed32fb77d7b
Timestamp;Amplitude
1739209889.9485157;-45.120503652039325
1739209889.9485192;-38.13080360867914
1739209889.9485226;-45.120503652039325
1739209889.9485261;-45.120503652039325
1739209889.9485295;-38.13080360867914
1739209889.948533;-38.13080360867914
1739209889.9485364;-35.57807855764607
1739209889.94854;-38.13080360867914
1739209889.9485433;-45.120503652039325
1739209889.948547;-45.120503652039325
1739209889.9485502;-38.13080360867914
1739209889.9485538;-38.13080360867914
1739209889.9485574;-45.120503652039325
1739209889.9485607;-45.120503652039325
1739209889.9485643;-45.120503652039325
1739209889.9485676;-45.120503652039325
1739209889.9485712;-45.120503652039325
1739209889.9485745;-31.141103565318915
1739209889.9485781;-32.816014438256545
1739209889.9485815;-38.13080360867914
1739209889.948585;-38.13080360867914
1739209889.9485884;-35.57807855764607
1739209889.948592;-35.57807855764607
1739209889.9485953;-45.120503652039325
1739209889.9485989;-45.120503652039325
1739209889.9486022;-45.120503652039325
1739209889.9486058;-45.120503652039325
1739209889.9486094;-38.13080360867914
1739209889.9486127;-45.120503652039325
1739209889.9486163;-38.13080360867914
1739209889.9486196;-33.981070128970906
1739209889.9486232;-38.13080360867914
1739209889.9486265;-45.120503652039325
1739209889.94863;-38.13080360867914
1739209889.9486334;-38.13080360867914
1739209889.948637;-38.13080360867914
1739209889.9486403;-45.120503652039325
1739209889.948644;-33.981070128970906
1739209889.9486473;-38.13080360867914
1739209889.9486508;-45.120503652039325
1739209889.9486542;-32.816014438256545
1739209889.9486578;-38.13080360867914
1739209889.948661;-38.13080360867914
1739209889.9486647;-38.13080360867914
1739209889.9486682;-45.120503652039325
1739209889.9486716;-45.120503652039325
1739209889.9486752;-45.120503652039325
1739209889.9486785;-38.13080360867914
1739209889.948682;-38.13080360867914
1739209889.9486854;-35.57807855764607
1739209889.948689;-45.120503652039325
1739209889.9486923;-45.120503652039325
1739209889.948696;-45.120503652039325
1739209889.9486992;-38.13080360867914
1739209889.9487028;-35.57807855764607
1739209889.9487062;-38.13080360867914
1739209889.9487097;-45.120503652039325
1739209889.948713;-35.57807855764607
1739209889.9487166;-35.57807855764607
1739209889.9487202;-45.120503652039325
1739209889.9487236;-38.13080360867914
1739209889.9487271;-45.120503652039325
1739209889.9487305;-45.120503652039325
1739209889.948734;-38.13080360867914
1739209889.9487374;-45.120503652039325
1739209889.948741;-45.120503652039325
1739209889.9487443;-45.120503652039325
1739209889.9487479;-45.120503652039325
1739209889.9487512;-45.120503652039325
1739209889.9487548;-38.13080360867914
1739209889.9487581;-45.120503652039325
1739209889.9487617;-45.120503652039325
1739209889.948765;-45.120503652039325
1739209889.9487686;-35.57807855764607
1739209889.9487722;-28.21854285175415
1739209889.9487755;-38.13080360867914
1739209889.948779;-38.13080360867914
1739209889.9487824;-38.13080360867914
1739209889.948786;-35.57807855764607
1739209889.9487894;-45.120503652039325
1739209889.948793;-45.120503652039325
1739209889.9487963;-45.120503652039325
1739209889.9487998;-35.57807855764607
1739209889.9488032;-38.13080360867914
1739209889.9488068;-35.57807855764607
1739209889.94881;-45.120503652039325
1739209889.9488137;-45.120503652039325
1739209889.948817;-38.13080360867914
1739209889.9488206;-45.120503652039325
1739209889.9488242;-35.57807855764607
1739209889.9488275;-29.438486411369333
1739209889.948831;-38.13080360867914
1739209889.9488344;-45.120503652039325
1739209889.948838;-38.13080360867914
1739209889.9488413;-32.816014438256545
1739209889.948845;-45.120503652039325
1739209889.9488482;-45.120503652039325
1739209889.9488518;-45.120503652039325
1739209889.9488552;-33.981070128970906
1739209889.9488587;-38.13080360867914
1739209889.948862;-45.120503652039325
1739209889.95331;-33.981070128970906
1739209889.953314;-38.13080360867914
1739209889.9533179;-45.120503652039325
1739209889.9533217;-35.57807855764607
1739209889.9533255;-32.816014438256545
1739209889.9533296;-38.13080360867914
1739209889.9533334;-45.120503652039325
1739209889.9533372;-38.13080360867914
1739209889.953341;-31.141103565318915
1739209889.953345;-28.992665084841942
1739209889.9533489;-38.13080360867914
1739209889.9533527;-38.13080360867914
1739209889.9533565;-38.13080360867914
1739209889.9533606;-38.13080360867914
1739209889.9533644;-38.13080360867914
1739209889.9533682;-38.13080360867914
1739209889.9533722;-33.981070128970906
1739209889.953376;-33.981070128970906
1739209889.9533799;-45.120503652039325
1739209889.9533837;-38.13080360867914
1739209889.9533877;-45.120503652039325
1739209889.9533916;-45.120503652039325
1739209889.9533954;-45.120503652039325
1739209889.9533992;-33.981070128970906
1739209889.9534032;-33.981070128970906
1739209889.953407;-32.816014438256545
1739209889.9534109;-45.120503652039325
1739209889.9534147;-38.13080360867914
1739209889.9534187;-33.981070128970906
1739209889.9534225;-38.13080360867914
1739209889.9534264;-45.120503652039325
1739209889.9534304;-45.120503652039325
1739209889.9534342;-38.13080360867914
1739209889.953438;-33.981070128970906
1739209889.9534419;-45.120503652039325
1739209889.953446;-38.13080360867914
1739209889.9534497;-45.120503652039325
1739209889.9534535;-45.120503652039325
1739209889.9534574;-45.120503652039325
1739209889.9534614;-45.120503652039325
1739209889.9534652;-45.120503652039325
1739209889.953469;-45.120503652039325
1739209889.9534729;-38.13080360867914
1739209889.953477;-45.120503652039325
1739209889.9534807;-38.13080360867914
1739209889.9534845;-32.816014438256545
1739209889.9534886;-38.13080360867914
