CAN Message; 0x39:030ab11e756c8963
Timestamp;Amplitude
1739209791.404929;-45.120503652039325
1739209791.4049406;-45.120503652039325
1739209791.404952;-45.120503652039325
1739209791.4049635;-45.120503652039325
1739209791.4049752;-38.13080360867914
1739209791.4049866;-35.57807855764607
1739209791.404998;-45.120503652039325
1739209791.4050097;-38.13080360867914
1739209791.4050212;-35.57807855764607
1739209791.4050329;-38.13080360867914
1739209791.4050443;-33.981070128970906
1739209791.4050558;-38.13080360867914
1739209791.4050674;-45.120503652039325
1739209791.405079;-38.13080360867914
1739209791.4050903;-35.57807855764607
1739209791.405102;-32.816014438256545
1739209791.4051135;-38.13080360867914
1739209791.405125;-38.13080360867914
1739209791.4051366;-45.120503652039325
1739209791.405148;-35.57807855764607
1739209791.4051595;-38.13080360867914
1739209791.4051712;-45.120503652039325
1739209791.4051826;-38.13080360867914
1739209791.405194;-38.13080360867914
1739209791.4052057;-38.13080360867914
1739209791.4052172;-45.120503652039325
1739209791.4052289;-31.141103565318915
1739209791.4052403;-33.981070128970906
1739209791.4052517;-45.120503652039325
1739209791.4052634;-45.120503652039325
1739209791.4052749;-38.13080360867914
1739209791.4052863;-35.57807855764607
1739209791.405298;-38.13080360867914
1739209791.4053094;-45.120503652039325
1739209791.405321;-38.13080360867914
1739209791.4053326;-38.13080360867914
1739209791.405344;-45.120503652039325
1739209791.4053555;-45.120503652039325
1739209791.4053671;-45.120503652039325
1739209791.4053786;-38.13080360867914
1739209791.40539;-45.120503652039325
1739209791.4054017;-45.120503652039325
1739209791.4054132;-33.981070128970906
1739209791.4054248;-45.120503652039325
1739209791.4054363;-45.120503652039325
1739209791.4054477;-45.120503652039325
1739209791.4054594;-38.13080360867914
1739209791.4054708;-35.57807855764607
1739209791.4054823;-38.13080360867914
1739209791.405494;-45.120503652039325
1739209791.4055054;-31.141103565318915
1739209791.4055169;-31.141103565318915
1739209791.4055285;-38.13080360867914
1739209791.40554;-45.120503652039325
1739209791.4055514;-45.120503652039325
1739209791.405563;-45.120503652039325
1739209791.4055746;-45.120503652039325
1739209791.4055862;-35.57807855764607
1739209791.4055977;-45.120503652039325
1739209791.4056091;-38.13080360867914
1739209791.4056208;-38.13080360867914
1739209791.4056323;-45.120503652039325
1739209791.4056437;-45.120503652039325
1739209791.4056554;-45.120503652039325
1739209791.4056668;-35.57807855764607
1739209791.4056783;-45.120503652039325
1739209791.40569;-31.141103565318915
1739209791.4057014;-27.8777449560314
1739209791.4057128;-38.13080360867914
1739209791.4057245;-35.57807855764607
1739209791.405736;-33.981070128970906
1739209791.4057474;-38.13080360867914
1739209791.405759;-45.120503652039325
1739209791.4057705;-38.13080360867914
1739209791.4057822;-45.120503652039325
1739209791.4057937;-45.120503652039325
1739209791.405805;-45.120503652039325
1739209791.4058168;-38.13080360867914
1739209791.4058282;-45.120503652039325
1739209791.4058397;-45.120503652039325
1739209791.4058514;-33.981070128970906
1739209791.4058628;-45.120503652039325
1739209791.4058743;-38.13080360867914
1739209791.405886;-31.141103565318915
1739209791.4058974;-38.13080360867914
1739209791.4059088;-33.981070128970956
1739209791.4059205;-27.8777449560314
1739209791.405932;-31.14110356531892
1739209791.4059434;-38.13080360867914
1739209791.405955;-29.438486411369333
1739209791.4059665;-45.120503652039325
1739209791.4059782;-24.438645034577675
1739209791.4059896;-26.991370085610722
1739209791.406001;-45.120503652039325
1739209791.4060128;-24.15140352195873
1739209791.4060242;-22.84163660590255
1739209791.4060357;-32.816014438256545
1739209791.4060473;-35.57807855764607
1739209791.4060588;-28.992665084841942
1739209791.4060702;-45.120503652039325
1739209791.406082;-28.992665084841942
1739209791.4060934;-31.141103565318915
1739209791.4061048;-35.57807855764607
1739209791.4061165;-31.141103565318943
1739209791.406128;-30.49652367304976
1739209791.4061394;-32.816014438256545
1739209791.406151;-33.981070128970906
1739209791.4061625;-25.252786309376837
1739209791.4061742;-45.120503652039325
1739209791.4061856;-32.816014438256545
1739209791.406197;-22.175841390423358
1739209791.4062088;-45.120503652039325
1739209791.4062202;-31.141103565318915
1739209791.4062316;-38.13080360867914
1739209791.4062433;-30.49652367304973
1739209791.4062548;-26.991370085610768
1739209791.4062662;-38.13080360867914
1739209791.406278;-38.13080360867914
1739209791.4062893;-35.57807855764607
1739209791.4063008;-27.267205301931607
1739209791.4063125;-25.826314394896357
1739209791.406324;-30.49652367304973
1739209791.4063354;-26.03565346325281
1739209791.406347;-31.141103565318915
1739209791.4063585;-31.141103565318915
1739209791.4063702;-38.13080360867914
1739209791.4063816;-28.992665084841942
1739209791.406393;-24.589719217205094
1739209791.4064047;-32.81601443825658
1739209791.4064162;-28.588378514285886
1739209791.4064276;-28.58837851428586
1739209791.4064393;-32.816014438256545
1739209791.4064507;-28.992665084841942
1739209791.4064622;-33.981070128970956
1739209791.4064739;-45.120503652039325
1739209791.4064853;-32.81601443825658
1739209791.4064968;-24.589719217205094
1739209791.4065084;-31.141103565318915
1739209791.40652;-28.992665084841942
1739209791.4065313;-31.141103565318943
1739209791.406543;-45.120503652039325
1739209791.4065545;-26.991370085610736
1739209791.4065661;-27.877744956031414
1739209791.4065776;-31.141103565318893
1739209791.406589;-27.267205301931607
1739209791.4066007;-24.589719217205094
1739209791.4066122;-24.438645034577675
1739209791.4066236;-28.218542851754165
1739209791.4066353;-25.077289914212862
1739209791.4066467;-31.14110356531892
1739209791.4066582;-38.13080360867914
1739209791.4066699;-31.141103565318893
1739209791.4066813;-35.57807855764607
1739209791.4066927;-28.992665084841942
1739209791.4067044;-35.57807855764607
1739209791.4067159;-45.120503652039325
1739209791.4067276;-45.120503652039325
1739209791.406739;-27.8777449560314
1739209791.4067504;-33.981070128970956
1739209791.4067621;-28.58837851428586
1739209791.4067736;-45.120503652039325
1739209791.406785;-33.981070128970906
1739209791.4067967;-32.816014438256545
1739209791.4068081;-31.14110356531892
1739209791.4068196;-32.81601443825658
1739209791.4068313;-28.992665084841942
1739209791.4068427;-31.141103565318915
1739209791.4068542;-25.25278630937684
1739209791.4068658;-35.57807855764607
1739209791.4068773;-32.816014438256545
1739209791.4068887;-38.13080360867914
1739209791.4069004;-24.292649948874775
1739209791.4069118;-26.991370085610754
1739209791.4069235;-27.267205301931607
1739209791.406935;-28.21854285175415
1739209791.4069464;-33.981070128970906
1739209791.406958;-45.120503652039325
1739209791.4069695;-26.991370085610722
1739209791.406981;-29.438486411369333
1739209791.4069927;-28.992665084841942
1739209791.407004;-45.120503652039325
1739209791.4070156;-32.816014438256545
1739209791.4070272;-26.991370085610747
1739209791.4070387;-26.991370085610768
1739209791.4070501;-26.991370085610722
1739209791.4070618;-26.487275050834715
1739209791.4070733;-32.81601443825658
1739209791.4070847;-27.8777449560314
1739209791.4070964;-27.877744956031414
1739209791.4071078;-32.816014438256545
1739209791.4071195;-25.826314394896357
1739209791.407131;-31.141103565318915
1739209791.4071424;-31.141103565318943
1739209791.407154;-25.826314394896357
1739209791.4071655;-31.141103565318893
1739209791.407177;-32.816014438256545
1739209791.4071887;-45.120503652039325
1739209791.4072;-45.120503652039325
1739209791.4072115;-45.120503652039325
1739209791.4072232;-26.991370085610736
1739209791.4072347;-35.57807855764607
1739209791.407246;-38.13080360867914
1739209791.4072578;-29.438486411369375
1739209791.4072692;-25.826314394896357
1739209791.4072807;-31.141103565318915
1739209791.4072924;-35.57807855764607
1739209791.4073038;-29.438486411369354
1739209791.4073155;-28.992665084841942
1739209791.407327;-25.826314394896357
1739209791.4073384;-31.141103565318943
1739209791.40735;-45.120503652039325
1739209791.4073615;-35.57807855764607
1739209791.407373;-24.438645034577675
1739209791.4073846;-28.588378514285886
1739209791.407396;-38.13080360867914
1739209791.4074075;-35.57807855764607
1739209791.4074192;-38.13080360867914
1739209791.4074306;-38.13080360867914
1739209791.407442;-31.141103565318915
1739209791.4074538;-26.991370085610736
1739209791.4074652;-27.8777449560314
1739209791.4074767;-31.141103565318943
1739209791.4074883;-38.13080360867914
1739209791.4074998;-38.13080360867914
1739209791.4075115;-35.57807855764607
1739209791.407523;-26.035653463252796
1739209791.4075344;-38.13080360867914
1739209791.407546;-45.120503652039325
1739209791.4075575;-45.120503652039325
1739209791.407569;-32.816014438256545
1739209791.4075806;-27.267205301931607
1739209791.407592;-27.267205301931607
1739209791.4076035;-33.981070128970956
1739209791.4076152;-32.816014438256545
1739209791.4076266;-30.49652367304973
1739209791.407638;-25.62660358559016
1739209791.4076498;-22.54371790334745
1739209791.4076612;-32.81601443825658
1739209791.4076726;-24.15140352195873
1739209791.4076843;-24.589719217205094
1739209791.4076958;-27.267205301931607
1739209791.4077075;-25.826314394896357
1739209791.407719;-29.438486411369333
1739209791.4077303;-38.13080360867914
1739209791.407742;-30.49652367304973
1739209791.4077535;-31.141103565318943
1739209791.407765;-25.826314394896364
1739209791.4077766;-45.120503652039325
1739209791.407788;-45.120503652039325
1739209791.4077995;-38.13080360867914
1739209791.4078112;-35.57807855764607
1739209791.4078226;-32.816014438256545
1739209791.407834;-38.13080360867914
1739209791.4078457;-45.120503652039325
1739209791.4078572;-33.981070128970906
1739209791.4078689;-31.141103565318893
1739209791.4078803;-32.816014438256545
1739209791.4078918;-31.141103565318915
1739209791.4079034;-45.120503652039325
1739209791.4079149;-38.13080360867914
1739209791.4079263;-45.120503652039325
1739209791.407938;-38.13080360867914
1739209791.4079494;-38.13080360867914
1739209791.407961;-38.13080360867914
1739209791.4079726;-33.981070128970906
1739209791.407984;-45.120503652039325
1739209791.4079955;-38.13080360867914
1739209791.4080071;-38.13080360867914
1739209791.4080186;-31.141103565318915
1739209791.40803;-38.13080360867914
1739209791.4080417;-35.57807855764607
1739209791.4080532;-33.981070128970906
1739209791.4080648;-30.49652367304973
1739209791.4080763;-31.141103565318943
1739209791.4080877;-45.120503652039325
1739209791.4080994;-45.120503652039325
1739209791.4081109;-28.218542851754165
1739209791.4081223;-27.267205301931607
1739209791.408134;-23.50682362968953
1739209791.4081454;-25.62660358559016
1739209791.4081569;-38.13080360867914
1739209791.4081686;-38.13080360867914
1739209791.40818;-45.120503652039325
1739209791.4081914;-45.120503652039325
1739209791.4082031;-33.981070128970906
1739209791.4082146;-33.981070128970906
1739209791.408226;-31.141103565318915
1739209791.4082377;-25.252786309376837
1739209791.4082491;-33.981070128970906
1739209791.4082608;-25.826314394896357
1739209791.4082723;-31.141103565318943
1739209791.4082837;-31.141103565318915
1739209791.4082954;-27.877744956031414
1739209791.4083068;-29.438486411369333
1739209791.4083183;-33.981070128970906
1739209791.40833;-45.120503652039325
1739209791.4083414;-28.218542851754165
1739209791.4083529;-25.252786309376837
1739209791.4083645;-31.141103565318893
1739209791.408376;-38.13080360867914
1739209791.4083874;-32.816014438256545
1739209791.408399;-33.981070128970956
1739209791.4084105;-45.120503652039325
1739209791.408422;-45.120503652039325
1739209791.4084337;-38.13080360867914
1739209791.4084451;-45.120503652039325
1739209791.4084568;-38.13080360867914
1739209791.4084682;-45.120503652039325
1739209791.4084797;-38.13080360867914
1739209791.4084914;-31.141103565318915
1739209791.4085028;-31.141103565318943
1739209791.4085143;-23.75329798047522
1739209791.408526;-45.120503652039325
1739209791.4085374;-30.49652367304973
1739209791.4085488;-35.57807855764607
1739209791.4085605;-28.992665084841942
1739209791.408572;-31.141103565318893
1739209791.4085834;-30.49652367304973
1739209791.408595;-24.589719217205094
1739209791.4086065;-24.438645034577675
1739209791.408618;-38.13080360867914
1739209791.4086297;-38.13080360867914
1739209791.408641;-33.981070128970906
1739209791.4086528;-31.141103565318915
1739209791.4086642;-27.267205301931607
1739209791.4086757;-38.13080360867914
1739209791.4086874;-35.57807855764607
1739209791.4086988;-38.13080360867914
1739209791.4087102;-25.25278630937684
1739209791.408722;-28.21854285175415
1739209791.4087334;-25.25278630937684
1739209791.4087448;-35.57807855764607
1739209791.4087565;-30.49652367304976
1739209791.408768;-29.438486411369347
1739209791.4087794;-28.21854285175415
1739209791.408791;-27.267205301931607
1739209791.4088025;-28.588378514285886
1739209791.408814;-26.487275050834715
1739209791.4088256;-25.07728991421287
1739209791.408837;-33.981070128970956
1739209791.4088488;-27.267205301931607
1739209791.4088602;-32.816014438256545
1739209791.4088717;-27.267205301931607
1739209791.4088833;-31.141103565318915
1739209791.4088948;-45.120503652039325
1739209791.4089062;-35.57807855764607
1739209791.408918;-33.981070128970906
1739209791.4089293;-45.120503652039325
1739209791.4089408;-33.981070128970906
1739209791.4089525;-45.120503652039325
1739209791.408964;-38.13080360867914
1739209791.4089754;-45.120503652039325
1739209791.408987;-45.120503652039325
1739209791.4089985;-45.120503652039325
1739209791.40901;-38.13080360867914
1739209791.4090216;-38.13080360867914
1739209791.409033;-45.120503652039325
1739209791.4090447;-45.120503652039325
1739209791.4090562;-45.120503652039325
1739209791.4090676;-45.120503652039325
1739209791.4090793;-45.120503652039325
1739209791.4090908;-45.120503652039325
1739209791.4091022;-38.13080360867914
1739209791.409114;-45.120503652039325
1739209791.4091253;-45.120503652039325
1739209791.4091368;-38.13080360867914
1739209791.4091485;-38.13080360867914
1739209791.40916;-45.120503652039325
1739209791.4091713;-38.13080360867914
1739209791.409183;-32.816014438256545
1739209791.4091945;-38.13080360867914
1739209791.4092062;-45.120503652039325
1739209791.4092176;-38.13080360867914
1739209791.409229;-45.120503652039325
1739209791.4092407;-45.120503652039325
1739209791.4092522;-38.13080360867914
1739209791.4092636;-38.13080360867914
1739209791.4092753;-38.13080360867914
1739209791.4092867;-45.120503652039325
1739209791.4092982;-38.13080360867914
1739209791.4093099;-38.13080360867914
1739209791.4093213;-45.120503652039325
1739209791.4093328;-45.120503652039325
1739209791.4093444;-38.13080360867914
1739209791.4093559;-38.13080360867914
1739209791.4093673;-45.120503652039325
1739209791.409379;-45.120503652039325
1739209791.4093904;-45.120503652039325
1739209791.4094021;-38.13080360867914
1739209791.4094136;-45.120503652039325
1739209791.409425;-33.981070128970906
1739209791.4094367;-30.49652367304973
1739209791.4094481;-45.120503652039325
1739209791.4094596;-45.120503652039325
1739209791.4094713;-35.57807855764607
1739209791.4094827;-38.13080360867914
1739209791.4094942;-38.13080360867914
1739209791.4095058;-45.120503652039325
1739209791.4095173;-45.120503652039325
1739209791.4095287;-45.120503652039325
1739209791.4095404;-38.13080360867914
1739209791.4095519;-45.120503652039325
1739209791.4095633;-38.13080360867914
1739209791.409575;-38.13080360867914
1739209791.4095864;-38.13080360867914
1739209791.409598;-45.120503652039325
1739209791.4096096;-35.57807855764607
1739209791.409621;-35.57807855764607
1739209791.4096327;-38.13080360867914
1739209791.4096441;-45.120503652039325
1739209791.4096556;-38.13080360867914
1739209791.4096673;-33.981070128970906
1739209791.4096787;-38.13080360867914
1739209791.4096901;-45.120503652039325
1739209791.4097018;-45.120503652039325
