CAN Message; 0x98:0000b5b70f427781
Timestamp;Amplitude
1739209880.4980023;-45.120503652039325
1739209880.4980044;-28.992665084841942
1739209880.4980068;-30.49652367304973
1739209880.4980092;-33.981070128970906
1739209880.4980114;-27.267205301931607
1739209880.4980137;-33.981070128970906
1739209880.498016;-38.13080360867914
1739209880.4980183;-29.438486411369333
1739209880.4980206;-45.120503652039325
1739209880.498023;-28.58837851428586
1739209880.4980252;-31.141103565318915
1739209880.4980276;-31.141103565318915
1739209880.49803;-31.141103565318943
1739209880.498032;-35.57807855764607
1739209880.4980345;-28.58837851428586
1739209880.4980369;-28.992665084841967
1739209880.498039;-33.981070128970956
1739209880.4980414;-27.267205301931607
1739209880.4980438;-23.50682362968953
1739209880.498046;-25.826314394896364
1739209880.4980483;-45.120503652039325
1739209880.4980507;-38.13080360867914
1739209880.4980528;-45.120503652039325
1739209880.4980552;-38.13080360867914
1739209880.4980576;-31.14110356531892
1739209880.4980597;-45.120503652039325
1739209880.4980621;-33.981070128970956
1739209880.4980645;-33.981070128970906
1739209880.4980667;-38.13080360867914
1739209880.498069;-45.120503652039325
1739209880.4980714;-38.13080360867914
1739209880.4980736;-31.141103565318915
1739209880.498076;-33.981070128970906
1739209880.4980783;-33.981070128970956
1739209880.4980805;-27.8777449560314
1739209880.4980829;-30.49652367304976
1739209880.4980853;-31.14110356531892
1739209880.4980874;-25.826314394896354
1739209880.4980898;-31.141103565318943
1739209880.4980922;-32.81601443825658
1739209880.4980943;-30.49652367304973
1739209880.4980967;-38.13080360867914
1739209880.498099;-38.13080360867914
1739209880.4981012;-25.826314394896354
1739209880.4981036;-38.13080360867914
1739209880.498106;-32.816014438256545
1739209880.4981081;-32.816014438256545
1739209880.4981105;-38.13080360867914
1739209880.498113;-35.57807855764607
1739209880.498115;-31.141103565318943
1739209880.4981174;-28.58837851428586
1739209880.4981198;-33.981070128970906
1739209880.4981222;-45.120503652039325
1739209880.4981244;-31.141103565318893
1739209880.4981267;-31.14110356531892
1739209880.4981291;-26.487275050834725
1739209880.4981313;-25.62660358559016
1739209880.4981337;-38.13080360867914
1739209880.498136;-27.267205301931607
1739209880.4981382;-45.120503652039325
1739209880.4981406;-31.141103565318915
1739209880.498143;-28.58837851428586
1739209880.498145;-31.141103565318915
1739209880.4981475;-27.8777449560314
1739209880.4981499;-38.13080360867914
1739209880.498152;-28.58837851428586
1739209880.4981544;-45.120503652039325
1739209880.4981568;-45.120503652039325
1739209880.498159;-45.120503652039325
1739209880.4981613;-38.13080360867914
1739209880.4981637;-28.992665084841942
1739209880.4981658;-24.746238672633048
1739209880.4981682;-32.816014438256545
1739209880.4981706;-33.981070128970906
1739209880.4981728;-24.15140352195873
1739209880.4981751;-28.992665084841967
1739209880.4981775;-45.120503652039325
1739209880.4981797;-29.438486411369333
1739209880.498182;-30.49652367304973
1739209880.4981844;-32.81601443825658
1739209880.4981866;-30.49652367304973
1739209880.498189;-45.120503652039325
1739209880.4981914;-38.13080360867914
1739209880.4981935;-33.981070128970906
1739209880.498196;-31.141103565318915
1739209880.4981983;-38.13080360867914
1739209880.4982004;-22.740042620751332
1739209880.4982028;-38.13080360867914
1739209880.4982052;-38.13080360867914
1739209880.4982073;-45.120503652039325
1739209880.4982097;-31.141103565318915
1739209880.498212;-24.15140352195872
1739209880.4982142;-45.120503652039325
1739209880.4982166;-35.57807855764607
1739209880.498219;-32.81601443825658
1739209880.4982212;-31.141103565318915
1739209880.4982235;-28.992665084841942
1739209880.498226;-25.077289914212862
1739209880.498228;-26.03565346325281
1739209880.4982305;-45.120503652039325
1739209880.4982328;-32.816014438256545
1739209880.498235;-27.267205301931607
