CAN Message; 0x39:08f529e4fed0a3e8
Timestamp;Amplitude
1739209839.2926755;-38.13080360867914
1739209839.292678;-38.13080360867914
1739209839.2926805;-45.120503652039325
1739209839.2926831;-38.13080360867914
1739209839.2926855;-35.57807855764607
1739209839.292688;-38.13080360867914
1739209839.2926905;-38.13080360867914
1739209839.292693;-38.13080360867914
1739209839.2926955;-35.57807855764607
1739209839.292698;-45.120503652039325
1739209839.2927003;-45.120503652039325
1739209839.292703;-38.13080360867914
1739209839.2927053;-45.120503652039325
1739209839.292708;-45.120503652039325
1739209839.2927103;-38.13080360867914
1739209839.2927127;-33.981070128970906
1739209839.2927153;-38.13080360867914
1739209839.2927177;-45.120503652039325
1739209839.2927203;-38.13080360867914
1739209839.2927227;-45.120503652039325
1739209839.292725;-38.13080360867914
1739209839.2927277;-38.13080360867914
1739209839.29273;-38.13080360867914
1739209839.2927327;-33.981070128970906
1739209839.292735;-38.13080360867914
1739209839.2927375;-38.13080360867914
1739209839.29274;-45.120503652039325
1739209839.2927425;-38.13080360867914
1739209839.292745;-35.57807855764607
1739209839.2927475;-38.13080360867914
1739209839.29275;-38.13080360867914
1739209839.2927525;-28.992665084841942
1739209839.292755;-35.57807855764607
1739209839.2927575;-38.13080360867914
1739209839.29276;-38.13080360867914
1739209839.2927623;-38.13080360867914
1739209839.292765;-45.120503652039325
1739209839.2927673;-45.120503652039325
1739209839.29277;-38.13080360867914
1739209839.2927723;-38.13080360867914
1739209839.2927747;-45.120503652039325
1739209839.2927773;-45.120503652039325
1739209839.2927797;-38.13080360867914
1739209839.2927823;-45.120503652039325
1739209839.2927847;-45.120503652039325
1739209839.292787;-38.13080360867914
1739209839.2927897;-45.120503652039325
1739209839.292792;-32.81601443825658
1739209839.2927947;-45.120503652039325
1739209839.292797;-33.981070128970906
1739209839.2927995;-45.120503652039325
1739209839.292802;-38.13080360867914
1739209839.2928045;-38.13080360867914
1739209839.292807;-38.13080360867914
1739209839.2928095;-45.120503652039325
1739209839.2928119;-27.267205301931607
1739209839.2928145;-38.13080360867914
1739209839.2928169;-38.13080360867914
1739209839.2928195;-35.57807855764607
1739209839.292822;-45.120503652039325
1739209839.2928243;-45.120503652039325
1739209839.292827;-38.13080360867914
1739209839.2928293;-45.120503652039325
1739209839.292832;-45.120503652039325
1739209839.2928343;-38.13080360867914
1739209839.2928367;-38.13080360867914
1739209839.2928393;-45.120503652039325
1739209839.2928417;-38.13080360867914
1739209839.292844;-38.13080360867914
1739209839.2928467;-45.120503652039325
1739209839.292849;-45.120503652039325
1739209839.2928517;-45.120503652039325
1739209839.292854;-45.120503652039325
1739209839.2928565;-45.120503652039325
1739209839.292859;-38.13080360867914
1739209839.2928615;-38.13080360867914
1739209839.292864;-30.49652367304973
1739209839.2928665;-45.120503652039325
1739209839.2928689;-45.120503652039325
1739209839.2928715;-33.981070128970906
1739209839.2928739;-38.13080360867914
1739209839.2928765;-45.120503652039325
1739209839.2928789;-45.120503652039325
1739209839.2928813;-33.981070128970906
1739209839.2928839;-38.13080360867914
1739209839.2928863;-33.981070128970906
1739209839.2928889;-45.120503652039325
1739209839.2928913;-45.120503652039325
1739209839.2928936;-35.57807855764607
1739209839.2928963;-45.120503652039325
1739209839.2928987;-38.13080360867914
1739209839.2929013;-38.13080360867914
1739209839.2929037;-35.57807855764607
1739209839.292906;-38.13080360867914
1739209839.2929087;-45.120503652039325
1739209839.292911;-38.13080360867914
1739209839.2929137;-32.816014438256545
1739209839.292916;-45.120503652039325
1739209839.2929184;-45.120503652039325
1739209839.292921;-45.120503652039325
1739209839.2929235;-38.13080360867914
1739209839.292926;-38.13080360867914
1739209839.2929285;-38.13080360867914
1739209839.2929308;-45.120503652039325
1739209839.2929335;-45.120503652039325
1739209839.2929358;-38.13080360867914
1739209839.2929385;-45.120503652039325
1739209839.2929409;-45.120503652039325
1739209839.2929432;-45.120503652039325
1739209839.2929459;-38.13080360867914
1739209839.2929482;-38.13080360867914
1739209839.2929509;-38.13080360867914
1739209839.2929533;-32.816014438256545
1739209839.2929556;-35.57807855764607
1739209839.2929583;-45.120503652039325
1739209839.2929606;-38.13080360867914
1739209839.2929633;-32.816014438256545
1739209839.2929657;-45.120503652039325
1739209839.292968;-38.13080360867914
1739209839.2929707;-45.120503652039325
1739209839.292973;-45.120503652039325
1739209839.2929757;-45.120503652039325
1739209839.292978;-35.57807855764607
1739209839.2929804;-45.120503652039325
1739209839.292983;-45.120503652039325
1739209839.2929854;-45.120503652039325
1739209839.292988;-33.981070128970906
1739209839.2929904;-38.13080360867914
1739209839.2929928;-38.13080360867914
1739209839.2929955;-45.120503652039325
1739209839.2929978;-33.981070128970906
1739209839.2930005;-35.57807855764607
1739209839.2930028;-32.816014438256545
1739209839.2930052;-38.13080360867914
1739209839.2930079;-45.120503652039325
1739209839.2930102;-33.981070128970906
1739209839.2930129;-26.487275050834715
1739209839.2930152;-38.13080360867914
1739209839.2930176;-45.120503652039325
1739209839.2930202;-38.13080360867914
1739209839.2930226;-32.816014438256545
1739209839.2930253;-45.120503652039325
1739209839.2930276;-45.120503652039325
1739209839.29303;-38.13080360867914
1739209839.2930326;-38.13080360867914
1739209839.293035;-45.120503652039325
1739209839.2930377;-45.120503652039325
1739209839.29304;-38.13080360867914
1739209839.2930424;-45.120503652039325
1739209839.293045;-45.120503652039325
1739209839.2930474;-45.120503652039325
1739209839.29305;-45.120503652039325
1739209839.2930524;-38.13080360867914
1739209839.2930548;-38.13080360867914
1739209839.2930574;-35.57807855764607
1739209839.2930598;-38.13080360867914
1739209839.2930624;-38.13080360867914
1739209839.2930648;-45.120503652039325
1739209839.2930672;-45.120503652039325
1739209839.2930698;-45.120503652039325
1739209839.2930722;-28.992665084841942
1739209839.2930748;-32.816014438256545
1739209839.2930772;-45.120503652039325
1739209839.2930796;-38.13080360867914
1739209839.2930822;-35.57807855764607
1739209839.2930846;-38.13080360867914
1739209839.2930872;-38.13080360867914
1739209839.2930896;-38.13080360867914
1739209839.293092;-32.81601443825658
1739209839.2930946;-38.13080360867914
1739209839.293097;-45.120503652039325
1739209839.2930996;-33.981070128970906
1739209839.293102;-38.13080360867914
1739209839.2931044;-45.120503652039325
1739209839.293107;-38.13080360867914
1739209839.2931094;-45.120503652039325
1739209839.293112;-33.981070128970906
1739209839.2931144;-38.13080360867914
1739209839.2931168;-45.120503652039325
1739209839.2931194;-45.120503652039325
1739209839.2931218;-38.13080360867914
1739209839.2931244;-33.981070128970906
1739209839.2931268;-38.13080360867914
1739209839.2931292;-33.981070128970906
1739209839.2931318;-35.57807855764607
1739209839.2931342;-38.13080360867914
1739209839.2931368;-45.120503652039325
1739209839.2931392;-45.120503652039325
1739209839.2931416;-38.13080360867914
1739209839.2931442;-33.981070128970906
1739209839.2931466;-45.120503652039325
1739209839.293149;-32.816014438256545
1739209839.2931516;-33.981070128970906
1739209839.293154;-45.120503652039325
1739209839.2931566;-38.13080360867914
1739209839.293159;-38.13080360867914
1739209839.2931614;-38.13080360867914
1739209839.293164;-38.13080360867914
1739209839.2931664;-38.13080360867914
1739209839.293169;-38.13080360867914
1739209839.2931714;-31.141103565318915
1739209839.2931738;-33.981070128970906
1739209839.2931764;-45.120503652039325
1739209839.2931788;-38.13080360867914
1739209839.2931814;-35.57807855764607
1739209839.2931838;-38.13080360867914
1739209839.2931862;-45.120503652039325
1739209839.2931888;-38.13080360867914
1739209839.2931912;-45.120503652039325
1739209839.2931938;-45.120503652039325
1739209839.2931962;-45.120503652039325
1739209839.2931986;-45.120503652039325
1739209839.2932012;-45.120503652039325
1739209839.2932036;-38.13080360867914
1739209839.2952135;-45.120503652039325
1739209839.2952151;-45.120503652039325
1739209839.2952166;-38.13080360867914
1739209839.2952182;-45.120503652039325
1739209839.29522;-33.981070128970906
1739209839.2952216;-38.13080360867914
1739209839.295223;-38.13080360867914
1739209839.2952247;-35.57807855764607
1739209839.2952263;-32.816014438256545
1739209839.295228;-45.120503652039325
1739209839.2952294;-45.120503652039325
1739209839.295231;-45.120503652039325
1739209839.2952328;-45.120503652039325
1739209839.2952344;-45.120503652039325
1739209839.295236;-38.13080360867914
1739209839.2952375;-38.13080360867914
1739209839.2952392;-45.120503652039325
1739209839.2952409;-45.120503652039325
1739209839.2952425;-45.120503652039325
1739209839.295244;-45.120503652039325
1739209839.2952456;-45.120503652039325
1739209839.2952473;-45.120503652039325
1739209839.295249;-45.120503652039325
1739209839.2952507;-33.981070128970906
1739209839.295252;-45.120503652039325
1739209839.2952538;-45.120503652039325
1739209839.2952554;-38.13080360867914
1739209839.295257;-35.57807855764607
1739209839.2952585;-45.120503652039325
1739209839.2952602;-45.120503652039325
1739209839.2952619;-38.13080360867914
1739209839.2952635;-35.57807855764607
1739209839.295265;-45.120503652039325
1739209839.2952666;-38.13080360867914
1739209839.2952683;-38.13080360867914
1739209839.29527;-38.13080360867914
1739209839.2952716;-33.981070128970906
1739209839.295273;-38.13080360867914
1739209839.2952747;-38.13080360867914
1739209839.2952764;-28.992665084841942
1739209839.295278;-45.120503652039325
1739209839.2952795;-45.120503652039325
1739209839.2952812;-38.13080360867914
1739209839.2952828;-33.981070128970906
1739209839.2952845;-35.57807855764607
1739209839.2952862;-38.13080360867914
1739209839.2952876;-45.120503652039325
1739209839.2952893;-32.816014438256545
1739209839.295291;-38.13080360867914
1739209839.2952926;-38.13080360867914
1739209839.295294;-45.120503652039325
1739209839.2952957;-38.13080360867914
1739209839.2952974;-45.120503652039325
1739209839.295299;-45.120503652039325
1739209839.2953005;-38.13080360867914
1739209839.2953022;-31.141103565318915
1739209839.2953038;-38.13080360867914
1739209839.2953055;-45.120503652039325
1739209839.2953072;-45.120503652039325
1739209839.2953086;-38.13080360867914
1739209839.2953103;-45.120503652039325
1739209839.295312;-45.120503652039325
1739209839.2953136;-38.13080360867914
1739209839.295315;-45.120503652039325
1739209839.2953167;-45.120503652039325
1739209839.2953184;-35.57807855764607
1739209839.29532;-35.57807855764607
1739209839.2953217;-38.13080360867914
1739209839.2953231;-38.13080360867914
1739209839.2953248;-33.981070128970906
1739209839.2953265;-38.13080360867914
1739209839.2953281;-38.13080360867914
1739209839.2953296;-45.120503652039325
1739209839.2953312;-38.13080360867914
1739209839.295333;-38.13080360867914
1739209839.2953346;-38.13080360867914
1739209839.295336;-38.13080360867914
1739209839.2953377;-45.120503652039325
1739209839.2953393;-45.120503652039325
1739209839.295341;-26.991370085610722
1739209839.2953427;-35.57807855764607
1739209839.295344;-45.120503652039325
1739209839.2953458;-45.120503652039325
1739209839.2953475;-32.816014438256545
1739209839.2953491;-35.57807855764607
1739209839.2953506;-45.120503652039325
1739209839.2953522;-45.120503652039325
1739209839.295354;-38.13080360867914
1739209839.2953556;-45.120503652039325
1739209839.2953572;-45.120503652039325
1739209839.2953587;-45.120503652039325
1739209839.2953603;-38.13080360867914
1739209839.295362;-33.981070128970906
1739209839.2953637;-38.13080360867914
