CAN Message; 0x150:0100343d5d112a8b
Timestamp;Amplitude
1739209788.6145465;-22.448786368009156
1739209788.6145508;-30.49652367304976
1739209788.6145551;-45.120503652039325
1739209788.6145594;-38.13080360867914
1739209788.6145637;-33.981070128970906
1739209788.614568;-31.141103565318915
1739209788.6145723;-45.120503652039325
1739209788.6145766;-31.141103565318915
1739209788.614581;-35.57807855764607
1739209788.6145854;-33.981070128970906
1739209788.6145897;-38.13080360867914
1739209788.614594;-31.141103565318915
1739209788.6145983;-22.740042620751332
1739209788.6146026;-25.07728991421287
1739209788.6146069;-31.14110356531892
1739209788.6146111;-32.816014438256545
1739209788.6146154;-26.991370085610722
1739209788.6146197;-32.816014438256545
1739209788.614624;-33.981070128970906
1739209788.6146283;-38.13080360867914
1739209788.6146326;-38.13080360867914
1739209788.614637;-45.120503652039325
1739209788.6146412;-38.13080360867914
1739209788.6146455;-45.120503652039325
1739209788.6146498;-27.267205301931607
1739209788.614654;-23.273589343863303
1739209788.6146586;-31.141103565318893
1739209788.614663;-31.14110356531892
1739209788.6146672;-26.487275050834715
1739209788.6146715;-45.120503652039325
1739209788.6146758;-45.120503652039325
1739209788.61468;-28.58837851428586
1739209788.6146843;-45.120503652039325
1739209788.6146886;-38.13080360867914
1739209788.614693;-38.13080360867914
1739209788.6146972;-35.57807855764607
1739209788.6147015;-28.218542851754165
1739209788.6147058;-23.506823629689542
1739209788.61471;-25.826314394896357
1739209788.6147144;-28.58837851428586
1739209788.6147187;-29.438486411369333
1739209788.614723;-38.13080360867914
1739209788.6147273;-38.13080360867914
1739209788.6147316;-32.816014438256545
1739209788.614736;-38.13080360867914
1739209788.6147404;-35.57807855764607
1739209788.6147447;-31.141103565318915
1739209788.614749;-31.141103565318915
1739209788.6147532;-26.487275050834715
1739209788.6147575;-28.218542851754165
1739209788.6147618;-26.991370085610768
1739209788.6147661;-31.141103565318915
1739209788.6147704;-33.981070128970906
1739209788.6147747;-32.816014438256545
1739209788.614779;-45.120503652039325
1739209788.6147833;-33.981070128970906
1739209788.6147876;-38.13080360867914
1739209788.6147919;-32.816014438256545
1739209788.6147962;-38.13080360867914
1739209788.6148005;-38.13080360867914
1739209788.6148047;-33.981070128970956
1739209788.614809;-21.300333226290604
1739209788.6148136;-22.54371790334745
1739209788.6148179;-31.141103565318915
1739209788.6148221;-31.141103565318915
1739209788.6148264;-25.826314394896357
1739209788.6148307;-33.981070128970906
1739209788.614835;-33.981070128970906
1739209788.6148393;-38.13080360867914
1739209788.6148436;-33.981070128970956
1739209788.614848;-45.120503652039325
1739209788.6148522;-33.981070128970906
1739209788.6148565;-33.981070128970906
1739209788.6148608;-27.267205301931607
1739209788.614865;-21.676580915188183
1739209788.6148694;-28.58837851428586
1739209788.6148736;-33.981070128970906
1739209788.614878;-38.13080360867914
1739209788.6148822;-38.13080360867914
1739209788.6148865;-31.141103565318915
1739209788.614891;-35.57807855764607
1739209788.6148953;-32.816014438256545
1739209788.6148996;-28.58837851428586
1739209788.614904;-38.13080360867914
1739209788.6149082;-32.81601443825658
1739209788.6149125;-25.62660358559016
1739209788.6149168;-22.175841390423358
1739209788.614921;-26.487275050834725
1739209788.6149254;-25.826314394896357
1739209788.6149297;-45.120503652039325
1739209788.614934;-35.57807855764607
1739209788.6149383;-45.120503652039325
1739209788.6149426;-38.13080360867914
1739209788.6149468;-45.120503652039325
1739209788.6149511;-45.120503652039325
1739209788.6149554;-38.13080360867914
1739209788.6149597;-38.13080360867914
1739209788.614964;-30.49652367304973
1739209788.6149685;-24.151403521958727
1739209788.6149728;-22.264930561961556
1739209788.6149771;-30.49652367304973
1739209788.6149814;-38.13080360867914
1739209788.6149857;-30.49652367304973
1739209788.61499;-45.120503652039325
1739209788.6149943;-45.120503652039325
1739209788.6149986;-38.13080360867914
1739209788.6150029;-45.120503652039325
1739209788.6150072;-38.13080360867914
1739209788.6150115;-35.57807855764607
1739209788.6150157;-45.120503652039325
1739209788.61502;-38.13080360867914
1739209788.6150243;-38.13080360867914
1739209788.6150286;-35.57807855764607
1739209788.615033;-45.120503652039325
1739209788.6150372;-45.120503652039325
1739209788.6150415;-38.13080360867914
1739209788.615046;-31.141103565318915
1739209788.6150503;-45.120503652039325
1739209788.6150546;-45.120503652039325
1739209788.615059;-45.120503652039325
1739209788.6150632;-38.13080360867914
1739209788.6150675;-33.981070128970906
1739209788.6150718;-31.141103565318893
1739209788.615076;-38.13080360867914
1739209788.6150804;-35.57807855764607
1739209788.6150846;-38.13080360867914
1739209788.615089;-38.13080360867914
1739209788.6150932;-45.120503652039325
1739209788.6150975;-32.816014438256545
1739209788.6151018;-45.120503652039325
1739209788.615106;-33.981070128970956
1739209788.6151104;-35.57807855764607
1739209788.6151147;-38.13080360867914
1739209788.615119;-38.13080360867914
1739209788.6151235;-45.120503652039325
1739209788.6151278;-45.120503652039325
1739209788.615132;-45.120503652039325
1739209788.6151364;-45.120503652039325
1739209788.6151407;-38.13080360867914
1739209788.615145;-38.13080360867914
1739209788.6151493;-35.57807855764607
1739209788.6151536;-45.120503652039325
1739209788.6151578;-45.120503652039325
1739209788.6151621;-38.13080360867914
1739209788.6151664;-38.13080360867914
1739209788.6151707;-32.816014438256545
1739209788.615175;-45.120503652039325
1739209788.6151793;-38.13080360867914
1739209788.6151836;-45.120503652039325
1739209788.615188;-45.120503652039325
1739209788.6151922;-38.13080360867914
