CAN Message; 0x77:b53f59e772c007d4
Timestamp;Amplitude
1739209785.483811;-38.13080360867914
1739209785.4838188;-45.120503652039325
1739209785.4838269;-38.13080360867914
1739209785.483835;-38.13080360867914
1739209785.4838428;-45.120503652039325
1739209785.483851;-45.120503652039325
1739209785.4838588;-38.13080360867914
1739209785.483867;-32.816014438256545
1739209785.483875;-38.13080360867914
1739209785.483883;-38.13080360867914
1739209785.483891;-33.981070128970906
1739209785.483899;-38.13080360867914
1739209785.483907;-45.120503652039325
1739209785.483915;-38.13080360867914
1739209785.4839232;-33.981070128970906
1739209785.483931;-35.57807855764607
1739209785.4839392;-38.13080360867914
1739209785.4839473;-38.13080360867914
1739209785.4839551;-38.13080360867914
1739209785.4839633;-45.120503652039325
1739209785.483971;-45.120503652039325
1739209785.4839792;-33.981070128970906
1739209785.4839873;-33.981070128970906
1739209785.4839952;-45.120503652039325
1739209785.4840033;-38.13080360867914
1739209785.4840114;-38.13080360867914
1739209785.4840193;-32.816014438256545
1739209785.4840274;-45.120503652039325
1739209785.4840355;-45.120503652039325
1739209785.4840434;-45.120503652039325
1739209785.4840515;-45.120503652039325
1739209785.4840596;-45.120503652039325
1739209785.4840674;-38.13080360867914
1739209785.4840755;-38.13080360867914
1739209785.4840834;-28.992665084841942
1739209785.4840915;-38.13080360867914
1739209785.4840996;-38.13080360867914
1739209785.4841075;-32.816014438256545
1739209785.4841156;-38.13080360867914
1739209785.4841237;-45.120503652039325
1739209785.4841316;-38.13080360867914
1739209785.4841397;-35.57807855764607
1739209785.4841478;-32.81601443825658
1739209785.4841557;-45.120503652039325
1739209785.4841638;-38.13080360867914
1739209785.4841719;-38.13080360867914
1739209785.4841797;-38.13080360867914
1739209785.4841878;-45.120503652039325
1739209785.4841957;-38.13080360867914
1739209785.4842038;-38.13080360867914
1739209785.484212;-33.981070128970906
1739209785.4842198;-35.57807855764607
1739209785.484228;-38.13080360867914
1739209785.484236;-38.13080360867914
1739209785.4842439;-38.13080360867914
1739209785.484252;-38.13080360867914
1739209785.48426;-38.13080360867914
1739209785.484268;-45.120503652039325
1739209785.484276;-33.981070128970906
1739209785.4842842;-35.57807855764607
1739209785.484292;-38.13080360867914
1739209785.4843001;-45.120503652039325
