CAN Message; 0x24:075c238157d549c0
Timestamp;Amplitude
1739209853.162712;-38.13080360867914
1739209853.162714;-35.57807855764607
1739209853.1627157;-35.57807855764607
1739209853.1627173;-45.120503652039325
1739209853.1627192;-33.981070128970906
1739209853.162721;-38.13080360867914
1739209853.1627228;-38.13080360867914
1739209853.1627245;-45.120503652039325
1739209853.1627262;-35.57807855764607
1739209853.162728;-35.57807855764607
1739209853.1627297;-38.13080360867914
1739209853.1627314;-45.120503652039325
1739209853.1627333;-38.13080360867914
1739209853.162735;-32.816014438256545
1739209853.1627367;-35.57807855764607
1739209853.1627386;-38.13080360867914
1739209853.1627402;-38.13080360867914
1739209853.1627421;-33.981070128970906
1739209853.1627438;-33.981070128970906
1739209853.1627455;-45.120503652039325
1739209853.1627474;-35.57807855764607
1739209853.162749;-38.13080360867914
1739209853.1627507;-45.120503652039325
1739209853.1627526;-45.120503652039325
1739209853.1627543;-45.120503652039325
1739209853.162756;-38.13080360867914
1739209853.1627579;-45.120503652039325
1739209853.1627595;-38.13080360867914
1739209853.1627614;-38.13080360867914
1739209853.162763;-45.120503652039325
1739209853.1627648;-33.981070128970906
1739209853.1627667;-38.13080360867914
1739209853.1627684;-38.13080360867914
1739209853.16277;-45.120503652039325
1739209853.162772;-32.816014438256545
1739209853.1627736;-38.13080360867914
1739209853.1627753;-45.120503652039325
1739209853.1627772;-45.120503652039325
1739209853.1627789;-45.120503652039325
1739209853.1627805;-38.13080360867914
1739209853.1627824;-38.13080360867914
1739209853.162784;-45.120503652039325
1739209853.162786;-45.120503652039325
1739209853.1627877;-38.13080360867914
1739209853.1627893;-45.120503652039325
1739209853.1627913;-38.13080360867914
1739209853.162793;-45.120503652039325
1739209853.1627946;-38.13080360867914
1739209853.1627965;-35.57807855764607
1739209853.1627982;-38.13080360867914
1739209853.1627998;-45.120503652039325
1739209853.1628017;-45.120503652039325
1739209853.1628034;-45.120503652039325
1739209853.1628053;-45.120503652039325
1739209853.162807;-32.816014438256545
1739209853.1628087;-35.57807855764607
1739209853.1628106;-45.120503652039325
1739209853.1628122;-35.57807855764607
1739209853.162814;-38.13080360867914
1739209853.1628158;-45.120503652039325
1739209853.1628175;-45.120503652039325
1739209853.1628191;-35.57807855764607
1739209853.162821;-33.981070128970956
1739209853.1628227;-45.120503652039325
1739209853.1628246;-33.981070128970906
1739209853.1628263;-35.57807855764607
1739209853.162828;-38.13080360867914
1739209853.1628299;-45.120503652039325
1739209853.1628315;-38.13080360867914
1739209853.1628332;-38.13080360867914
1739209853.1628351;-32.816014438256545
1739209853.1628368;-32.816014438256545
1739209853.1628385;-38.13080360867914
1739209853.1628404;-45.120503652039325
1739209853.162842;-45.120503652039325
1739209853.162844;-45.120503652039325
1739209853.1628456;-45.120503652039325
1739209853.1628473;-45.120503652039325
1739209853.1628492;-45.120503652039325
1739209853.1628509;-45.120503652039325
1739209853.1628525;-33.981070128970906
1739209853.1628544;-45.120503652039325
1739209853.162856;-45.120503652039325
1739209853.1628578;-38.13080360867914
1739209853.1628597;-45.120503652039325
1739209853.1628613;-38.13080360867914
1739209853.1628633;-45.120503652039325
1739209853.162865;-45.120503652039325
1739209853.1628666;-45.120503652039325
1739209853.1628685;-45.120503652039325
1739209853.1628702;-38.13080360867914
1739209853.1628718;-45.120503652039325
1739209853.1628737;-38.13080360867914
1739209853.1628754;-45.120503652039325
1739209853.162877;-30.49652367304973
1739209853.162879;-28.21854285175415
1739209853.1628807;-45.120503652039325
1739209853.1628826;-45.120503652039325
1739209853.1628842;-35.57807855764607
1739209853.162886;-35.57807855764607
1739209853.1628878;-45.120503652039325
1739209853.1628895;-38.13080360867914
1739209853.1628911;-45.120503652039325
1739209853.162893;-38.13080360867914
1739209853.1628947;-38.13080360867914
1739209853.1628964;-45.120503652039325
1739209853.1628983;-45.120503652039325
1739209853.1629;-38.13080360867914
1739209853.1629016;-38.13080360867914
1739209853.1629035;-45.120503652039325
1739209853.1629052;-35.57807855764607
1739209853.1629071;-28.21854285175415
1739209853.1629088;-45.120503652039325
1739209853.1629105;-45.120503652039325
1739209853.1629124;-45.120503652039325
1739209853.162914;-45.120503652039325
1739209853.1629157;-38.13080360867914
1739209853.1629176;-45.120503652039325
1739209853.1629193;-45.120503652039325
1739209853.162921;-45.120503652039325
1739209853.1629229;-33.981070128970906
1739209853.1629245;-38.13080360867914
1739209853.1629264;-38.13080360867914
1739209853.162928;-35.57807855764607
1739209853.1629298;-38.13080360867914
1739209853.1629317;-35.57807855764607
1739209853.1629333;-45.120503652039325
1739209853.162935;-45.120503652039325
1739209853.162937;-35.57807855764607
1739209853.1629386;-38.13080360867914
1739209853.1629403;-45.120503652039325
1739209853.1629422;-45.120503652039325
1739209853.1629438;-38.13080360867914
1739209853.1629457;-38.13080360867914
1739209853.1629474;-38.13080360867914
1739209853.162949;-33.981070128970906
1739209853.162951;-38.13080360867914
1739209853.1629527;-38.13080360867914
1739209853.1629543;-38.13080360867914
1739209853.1629562;-33.981070128970906
1739209853.162958;-45.120503652039325
1739209853.1629596;-38.13080360867914
1739209853.1629615;-38.13080360867914
1739209853.1629632;-45.120503652039325
1739209853.162965;-35.57807855764607
1739209853.1629667;-35.57807855764607
1739209853.1629684;-45.120503652039325
1739209853.1629703;-38.13080360867914
1739209853.162972;-38.13080360867914
1739209853.1629736;-45.120503652039325
1739209853.1629755;-38.13080360867914
1739209853.1629772;-38.13080360867914
1739209853.162979;-38.13080360867914
1739209853.1629808;-45.120503652039325
1739209853.1629825;-45.120503652039325
1739209853.1629844;-45.120503652039325
1739209853.162986;-38.13080360867914
1739209853.1629877;-45.120503652039325
1739209853.1629896;-45.120503652039325
1739209853.1629913;-38.13080360867914
1739209853.162993;-38.13080360867914
1739209853.1629949;-38.13080360867914
1739209853.1629965;-38.13080360867914
1739209853.1629982;-31.141103565318893
1739209853.163;-45.120503652039325
1739209853.1630018;-45.120503652039325
