CAN Message; 0x1d3:0000cb38aff3e14d
Timestamp;Amplitude
1739209621.232797;-45.120503652039325
1739209621.232802;-45.120503652039325
1739209621.2328067;-32.816014438256545
1739209621.2328117;-33.981070128970906
1739209621.2328165;-45.120503652039325
1739209621.2328215;-45.120503652039325
1739209621.2328262;-38.13080360867914
1739209621.2328312;-45.120503652039325
1739209621.232836;-45.120503652039325
1739209621.2328408;-38.13080360867914
1739209621.2328458;-38.13080360867914
1739209621.2328506;-38.13080360867914
1739209621.2328556;-45.120503652039325
1739209621.2328603;-38.13080360867914
1739209621.2328653;-38.13080360867914
1739209621.23287;-35.57807855764607
1739209621.2328749;-45.120503652039325
1739209621.2328799;-45.120503652039325
1739209621.2328846;-35.57807855764607
1739209621.2328897;-38.13080360867914
1739209621.2328944;-38.13080360867914
1739209621.2328994;-38.13080360867914
1739209621.2329042;-38.13080360867914
1739209621.2329092;-45.120503652039325
1739209621.232914;-45.120503652039325
1739209621.2329187;-38.13080360867914
1739209621.2329237;-38.13080360867914
1739209621.2329285;-38.13080360867914
1739209621.2329335;-38.13080360867914
1739209621.2329383;-45.120503652039325
1739209621.2329433;-38.13080360867914
1739209621.232948;-35.57807855764607
1739209621.232953;-45.120503652039325
1739209621.2329578;-28.992665084841942
1739209621.2329626;-31.141103565318915
1739209621.2329676;-38.13080360867914
1739209621.2329724;-45.120503652039325
1739209621.2329774;-38.13080360867914
1739209621.2329822;-38.13080360867914
1739209621.2329872;-45.120503652039325
1739209621.232992;-38.13080360867914
1739209621.2329967;-32.816014438256545
1739209621.2330017;-38.13080360867914
1739209621.2330065;-38.13080360867914
1739209621.2330115;-32.816014438256545
1739209621.2330163;-45.120503652039325
1739209621.2330213;-45.120503652039325
1739209621.233026;-38.13080360867914
1739209621.233031;-45.120503652039325
1739209621.2330358;-31.141103565318915
1739209621.2330406;-31.141103565318915
1739209621.2330456;-45.120503652039325
1739209621.2330503;-45.120503652039325
1739209621.2330554;-38.13080360867914
1739209621.2330601;-45.120503652039325
1739209621.2330651;-45.120503652039325
1739209621.23307;-35.57807855764607
1739209621.233075;-38.13080360867914
1739209621.2330797;-38.13080360867914
1739209621.2330844;-38.13080360867914
1739209621.2330894;-35.57807855764607
1739209621.2330942;-38.13080360867914
1739209621.2330992;-45.120503652039325
1739209621.233104;-45.120503652039325
1739209621.233109;-45.120503652039325
1739209621.2331138;-45.120503652039325
1739209621.2331188;-45.120503652039325
1739209621.2331235;-45.120503652039325
1739209621.2331283;-45.120503652039325
1739209621.2331333;-38.13080360867914
1739209621.233138;-38.13080360867914
1739209621.233143;-38.13080360867914
1739209621.2331479;-38.13080360867914
1739209621.2331529;-30.49652367304973
1739209621.2331576;-28.992665084841942
1739209621.2331624;-45.120503652039325
1739209621.2331674;-38.13080360867914
1739209621.2331722;-35.57807855764607
1739209621.2331772;-38.13080360867914
1739209621.233182;-45.120503652039325
1739209621.233187;-45.120503652039325
1739209621.2331917;-38.13080360867914
1739209621.2331967;-38.13080360867914
1739209621.2332015;-45.120503652039325
1739209621.2332063;-45.120503652039325
1739209621.2332113;-45.120503652039325
1739209621.233216;-38.13080360867914
1739209621.233221;-38.13080360867914
1739209621.2332258;-45.120503652039325
1739209621.2332308;-35.57807855764607
1739209621.2332356;-33.981070128970906
1739209621.2332406;-38.13080360867914
1739209621.2332454;-45.120503652039325
1739209621.2332501;-45.120503652039325
1739209621.2332551;-45.120503652039325
1739209621.23326;-45.120503652039325
1739209621.233265;-45.120503652039325
1739209621.2332697;-38.13080360867914
1739209621.2332747;-45.120503652039325
1739209621.2332795;-38.13080360867914
1739209621.2332842;-38.13080360867914
1739209621.2332892;-38.13080360867914
1739209621.233294;-32.816014438256545
1739209621.233299;-45.120503652039325
1739209621.2333038;-45.120503652039325
1739209621.2333088;-45.120503652039325
1739209621.2333136;-45.120503652039325
1739209621.2333186;-45.120503652039325
1739209621.2333233;-45.120503652039325
1739209621.233328;-38.13080360867914
1739209621.233333;-45.120503652039325
1739209621.2333379;-35.57807855764607
1739209621.233343;-35.57807855764607
1739209621.2333477;-38.13080360867914
1739209621.2333527;-32.816014438256545
1739209621.2333574;-38.13080360867914
1739209621.2333624;-45.120503652039325
1739209621.2333672;-38.13080360867914
1739209621.233372;-33.981070128970906
1739209621.233377;-38.13080360867914
1739209621.2333817;-45.120503652039325
1739209621.2333868;-38.13080360867914
1739209621.2333915;-45.120503652039325
1739209621.2333965;-38.13080360867914
1739209621.2334013;-45.120503652039325
1739209621.233406;-38.13080360867914
1739209621.233411;-35.57807855764607
1739209621.2334158;-33.981070128970906
1739209621.2334208;-45.120503652039325
1739209621.2334256;-45.120503652039325
1739209621.2334306;-32.816014438256545
1739209621.2334354;-45.120503652039325
1739209621.2334404;-45.120503652039325
1739209621.2334452;-33.981070128970906
1739209621.23345;-38.13080360867914
1739209621.233455;-45.120503652039325
1739209621.2334597;-45.120503652039325
1739209621.2334647;-38.13080360867914
1739209621.2334695;-38.13080360867914
1739209621.2334745;-45.120503652039325
1739209621.2334793;-45.120503652039325
1739209621.2334843;-38.13080360867914
1739209621.233489;-32.816014438256545
1739209621.2334938;-38.13080360867914
1739209621.2334988;-45.120503652039325
1739209621.2335036;-45.120503652039325
1739209621.2335086;-38.13080360867914
1739209621.2335134;-33.981070128970906
1739209621.2335184;-45.120503652039325
1739209621.2335231;-38.13080360867914
1739209621.2335281;-38.13080360867914
1739209621.233533;-38.13080360867914
1739209621.2335377;-38.13080360867914
1739209621.2335427;-38.13080360867914
1739209621.2335474;-35.57807855764607
1739209621.2335525;-38.13080360867914
1739209621.2335572;-45.120503652039325
1739209621.2335622;-45.120503652039325
1739209621.233567;-32.816014438256545
1739209621.2335718;-38.13080360867914
1739209621.2335768;-38.13080360867914
1739209621.2335815;-38.13080360867914
1739209621.2335865;-45.120503652039325
1739209621.2335913;-31.141103565318915
1739209621.2335963;-35.57807855764607
1739209621.233601;-45.120503652039325
1739209621.233606;-45.120503652039325
1739209621.2336109;-45.120503652039325
1739209621.2336156;-35.57807855764607
1739209621.2336206;-45.120503652039325
1739209621.2336254;-45.120503652039325
1739209621.2336304;-33.981070128970906
1739209621.2336352;-38.13080360867914
1739209621.2336402;-45.120503652039325
1739209621.233645;-45.120503652039325
1739209621.23365;-45.120503652039325
1739209621.2336547;-45.120503652039325
1739209621.2336595;-38.13080360867914
1739209621.2336645;-45.120503652039325
1739209621.2336693;-45.120503652039325
1739209621.2336743;-45.120503652039325
1739209621.233679;-45.120503652039325
1739209621.233684;-38.13080360867914
1739209621.2336888;-33.981070128970906
1739209621.2336936;-35.57807855764607
1739209621.2336986;-33.981070128970906
1739209621.2337034;-38.13080360867914
1739209621.2337084;-38.13080360867914
1739209621.2337132;-38.13080360867914
1739209621.2337182;-38.13080360867914
1739209621.233723;-45.120503652039325
1739209621.233728;-38.13080360867914
1739209621.2337327;-38.13080360867914
1739209621.2337375;-45.120503652039325
1739209621.2337425;-38.13080360867914
1739209621.2337472;-31.141103565318915
1739209621.2337523;-38.13080360867914
1739209621.233757;-45.120503652039325
1739209621.233762;-35.57807855764607
1739209621.2337668;-35.57807855764607
1739209621.2337718;-38.13080360867914
1739209621.2337766;-45.120503652039325
1739209621.2337813;-38.13080360867914
1739209621.2337863;-28.58837851428586
1739209621.233791;-38.13080360867914
1739209621.2337961;-45.120503652039325
1739209621.233801;-38.13080360867914
1739209621.233806;-38.13080360867914
