CAN Message; 0x150:0100e0680006f2d3
Timestamp;Amplitude
1739209670.6019142;-30.49652367304973
1739209670.6019168;-38.13080360867914
1739209670.6019197;-38.13080360867914
1739209670.6019225;-38.13080360867914
1739209670.6019251;-38.13080360867914
1739209670.601928;-45.120503652039325
1739209670.6019309;-35.57807855764607
1739209670.6019335;-38.13080360867914
1739209670.6019363;-33.981070128970956
1739209670.6019392;-45.120503652039325
1739209670.6019418;-38.13080360867914
1739209670.6019447;-33.981070128970906
1739209670.6019473;-45.120503652039325
1739209670.6019502;-45.120503652039325
1739209670.601953;-38.13080360867914
1739209670.6019557;-45.120503652039325
1739209670.6019585;-30.49652367304973
1739209670.6019614;-38.13080360867914
1739209670.601964;-38.13080360867914
1739209670.6019669;-38.13080360867914
1739209670.6019697;-45.120503652039325
1739209670.6019723;-38.13080360867914
1739209670.6019752;-38.13080360867914
1739209670.601978;-35.57807855764607
1739209670.6019807;-33.981070128970956
1739209670.6019835;-45.120503652039325
1739209670.6019864;-35.57807855764607
1739209670.601989;-38.13080360867914
1739209670.601992;-45.120503652039325
1739209670.6019948;-45.120503652039325
1739209670.6019974;-35.57807855764607
1739209670.6020002;-38.13080360867914
1739209670.6020029;-38.13080360867914
1739209670.6020057;-45.120503652039325
1739209670.6020086;-33.981070128970906
1739209670.6020112;-33.981070128970906
1739209670.602014;-38.13080360867914
1739209670.602017;-38.13080360867914
1739209670.6020195;-38.13080360867914
1739209670.6020224;-38.13080360867914
1739209670.6020253;-35.57807855764607
1739209670.602028;-45.120503652039325
1739209670.6020308;-45.120503652039325
1739209670.6020336;-38.13080360867914
1739209670.6020362;-35.57807855764607
1739209670.602039;-38.13080360867914
1739209670.602042;-38.13080360867914
1739209670.6020446;-33.981070128970906
1739209670.6020474;-45.120503652039325
1739209670.6020503;-45.120503652039325
1739209670.602053;-35.57807855764607
1739209670.6020558;-35.57807855764607
1739209670.6020584;-45.120503652039325
1739209670.6020613;-38.13080360867914
1739209670.6020641;-35.57807855764607
1739209670.6020668;-45.120503652039325
1739209670.6020696;-31.141103565318893
1739209670.6020725;-32.816014438256545
1739209670.602075;-45.120503652039325
1739209670.602078;-38.13080360867914
1739209670.6020808;-38.13080360867914
1739209670.6020834;-38.13080360867914
1739209670.6020863;-38.13080360867914
1739209670.6020892;-32.816014438256545
1739209670.6020918;-45.120503652039325
1739209670.6020947;-45.120503652039325
1739209670.6020975;-35.57807855764607
1739209670.6021001;-38.13080360867914
1739209670.602103;-38.13080360867914
1739209670.6021059;-38.13080360867914
1739209670.6021085;-45.120503652039325
1739209670.6021113;-38.13080360867914
1739209670.602114;-45.120503652039325
1739209670.6021168;-45.120503652039325
1739209670.6021197;-45.120503652039325
1739209670.6021223;-45.120503652039325
1739209670.6021252;-45.120503652039325
1739209670.602128;-38.13080360867914
1739209670.6021307;-38.13080360867914
1739209670.6021335;-45.120503652039325
1739209670.6021364;-38.13080360867914
1739209670.602139;-38.13080360867914
1739209670.6021419;-45.120503652039325
1739209670.6021447;-45.120503652039325
1739209670.6021473;-35.57807855764607
1739209670.6021502;-35.57807855764607
1739209670.602153;-45.120503652039325
1739209670.6021557;-45.120503652039325
1739209670.6021585;-45.120503652039325
1739209670.6021614;-45.120503652039325
1739209670.602164;-45.120503652039325
1739209670.602167;-38.13080360867914
1739209670.6021695;-45.120503652039325
1739209670.6021724;-45.120503652039325
1739209670.6021752;-38.13080360867914
1739209670.6021779;-38.13080360867914
1739209670.6021807;-38.13080360867914
1739209670.6021836;-35.57807855764607
1739209670.6021862;-38.13080360867914
1739209670.602189;-45.120503652039325
1739209670.602192;-38.13080360867914
1739209670.6021945;-32.816014438256545
1739209670.6021974;-38.13080360867914
1739209670.6022003;-38.13080360867914
1739209670.602203;-45.120503652039325
1739209670.6022058;-45.120503652039325
1739209670.6022086;-33.981070128970906
1739209670.6022112;-38.13080360867914
1739209670.602214;-45.120503652039325
1739209670.602217;-45.120503652039325
1739209670.6022196;-45.120503652039325
1739209670.6022224;-38.13080360867914
1739209670.602225;-38.13080360867914
1739209670.602228;-33.981070128970906
1739209670.6022308;-45.120503652039325
1739209670.6022334;-45.120503652039325
1739209670.6022363;-38.13080360867914
1739209670.6022391;-35.57807855764607
1739209670.6022418;-38.13080360867914
1739209670.6022446;-45.120503652039325
1739209670.6022475;-45.120503652039325
1739209670.60225;-45.120503652039325
1739209670.602253;-45.120503652039325
1739209670.6022558;-45.120503652039325
1739209670.6022584;-45.120503652039325
1739209670.6022613;-38.13080360867914
1739209670.6022642;-38.13080360867914
1739209670.6022668;-38.13080360867914
1739209670.6022696;-45.120503652039325
1739209670.6022725;-38.13080360867914
1739209670.6022751;-35.57807855764607
1739209670.602278;-38.13080360867914
1739209670.6022809;-45.120503652039325
1739209670.6022835;-38.13080360867914
1739209670.6022863;-45.120503652039325
1739209670.602289;-45.120503652039325
1739209670.6022918;-38.13080360867914
1739209670.6022947;-38.13080360867914
1739209670.6022973;-45.120503652039325
1739209670.6023002;-38.13080360867914
1739209670.602303;-33.981070128970906
1739209670.6023057;-45.120503652039325
1739209670.6023085;-38.13080360867914
1739209670.6023114;-38.13080360867914
1739209670.602314;-32.816014438256545
1739209670.6023169;-35.57807855764607
1739209670.6023197;-38.13080360867914
1739209670.6023223;-38.13080360867914
1739209670.6023252;-45.120503652039325
1739209670.602328;-35.57807855764607
1739209670.6023307;-38.13080360867914
1739209670.6023335;-45.120503652039325
1739209670.6023364;-45.120503652039325
1739209670.602339;-38.13080360867914
1739209670.602342;-45.120503652039325
1739209670.6023445;-45.120503652039325
1739209670.6023474;-38.13080360867914
1739209670.6023502;-38.13080360867914
1739209670.6023529;-38.13080360867914
1739209670.6023557;-45.120503652039325
1739209670.6023586;-38.13080360867914
1739209670.6023612;-45.120503652039325
1739209670.602364;-38.13080360867914
1739209670.602367;-38.13080360867914
1739209670.6023695;-45.120503652039325
1739209670.6023724;-38.13080360867914
1739209670.6023753;-38.13080360867914
1739209670.602378;-38.13080360867914
1739209670.6023808;-45.120503652039325
1739209670.6023836;-45.120503652039325
1739209670.6023862;-33.981070128970906
1739209670.602389;-45.120503652039325
1739209670.602392;-45.120503652039325
1739209670.6023946;-38.13080360867914
1739209670.6023974;-32.816014438256545
1739209670.6024;-35.57807855764607
1739209670.602403;-45.120503652039325
1739209670.6024058;-45.120503652039325
1739209670.6024084;-45.120503652039325
1739209670.6024113;-45.120503652039325
1739209670.6024141;-38.13080360867914
1739209670.6024168;-38.13080360867914
1739209670.6024196;-45.120503652039325
1739209670.6024225;-38.13080360867914
1739209670.602425;-35.57807855764607
1739209670.602428;-38.13080360867914
1739209670.6024308;-30.49652367304973
1739209670.6024334;-38.13080360867914
1739209670.6024363;-38.13080360867914
1739209670.6024392;-45.120503652039325
1739209670.6024418;-35.57807855764607
1739209670.6024446;-32.816014438256545
1739209670.6024475;-45.120503652039325
1739209670.6024501;-45.120503652039325
1739209670.602453;-45.120503652039325
1739209670.6024556;-45.120503652039325
1739209670.6024585;-45.120503652039325
1739209670.6024613;-45.120503652039325
1739209670.602464;-45.120503652039325
1739209670.6024668;-45.120503652039325
1739209670.6024697;-45.120503652039325
1739209670.6024723;-45.120503652039325
1739209670.6024752;-33.981070128970906
1739209670.602478;-38.13080360867914
1739209670.6024806;-45.120503652039325
1739209670.6024835;-38.13080360867914
1739209670.6024864;-30.49652367304973
1739209670.602489;-33.981070128970906
1739209670.6024919;-45.120503652039325
1739209670.6024947;-45.120503652039325
