CAN Message; 0x1d3:00004faa9ccb4608
Timestamp;Amplitude
1739209598.0474296;-45.120503652039325
1739209598.0474372;-45.120503652039325
1739209598.0474448;-38.13080360867914
1739209598.0474524;-45.120503652039325
1739209598.04746;-45.120503652039325
1739209598.0474677;-45.120503652039325
1739209598.047475;-45.120503652039325
1739209598.0474827;-45.120503652039325
1739209598.0474904;-45.120503652039325
1739209598.047498;-35.57807855764607
1739209598.0475056;-45.120503652039325
1739209598.0475132;-32.816014438256545
1739209598.0475209;-29.438486411369333
1739209598.0475285;-45.120503652039325
1739209598.0475361;-45.120503652039325
1739209598.0475438;-38.13080360867914
1739209598.0475514;-38.13080360867914
1739209598.047559;-45.120503652039325
1739209598.0475664;-45.120503652039325
1739209598.047574;-45.120503652039325
1739209598.0475817;-35.57807855764607
1739209598.0475893;-38.13080360867914
1739209598.047597;-35.57807855764607
1739209598.0476046;-45.120503652039325
1739209598.0476122;-45.120503652039325
1739209598.0476198;-32.816014438256545
1739209598.0476274;-45.120503652039325
1739209598.047635;-35.57807855764607
1739209598.0476427;-26.487275050834715
1739209598.0476503;-33.981070128970906
1739209598.047658;-45.120503652039325
1739209598.0476654;-33.981070128970906
1739209598.047673;-31.141103565318893
1739209598.0476806;-45.120503652039325
1739209598.0476882;-45.120503652039325
1739209598.0476959;-38.13080360867914
1739209598.0477035;-45.120503652039325
1739209598.0477111;-45.120503652039325
1739209598.0477188;-45.120503652039325
1739209598.0477264;-38.13080360867914
1739209598.047734;-38.13080360867914
1739209598.0477417;-38.13080360867914
1739209598.0477493;-45.120503652039325
1739209598.047757;-45.120503652039325
1739209598.0477643;-38.13080360867914
1739209598.047772;-35.57807855764607
1739209598.0477796;-38.13080360867914
1739209598.0477872;-45.120503652039325
1739209598.0477948;-45.120503652039325
1739209598.0478024;-38.13080360867914
1739209598.04781;-38.13080360867914
1739209598.0478177;-45.120503652039325
1739209598.0478253;-35.57807855764607
1739209598.047833;-38.13080360867914
1739209598.0478406;-45.120503652039325
1739209598.0478482;-45.120503652039325
1739209598.0478556;-32.816014438256545
1739209598.0478632;-38.13080360867914
1739209598.0478709;-45.120503652039325
1739209598.0478785;-38.13080360867914
1739209598.0478861;-45.120503652039325
1739209598.0478938;-38.13080360867914
1739209598.0479014;-45.120503652039325
1739209598.047909;-38.13080360867914
1739209598.0479167;-38.13080360867914
1739209598.0479243;-45.120503652039325
1739209598.047932;-45.120503652039325
1739209598.0479395;-38.13080360867914
1739209598.0479472;-38.13080360867914
1739209598.0479546;-35.57807855764607
1739209598.0479622;-38.13080360867914
1739209598.0479698;-38.13080360867914
1739209598.0479774;-45.120503652039325
1739209598.047985;-45.120503652039325
1739209598.0479927;-45.120503652039325
1739209598.0480003;-45.120503652039325
1739209598.048008;-45.120503652039325
1739209598.0480156;-45.120503652039325
1739209598.0480232;-35.57807855764607
1739209598.0480309;-45.120503652039325
1739209598.0480385;-45.120503652039325
1739209598.048046;-38.13080360867914
1739209598.0480535;-35.57807855764607
1739209598.0480611;-38.13080360867914
1739209598.0480688;-33.981070128970906
1739209598.0480764;-33.981070128970906
1739209598.048084;-45.120503652039325
1739209598.0480917;-38.13080360867914
1739209598.0480993;-32.816014438256545
1739209598.048107;-38.13080360867914
1739209598.0481145;-45.120503652039325
1739209598.0481222;-38.13080360867914
1739209598.0481298;-38.13080360867914
1739209598.0481374;-45.120503652039325
1739209598.0481448;-38.13080360867914
1739209598.0481524;-38.13080360867914
1739209598.04816;-45.120503652039325
1739209598.0481677;-45.120503652039325
1739209598.0481753;-38.13080360867914
1739209598.048183;-45.120503652039325
1739209598.0481906;-45.120503652039325
1739209598.0481982;-35.57807855764607
1739209598.0482059;-38.13080360867914
1739209598.0482135;-45.120503652039325
1739209598.048221;-38.13080360867914
1739209598.0482287;-32.816014438256545
1739209598.0482364;-38.13080360867914
1739209598.0482438;-38.13080360867914
