CAN Message; 0x24:0148bfddae89daeb
Timestamp;Amplitude
1739209618.1192775;-45.120503652039325
1739209618.1192803;-35.57807855764607
1739209618.1192834;-35.57807855764607
1739209618.1192863;-45.120503652039325
1739209618.1192894;-45.120503652039325
1739209618.1192925;-38.13080360867914
1739209618.1192954;-38.13080360867914
1739209618.1192985;-45.120503652039325
1739209618.1193016;-45.120503652039325
1739209618.1193044;-45.120503652039325
1739209618.1193075;-45.120503652039325
1739209618.1193104;-38.13080360867914
1739209618.1193135;-45.120503652039325
1739209618.1193166;-45.120503652039325
1739209618.1193194;-38.13080360867914
1739209618.1193225;-38.13080360867914
1739209618.1193254;-45.120503652039325
1739209618.1193285;-45.120503652039325
1739209618.1193316;-38.13080360867914
1739209618.1193345;-33.981070128970906
1739209618.1193376;-45.120503652039325
1739209618.1193407;-45.120503652039325
1739209618.1193435;-38.13080360867914
1739209618.1193466;-45.120503652039325
1739209618.1193495;-38.13080360867914
1739209618.1193526;-38.13080360867914
1739209618.1193557;-45.120503652039325
1739209618.1193585;-45.120503652039325
1739209618.1193616;-45.120503652039325
1739209618.1193645;-38.13080360867914
1739209618.1193676;-33.981070128970906
1739209618.1193707;-38.13080360867914
1739209618.1193736;-38.13080360867914
1739209618.1193767;-38.13080360867914
1739209618.1193798;-45.120503652039325
1739209618.1193826;-38.13080360867914
1739209618.1193857;-45.120503652039325
1739209618.1193886;-45.120503652039325
1739209618.1193917;-45.120503652039325
1739209618.1193948;-45.120503652039325
1739209618.1193976;-45.120503652039325
1739209618.1194007;-38.13080360867914
1739209618.1194036;-35.57807855764607
1739209618.1194067;-45.120503652039325
1739209618.1194098;-38.13080360867914
1739209618.1194127;-35.57807855764607
1739209618.1194158;-33.981070128970906
1739209618.1194189;-33.981070128970906
1739209618.1194217;-33.981070128970906
1739209618.1194248;-38.13080360867914
1739209618.1194277;-45.120503652039325
1739209618.1194308;-38.13080360867914
1739209618.1194339;-38.13080360867914
1739209618.1194367;-35.57807855764607
1739209618.1194398;-38.13080360867914
1739209618.1194427;-45.120503652039325
1739209618.1194458;-38.13080360867914
1739209618.119449;-45.120503652039325
1739209618.1194518;-38.13080360867914
1739209618.1194549;-31.141103565318915
1739209618.119458;-45.120503652039325
1739209618.1194608;-45.120503652039325
1739209618.119464;-45.120503652039325
1739209618.1194668;-38.13080360867914
1739209618.11947;-45.120503652039325
1739209618.119473;-38.13080360867914
1739209618.1194758;-45.120503652039325
1739209618.119479;-45.120503652039325
1739209618.1194818;-38.13080360867914
1739209618.119485;-38.13080360867914
1739209618.119488;-45.120503652039325
1739209618.1194909;-45.120503652039325
1739209618.119494;-38.13080360867914
1739209618.119497;-38.13080360867914
1739209618.1195;-45.120503652039325
1739209618.119503;-45.120503652039325
1739209618.119506;-38.13080360867914
1739209618.119509;-38.13080360867914
1739209618.119512;-38.13080360867914
1739209618.119515;-38.13080360867914
1739209618.119518;-38.13080360867914
1739209618.119521;-35.57807855764607
1739209618.119524;-38.13080360867914
1739209618.119527;-31.141103565318915
1739209618.11953;-35.57807855764607
1739209618.119533;-45.120503652039325
1739209618.1195362;-45.120503652039325
1739209618.119539;-35.57807855764607
1739209618.1195421;-35.57807855764607
1739209618.119545;-45.120503652039325
1739209618.119548;-38.13080360867914
1739209618.1195512;-35.57807855764607
1739209618.119554;-45.120503652039325
1739209618.1195571;-45.120503652039325
1739209618.11956;-38.13080360867914
1739209618.119563;-45.120503652039325
1739209618.1195662;-38.13080360867914
1739209618.119569;-38.13080360867914
1739209618.1195722;-35.57807855764607
1739209618.1195753;-27.267205301931607
1739209618.1195781;-38.13080360867914
1739209618.1195812;-45.120503652039325
1739209618.119584;-45.120503652039325
1739209618.1195872;-33.981070128970906
1739209618.1195903;-45.120503652039325
1739209618.1195931;-38.13080360867914
1739209618.1195962;-45.120503652039325
1739209618.119599;-32.81601443825658
1739209618.1196022;-38.13080360867914
1739209618.1196053;-38.13080360867914
1739209618.1196082;-45.120503652039325
1739209618.1196113;-45.120503652039325
1739209618.1196144;-38.13080360867914
1739209618.1196172;-45.120503652039325
1739209618.1196203;-45.120503652039325
1739209618.1196232;-27.267205301931607
1739209618.1196263;-35.57807855764607
1739209618.1196294;-38.13080360867914
1739209618.1196322;-45.120503652039325
1739209618.1196353;-33.981070128970906
1739209618.1196382;-45.120503652039325
1739209618.1196413;-45.120503652039325
1739209618.1196444;-45.120503652039325
1739209618.1196473;-38.13080360867914
1739209618.1196504;-45.120503652039325
1739209618.1196535;-45.120503652039325
1739209618.1196563;-45.120503652039325
1739209618.1196594;-45.120503652039325
1739209618.1196623;-38.13080360867914
1739209618.1196654;-38.13080360867914
1739209618.1196685;-45.120503652039325
1739209618.1196713;-30.49652367304973
1739209618.1196744;-35.57807855764607
1739209618.1196773;-38.13080360867914
1739209618.1196804;-38.13080360867914
1739209618.1196835;-38.13080360867914
1739209618.1196864;-38.13080360867914
1739209618.1196895;-45.120503652039325
1739209618.1196926;-45.120503652039325
1739209618.1196954;-35.57807855764607
1739209618.1196985;-35.57807855764607
1739209618.1197014;-45.120503652039325
1739209618.1197045;-38.13080360867914
1739209618.1197076;-32.816014438256545
1739209618.1197104;-38.13080360867914
