CAN Message; 0x1b8:02001621e3129e9c
Timestamp;Amplitude
1739209754.1792157;-45.120503652039325
1739209754.1792173;-33.981070128970906
1739209754.179219;-38.13080360867914
1739209754.1792207;-38.13080360867914
1739209754.1792223;-38.13080360867914
1739209754.179224;-45.120503652039325
1739209754.1792257;-45.120503652039325
1739209754.1792274;-45.120503652039325
1739209754.179229;-35.57807855764607
1739209754.1792307;-45.120503652039325
1739209754.1792324;-45.120503652039325
1739209754.179234;-38.13080360867914
1739209754.1792357;-45.120503652039325
1739209754.1792374;-38.13080360867914
1739209754.179239;-38.13080360867914
1739209754.1792407;-45.120503652039325
1739209754.1792424;-35.57807855764607
1739209754.179244;-45.120503652039325
1739209754.1792457;-35.57807855764607
1739209754.1792474;-35.57807855764607
1739209754.179249;-35.57807855764607
1739209754.1792507;-45.120503652039325
1739209754.1792524;-45.120503652039325
1739209754.179254;-45.120503652039325
1739209754.1792557;-45.120503652039325
1739209754.1792574;-38.13080360867914
1739209754.179259;-45.120503652039325
1739209754.1792607;-33.981070128970906
1739209754.1792624;-45.120503652039325
1739209754.179264;-33.981070128970906
1739209754.1792657;-33.981070128970906
1739209754.1792674;-38.13080360867914
1739209754.179269;-45.120503652039325
1739209754.1792707;-38.13080360867914
1739209754.1792724;-31.141103565318893
1739209754.179274;-38.13080360867914
1739209754.1792758;-45.120503652039325
1739209754.1792774;-45.120503652039325
1739209754.179279;-38.13080360867914
1739209754.1792808;-38.13080360867914
1739209754.1792824;-45.120503652039325
1739209754.179284;-45.120503652039325
1739209754.1792858;-45.120503652039325
1739209754.1792874;-45.120503652039325
1739209754.179289;-45.120503652039325
1739209754.1792908;-38.13080360867914
1739209754.1792924;-38.13080360867914
1739209754.179294;-45.120503652039325
1739209754.1792958;-45.120503652039325
1739209754.1792974;-45.120503652039325
1739209754.179299;-30.49652367304973
1739209754.1793008;-35.57807855764607
1739209754.1793025;-45.120503652039325
1739209754.1793041;-38.13080360867914
1739209754.1793058;-38.13080360867914
1739209754.1793075;-38.13080360867914
1739209754.1793091;-45.120503652039325
1739209754.1793108;-33.981070128970906
1739209754.1793125;-45.120503652039325
1739209754.1793141;-45.120503652039325
