CAN Message; 0x1a7:0000bbb2d13dbf22
Timestamp;Amplitude
1739209858.6230266;-38.13080360867914
1739209858.6230338;-45.120503652039325
1739209858.623041;-45.120503652039325
1739209858.623048;-31.141103565318893
1739209858.6230552;-45.120503652039325
1739209858.6230624;-45.120503652039325
1739209858.6230695;-38.13080360867914
1739209858.6230767;-38.13080360867914
1739209858.6230838;-45.120503652039325
1739209858.6230907;-45.120503652039325
1739209858.623098;-45.120503652039325
1739209858.623105;-45.120503652039325
1739209858.6231122;-45.120503652039325
1739209858.6231194;-45.120503652039325
1739209858.6231265;-45.120503652039325
1739209858.6231337;-30.49652367304973
1739209858.6231408;-38.13080360867914
1739209858.623148;-38.13080360867914
1739209858.623155;-35.57807855764607
1739209858.6231623;-38.13080360867914
1739209858.6231694;-38.13080360867914
1739209858.6231766;-38.13080360867914
1739209858.6231837;-45.120503652039325
1739209858.6231909;-45.120503652039325
1739209858.623198;-38.13080360867914
1739209858.6232052;-26.991370085610722
1739209858.6232123;-28.992665084841942
1739209858.6232195;-31.141103565318915
1739209858.6232264;-32.816014438256545
1739209858.6232336;-45.120503652039325
1739209858.6232407;-27.267205301931607
1739209858.6232479;-26.991370085610736
1739209858.623255;-45.120503652039325
1739209858.6232622;-28.992665084841942
1739209858.6232693;-45.120503652039325
1739209858.6232765;-45.120503652039325
1739209858.6232836;-33.981070128970906
1739209858.6232908;-45.120503652039325
1739209858.623298;-32.816014438256545
1739209858.623305;-26.991370085610722
1739209858.6233122;-26.991370085610722
1739209858.6233194;-31.141103565318943
1739209858.6233265;-45.120503652039325
1739209858.6233337;-35.57807855764607
1739209858.6233408;-29.438486411369333
1739209858.623348;-45.120503652039325
1739209858.6233552;-28.58837851428586
1739209858.623362;-31.14110356531892
1739209858.6233692;-35.57807855764607
1739209858.6233764;-28.58837851428586
1739209858.6233835;-32.81601443825658
1739209858.6233907;-38.13080360867914
1739209858.6233978;-45.120503652039325
1739209858.623405;-45.120503652039325
1739209858.6234121;-33.981070128970956
1739209858.6234193;-33.981070128970906
1739209858.6234264;-38.13080360867914
1739209858.6234336;-38.13080360867914
1739209858.6234407;-29.438486411369354
1739209858.623448;-33.981070128970906
1739209858.623455;-31.141103565318893
1739209858.6234622;-27.877744956031414
1739209858.6234694;-31.141103565318943
1739209858.6234765;-28.58837851428586
1739209858.6234837;-33.981070128970906
1739209858.6234908;-32.816014438256545
1739209858.6234977;-22.54371790334745
1739209858.6235049;-45.120503652039325
1739209858.623512;-31.141103565318915
1739209858.6235192;-35.57807855764607
1739209858.6235263;-38.13080360867914
1739209858.6235335;-33.981070128970906
1739209858.6235406;-45.120503652039325
1739209858.6235478;-38.13080360867914
1739209858.623555;-33.981070128970956
1739209858.623562;-27.267205301931607
1739209858.6235693;-33.981070128970906
1739209858.6235764;-28.992665084841942
1739209858.6235836;-28.992665084841942
1739209858.6235907;-45.120503652039325
1739209858.6235979;-28.21854285175415
1739209858.623605;-33.981070128970906
1739209858.6236122;-45.120503652039325
1739209858.6236193;-26.487275050834715
1739209858.6236265;-28.58837851428586
1739209858.6236334;-32.816014438256545
1739209858.6236405;-38.13080360867914
1739209858.6236477;-28.992665084841942
1739209858.6236548;-31.141103565318915
1739209858.623662;-29.438486411369375
1739209858.6236691;-38.13080360867914
1739209858.6236763;-27.267205301931607
1739209858.6236835;-25.62660358559016
1739209858.6236906;-27.267205301931607
1739209858.6236978;-38.13080360867914
1739209858.623705;-38.13080360867914
1739209858.623712;-33.981070128970906
1739209858.6237192;-38.13080360867914
1739209858.6237264;-33.981070128970906
1739209858.6237335;-45.120503652039325
1739209858.6237407;-31.141103565318915
1739209858.6237478;-31.141103565318893
1739209858.623755;-38.13080360867914
1739209858.6237621;-45.120503652039325
1739209858.623769;-33.981070128970906
1739209858.6237762;-32.816014438256545
1739209858.6237833;-45.120503652039325
1739209858.6237905;-33.981070128970906
1739209858.6237977;-24.589719217205094
1739209858.6238048;-33.981070128970956
1739209858.623812;-27.267205301931607
1739209858.623819;-24.589719217205094
1739209858.6238263;-28.588378514285886
1739209858.6238334;-28.992665084841942
1739209858.6238406;-35.57807855764607
1739209858.6238477;-45.120503652039325
1739209858.6238549;-38.13080360867914
1739209858.623862;-31.141103565318915
1739209858.6238692;-28.992665084841942
1739209858.6238763;-30.49652367304973
1739209858.6238835;-35.57807855764607
1739209858.6238906;-31.141103565318915
1739209858.6238978;-31.141103565318943
1739209858.6239047;-26.991370085610722
1739209858.6239119;-26.487275050834715
1739209858.623919;-35.57807855764607
1739209858.6239262;-33.981070128970906
1739209858.6239333;-29.438486411369333
1739209858.6239405;-33.981070128970956
1739209858.6239476;-24.589719217205094
1739209858.6239548;-32.816014438256545
1739209858.623962;-45.120503652039325
1739209858.623969;-38.13080360867914
1739209858.6239762;-45.120503652039325
1739209858.6239834;-38.13080360867914
1739209858.6239905;-45.120503652039325
1739209858.6239977;-28.992665084841942
1739209858.6240048;-33.981070128970906
1739209858.624012;-28.58837851428586
1739209858.6240191;-31.141103565318915
1739209858.6240263;-45.120503652039325
1739209858.6240335;-45.120503652039325
1739209858.6240404;-33.981070128970906
1739209858.6240475;-30.49652367304973
1739209858.6240547;-26.991370085610722
1739209858.6240618;-25.252786309376837
1739209858.624069;-45.120503652039325
1739209858.6240761;-27.8777449560314
1739209858.6240833;-26.991370085610754
1739209858.6240904;-32.81601443825658
1739209858.6240976;-38.13080360867914
1739209858.6241047;-45.120503652039325
1739209858.624112;-38.13080360867914
1739209858.624119;-28.588378514285886
1739209858.6241262;-30.49652367304973
1739209858.6241333;-32.816014438256545
1739209858.6241405;-38.13080360867914
1739209858.6241477;-33.981070128970906
1739209858.6241548;-31.141103565318893
1739209858.624162;-31.141103565318915
1739209858.624169;-25.826314394896364
1739209858.624176;-33.981070128970906
1739209858.6241832;-33.981070128970906
1739209858.6241903;-38.13080360867914
1739209858.6241975;-27.8777449560314
1739209858.6242046;-27.267205301931607
1739209858.6242118;-38.13080360867914
1739209858.624219;-32.816014438256545
1739209858.624226;-45.120503652039325
1739209858.6242332;-38.13080360867914
1739209858.6242404;-38.13080360867914
1739209858.6242476;-31.141103565318893
1739209858.6242547;-38.13080360867914
1739209858.6242619;-45.120503652039325
1739209858.624269;-45.120503652039325
1739209858.6242762;-27.267205301931607
1739209858.6242833;-31.141103565318915
1739209858.6242905;-26.991370085610722
1739209858.6242976;-30.49652367304973
