CAN Message; 0x77:58a4906bccabd6b8
Timestamp;Amplitude
1739209724.2777698;-45.120503652039325
1739209724.2777717;-38.13080360867914
1739209724.2777734;-45.120503652039325
1739209724.2777753;-38.13080360867914
1739209724.277777;-30.49652367304973
1739209724.2777789;-31.141103565318915
1739209724.2777805;-45.120503652039325
1739209724.2777822;-45.120503652039325
1739209724.277784;-38.13080360867914
1739209724.2777858;-45.120503652039325
1739209724.2777877;-45.120503652039325
1739209724.2777894;-38.13080360867914
1739209724.2777913;-45.120503652039325
1739209724.277793;-45.120503652039325
1739209724.2777946;-38.13080360867914
1739209724.2777965;-38.13080360867914
1739209724.2777982;-35.57807855764607
1739209724.2778;-38.13080360867914
1739209724.2778018;-45.120503652039325
1739209724.2778034;-45.120503652039325
1739209724.2778053;-45.120503652039325
1739209724.277807;-45.120503652039325
1739209724.277809;-38.13080360867914
1739209724.2778106;-38.13080360867914
1739209724.2778125;-45.120503652039325
1739209724.2778141;-45.120503652039325
1739209724.2778158;-45.120503652039325
1739209724.2778177;-45.120503652039325
1739209724.2778194;-32.816014438256545
1739209724.2778213;-30.49652367304973
1739209724.277823;-45.120503652039325
1739209724.2778249;-38.13080360867914
1739209724.2778265;-32.816014438256545
1739209724.2778282;-35.57807855764607
1739209724.2778301;-45.120503652039325
1739209724.2778318;-38.13080360867914
1739209724.2778337;-38.13080360867914
1739209724.2778354;-45.120503652039325
1739209724.2778373;-45.120503652039325
1739209724.277839;-45.120503652039325
1739209724.2778406;-45.120503652039325
1739209724.2778425;-38.13080360867914
1739209724.2778442;-45.120503652039325
1739209724.277846;-45.120503652039325
1739209724.2778478;-32.816014438256545
1739209724.2778497;-38.13080360867914
1739209724.2778513;-45.120503652039325
1739209724.277853;-38.13080360867914
1739209724.277855;-33.981070128970906
1739209724.2778566;-45.120503652039325
1739209724.2778585;-45.120503652039325
1739209724.2778602;-45.120503652039325
1739209724.277862;-45.120503652039325
1739209724.2778637;-33.981070128970906
1739209724.2778654;-38.13080360867914
1739209724.2778673;-38.13080360867914
1739209724.277869;-45.120503652039325
1739209724.277871;-38.13080360867914
1739209724.2778726;-33.981070128970906
1739209724.2778742;-45.120503652039325
1739209724.2778761;-45.120503652039325
1739209724.2778778;-45.120503652039325
1739209724.2778797;-45.120503652039325
1739209724.2778814;-45.120503652039325
1739209724.2778833;-45.120503652039325
1739209724.277885;-38.13080360867914
1739209724.2778866;-38.13080360867914
1739209724.2778885;-38.13080360867914
1739209724.2778902;-45.120503652039325
1739209724.277892;-33.981070128970906
1739209724.2778938;-33.981070128970906
1739209724.2778957;-35.57807855764607
1739209724.2778974;-45.120503652039325
1739209724.277899;-38.13080360867914
1739209724.277901;-38.13080360867914
1739209724.2779026;-45.120503652039325
1739209724.2779045;-45.120503652039325
1739209724.2779062;-28.992665084841942
1739209724.277908;-31.141103565318915
1739209724.2779098;-38.13080360867914
1739209724.2779114;-45.120503652039325
1739209724.2779133;-38.13080360867914
1739209724.277915;-32.816014438256545
1739209724.277917;-45.120503652039325
1739209724.2779186;-45.120503652039325
1739209724.2779205;-35.57807855764607
1739209724.2779222;-38.13080360867914
1739209724.2779238;-45.120503652039325
1739209724.2779257;-45.120503652039325
1739209724.2779274;-45.120503652039325
1739209724.2779293;-45.120503652039325
1739209724.277931;-38.13080360867914
1739209724.277933;-45.120503652039325
1739209724.2779346;-33.981070128970906
1739209724.2779362;-31.141103565318915
1739209724.2779381;-45.120503652039325
1739209724.2779398;-45.120503652039325
1739209724.2779417;-45.120503652039325
1739209724.2779434;-45.120503652039325
1739209724.277945;-38.13080360867914
1739209724.277947;-45.120503652039325
1739209724.2779486;-31.141103565318915
1739209724.2779505;-28.992665084841942
1739209724.2779522;-45.120503652039325
1739209724.277954;-45.120503652039325
1739209724.2779558;-33.981070128970906
1739209724.2779574;-33.981070128970906
1739209724.2779593;-45.120503652039325
1739209724.277961;-32.816014438256545
1739209724.277963;-45.120503652039325
1739209724.2779646;-38.13080360867914
1739209724.2779665;-38.13080360867914
1739209724.2779682;-45.120503652039325
1739209724.2779698;-38.13080360867914
1739209724.2779717;-38.13080360867914
1739209724.2779734;-38.13080360867914
1739209724.2779753;-35.57807855764607
1739209724.277977;-38.13080360867914
1739209724.277979;-35.57807855764607
1739209724.2779806;-38.13080360867914
1739209724.2779822;-45.120503652039325
1739209724.2779841;-45.120503652039325
1739209724.2779858;-45.120503652039325
1739209724.2779877;-38.13080360867914
1739209724.2779894;-38.13080360867914
1739209724.2779913;-38.13080360867914
1739209724.277993;-38.13080360867914
1739209724.2779946;-38.13080360867914
1739209724.2779965;-45.120503652039325
1739209724.2779982;-35.57807855764607
1739209724.278;-38.13080360867914
1739209724.2780018;-45.120503652039325
1739209724.2780035;-38.13080360867914
1739209724.2780054;-45.120503652039325
1739209724.278007;-45.120503652039325
1739209724.278009;-45.120503652039325
1739209724.2780106;-45.120503652039325
1739209724.2780125;-45.120503652039325
1739209724.2780142;-38.13080360867914
1739209724.2780159;-45.120503652039325
1739209724.2780178;-45.120503652039325
1739209724.2780194;-38.13080360867914
1739209724.2780213;-45.120503652039325
1739209724.278023;-38.13080360867914
1739209724.278025;-38.13080360867914
1739209724.2780266;-45.120503652039325
1739209724.2780282;-45.120503652039325
1739209724.2780302;-45.120503652039325
1739209724.2780318;-35.57807855764607
1739209724.2780337;-38.13080360867914
1739209724.2780354;-45.120503652039325
1739209724.2780373;-33.981070128970906
1739209724.278039;-45.120503652039325
1739209724.2780406;-45.120503652039325
1739209724.2780426;-35.57807855764607
1739209724.2780442;-45.120503652039325
1739209724.2780461;-38.13080360867914
1739209724.2780478;-45.120503652039325
1739209724.2780497;-38.13080360867914
1739209724.2780514;-33.981070128970906
1739209724.278053;-38.13080360867914
1739209724.278055;-45.120503652039325
1739209724.2780566;-45.120503652039325
1739209724.2780585;-35.57807855764607
1739209724.2780602;-38.13080360867914
1739209724.278062;-45.120503652039325
1739209724.2780638;-45.120503652039325
1739209724.2780654;-35.57807855764607
1739209724.2780674;-35.57807855764607
1739209724.278069;-38.13080360867914
1739209724.278071;-35.57807855764607
1739209724.2780726;-38.13080360867914
1739209724.2780743;-35.57807855764607
1739209724.2780762;-38.13080360867914
1739209724.2780778;-38.13080360867914
1739209724.2780797;-33.981070128970906
1739209724.2780814;-35.57807855764607
1739209724.2780833;-45.120503652039325
1739209724.278085;-38.13080360867914
1739209724.2780867;-35.57807855764607
1739209724.2780886;-38.13080360867914
1739209724.2780902;-38.13080360867914
1739209724.2780921;-45.120503652039325
1739209724.2780938;-45.120503652039325
1739209724.2780957;-35.57807855764607
