CAN Message; 0x39:0029fdb7ab7e11fe
Timestamp;Amplitude
1739209888.946656;-45.120503652039325
1739209888.9466608;-45.120503652039325
1739209888.9466653;-38.13080360867914
1739209888.94667;-38.13080360867914
1739209888.9466746;-45.120503652039325
1739209888.9466794;-38.13080360867914
1739209888.946684;-33.981070128970906
1739209888.9466887;-38.13080360867914
1739209888.9466932;-45.120503652039325
1739209888.9466977;-45.120503652039325
1739209888.9467025;-38.13080360867914
1739209888.946707;-38.13080360867914
1739209888.9467118;-45.120503652039325
1739209888.9467163;-38.13080360867914
1739209888.946721;-35.57807855764607
1739209888.9467256;-38.13080360867914
1739209888.9467304;-45.120503652039325
1739209888.946735;-45.120503652039325
1739209888.9467397;-33.981070128970906
1739209888.9467442;-32.816014438256545
1739209888.9467487;-38.13080360867914
1739209888.9467535;-38.13080360867914
1739209888.946758;-27.267205301931607
1739209888.9467628;-35.57807855764607
1739209888.9467673;-45.120503652039325
1739209888.946772;-38.13080360867914
1739209888.9467766;-33.981070128970906
1739209888.9467814;-38.13080360867914
1739209888.946786;-38.13080360867914
1739209888.9467905;-45.120503652039325
1739209888.9467952;-45.120503652039325
1739209888.9467998;-38.13080360867914
1739209888.9468045;-38.13080360867914
1739209888.946809;-38.13080360867914
1739209888.9468138;-38.13080360867914
1739209888.9468184;-45.120503652039325
1739209888.9468231;-38.13080360867914
1739209888.9468277;-45.120503652039325
1739209888.9468322;-33.981070128970906
1739209888.946837;-38.13080360867914
1739209888.9468415;-45.120503652039325
1739209888.9468462;-38.13080360867914
1739209888.9468508;-38.13080360867914
1739209888.9468555;-45.120503652039325
1739209888.94686;-45.120503652039325
1739209888.9468648;-38.13080360867914
1739209888.9468694;-38.13080360867914
1739209888.9468741;-45.120503652039325
1739209888.9468787;-35.57807855764607
1739209888.9468832;-35.57807855764607
1739209888.946888;-45.120503652039325
1739209888.9468925;-45.120503652039325
1739209888.9468973;-38.13080360867914
1739209888.9469018;-38.13080360867914
1739209888.9469066;-35.57807855764607
1739209888.946911;-38.13080360867914
1739209888.9469159;-38.13080360867914
