CAN Message; 0x150:0400bdd67d361928
Timestamp;Amplitude
1739209677.3099754;-38.13080360867914
1739209677.3099844;-45.120503652039325
1739209677.3099937;-45.120503652039325
1739209677.3100028;-28.58837851428586
1739209677.310012;-35.57807855764607
1739209677.3100212;-38.13080360867914
1739209677.3100305;-38.13080360867914
1739209677.3100395;-38.13080360867914
1739209677.3100488;-38.13080360867914
1739209677.3100579;-35.57807855764607
1739209677.3100672;-45.120503652039325
1739209677.3100762;-38.13080360867914
1739209677.3100855;-33.981070128970906
1739209677.3100946;-38.13080360867914
1739209677.310104;-45.120503652039325
1739209677.310113;-33.981070128970906
1739209677.3101223;-45.120503652039325
1739209677.3101313;-45.120503652039325
1739209677.3101406;-45.120503652039325
1739209677.3101497;-45.120503652039325
1739209677.310159;-38.13080360867914
1739209677.310168;-38.13080360867914
1739209677.3101773;-38.13080360867914
1739209677.3101864;-38.13080360867914
1739209677.3101957;-38.13080360867914
1739209677.3102047;-38.13080360867914
1739209677.310214;-45.120503652039325
1739209677.310223;-31.141103565318915
1739209677.3102324;-35.57807855764607
1739209677.3102415;-38.13080360867914
1739209677.3102508;-45.120503652039325
1739209677.3102598;-38.13080360867914
1739209677.310269;-38.13080360867914
1739209677.3102782;-38.13080360867914
1739209677.3102875;-38.13080360867914
1739209677.3102965;-31.14110356531892
1739209677.3103058;-38.13080360867914
1739209677.310315;-33.981070128970906
1739209677.3103242;-45.120503652039325
1739209677.3103333;-45.120503652039325
1739209677.3103426;-32.816014438256545
1739209677.3103516;-45.120503652039325
1739209677.310361;-45.120503652039325
1739209677.31037;-27.267205301931607
1739209677.3103793;-32.816014438256545
1739209677.3103883;-38.13080360867914
1739209677.3103976;-45.120503652039325
1739209677.3104067;-33.981070128970906
1739209677.310416;-38.13080360867914
1739209677.310425;-38.13080360867914
1739209677.3104343;-38.13080360867914
1739209677.3104434;-35.57807855764607
1739209677.3104527;-45.120503652039325
1739209677.3104618;-38.13080360867914
1739209677.310471;-45.120503652039325
1739209677.31048;-38.13080360867914
1739209677.3104894;-35.57807855764607
1739209677.3104985;-45.120503652039325
1739209677.3105078;-45.120503652039325
1739209677.3105168;-33.981070128970906
1739209677.3105261;-35.57807855764607
1739209677.3105352;-45.120503652039325
1739209677.3105445;-45.120503652039325
1739209677.3105536;-45.120503652039325
1739209677.3105628;-38.13080360867914
1739209677.310572;-45.120503652039325
1739209677.3105812;-45.120503652039325
1739209677.3105903;-32.816014438256545
1739209677.3105996;-38.13080360867914
1739209677.3106086;-45.120503652039325
1739209677.310618;-45.120503652039325
1739209677.310627;-33.981070128970906
1739209677.3106363;-38.13080360867914
1739209677.3106453;-45.120503652039325
1739209677.3106546;-38.13080360867914
1739209677.3106637;-45.120503652039325
1739209677.310673;-35.57807855764607
1739209677.310682;-38.13080360867914
1739209677.3106914;-45.120503652039325
1739209677.3107004;-35.57807855764607
1739209677.3107097;-33.981070128970906
1739209677.3107188;-38.13080360867914
1739209677.310728;-45.120503652039325
1739209677.3107371;-35.57807855764607
1739209677.3107464;-38.13080360867914
1739209677.3107555;-45.120503652039325
1739209677.3107648;-45.120503652039325
1739209677.3107738;-38.13080360867914
1739209677.3107831;-45.120503652039325
1739209677.3107922;-45.120503652039325
1739209677.3108015;-45.120503652039325
1739209677.3108106;-45.120503652039325
1739209677.3108199;-45.120503652039325
1739209677.310829;-38.13080360867914
1739209677.3108382;-38.13080360867914
1739209677.3108473;-45.120503652039325
1739209677.3108566;-38.13080360867914
1739209677.3108656;-45.120503652039325
1739209677.310875;-45.120503652039325
