CAN Message; 0x1bb:00000c26a370e69b
Timestamp;Amplitude
1739209629.3379242;-35.57807855764607
1739209629.3379319;-38.13080360867914
1739209629.3379397;-38.13080360867914
1739209629.3379474;-38.13080360867914
1739209629.337955;-45.120503652039325
1739209629.3379626;-38.13080360867914
1739209629.3379705;-38.13080360867914
1739209629.3379781;-45.120503652039325
1739209629.3379858;-38.13080360867914
1739209629.3379934;-38.13080360867914
1739209629.3380013;-38.13080360867914
1739209629.3380089;-45.120503652039325
1739209629.3380165;-38.13080360867914
1739209629.3380241;-35.57807855764607
1739209629.338032;-45.120503652039325
1739209629.3380396;-45.120503652039325
1739209629.3380473;-33.981070128970906
1739209629.338055;-33.981070128970906
1739209629.3380628;-38.13080360867914
1739209629.3380704;-45.120503652039325
1739209629.338078;-45.120503652039325
1739209629.3380857;-45.120503652039325
1739209629.3380935;-38.13080360867914
1739209629.3381011;-45.120503652039325
1739209629.3381088;-35.57807855764607
1739209629.3381164;-32.816014438256545
1739209629.3381243;-38.13080360867914
1739209629.338132;-38.13080360867914
1739209629.3381395;-33.981070128970906
1739209629.3381472;-32.816014438256545
1739209629.338155;-38.13080360867914
1739209629.3381627;-45.120503652039325
1739209629.3381703;-45.120503652039325
1739209629.338178;-38.13080360867914
1739209629.3381858;-38.13080360867914
1739209629.3381934;-38.13080360867914
1739209629.338201;-38.13080360867914
1739209629.3382087;-45.120503652039325
1739209629.3382165;-45.120503652039325
1739209629.3382242;-38.13080360867914
1739209629.3382318;-38.13080360867914
1739209629.3382394;-33.981070128970906
1739209629.3382473;-38.13080360867914
1739209629.338255;-45.120503652039325
1739209629.3382626;-35.57807855764607
1739209629.3382702;-35.57807855764607
1739209629.338278;-38.13080360867914
1739209629.3382857;-38.13080360867914
1739209629.3382933;-33.981070128970906
1739209629.338301;-45.120503652039325
1739209629.3383088;-45.120503652039325
1739209629.3383164;-45.120503652039325
1739209629.338324;-35.57807855764607
1739209629.3383317;-31.141103565318915
1739209629.3383396;-38.13080360867914
1739209629.3383472;-38.13080360867914
1739209629.3383548;-33.981070128970906
1739209629.3383625;-33.981070128970906
1739209629.3383703;-45.120503652039325
1739209629.338378;-38.13080360867914
1739209629.3383856;-35.57807855764607
1739209629.3383932;-38.13080360867914
1739209629.338401;-45.120503652039325
1739209629.3384087;-38.13080360867914
1739209629.3384163;-35.57807855764607
1739209629.338424;-32.816014438256545
1739209629.3384318;-33.981070128970906
1739209629.3384395;-45.120503652039325
1739209629.338447;-33.981070128970906
1739209629.3384547;-45.120503652039325
1739209629.3384626;-38.13080360867914
1739209629.3384702;-45.120503652039325
1739209629.3384778;-38.13080360867914
1739209629.3384855;-33.981070128970906
1739209629.3384933;-35.57807855764607
1739209629.338501;-38.13080360867914
1739209629.3385086;-38.13080360867914
1739209629.3385162;-38.13080360867914
1739209629.338524;-45.120503652039325
1739209629.3385317;-38.13080360867914
1739209629.3385394;-45.120503652039325
1739209629.338547;-35.57807855764607
1739209629.3385549;-28.992665084841942
1739209629.3385625;-45.120503652039325
1739209629.33857;-38.13080360867914
1739209629.3385777;-35.57807855764607
1739209629.3385854;-38.13080360867914
1739209629.3385932;-45.120503652039325
1739209629.3386009;-30.49652367304973
1739209629.3386085;-38.13080360867914
1739209629.3386161;-31.141103565318943
1739209629.338624;-45.120503652039325
1739209629.3386316;-35.57807855764607
1739209629.3386393;-38.13080360867914
1739209629.338647;-38.13080360867914
1739209629.3386548;-35.57807855764607
1739209629.3386624;-35.57807855764607
1739209629.33867;-33.981070128970906
1739209629.3386776;-31.141103565318915
1739209629.3386855;-38.13080360867914
1739209629.3386931;-45.120503652039325
1739209629.3387008;-45.120503652039325
1739209629.3387084;-45.120503652039325
1739209629.3387163;-45.120503652039325
1739209629.338724;-35.57807855764607
1739209629.3387315;-38.13080360867914
1739209629.3387392;-45.120503652039325
1739209629.338747;-45.120503652039325
1739209629.3387547;-38.13080360867914
1739209629.3387623;-38.13080360867914
1739209629.33877;-45.120503652039325
1739209629.3387778;-45.120503652039325
1739209629.3387854;-32.816014438256545
1739209629.338793;-38.13080360867914
1739209629.3388007;-38.13080360867914
1739209629.3388085;-45.120503652039325
1739209629.3388162;-38.13080360867914
1739209629.3388238;-38.13080360867914
1739209629.3388314;-45.120503652039325
1739209629.3388393;-45.120503652039325
1739209629.338847;-45.120503652039325
1739209629.3388546;-45.120503652039325
1739209629.3388622;-29.438486411369333
1739209629.33887;-38.13080360867914
1739209629.3388777;-38.13080360867914
1739209629.3388853;-35.57807855764607
1739209629.338893;-38.13080360867914
1739209629.3389008;-38.13080360867914
1739209629.3389084;-35.57807855764607
1739209629.338916;-38.13080360867914
1739209629.3389237;-45.120503652039325
1739209629.3389316;-45.120503652039325
1739209629.3389392;-35.57807855764607
1739209629.3389468;-35.57807855764607
1739209629.3389544;-38.13080360867914
1739209629.3389623;-35.57807855764607
1739209629.33897;-38.13080360867914
1739209629.3389776;-38.13080360867914
1739209629.3389852;-38.13080360867914
1739209629.338993;-45.120503652039325
1739209629.3390007;-38.13080360867914
1739209629.3390083;-45.120503652039325
1739209629.339016;-45.120503652039325
1739209629.3390238;-38.13080360867914
1739209629.3390315;-38.13080360867914
1739209629.339039;-38.13080360867914
1739209629.3390467;-35.57807855764607
1739209629.3390546;-38.13080360867914
1739209629.3390622;-38.13080360867914
1739209629.3390698;-45.120503652039325
1739209629.3390775;-33.981070128970906
1739209629.3390853;-45.120503652039325
1739209629.339093;-45.120503652039325
1739209629.3391006;-35.57807855764607
1739209629.3391082;-45.120503652039325
1739209629.339116;-45.120503652039325
1739209629.3391237;-32.816014438256545
1739209629.3391314;-38.13080360867914
1739209629.339139;-45.120503652039325
1739209629.3391469;-33.981070128970906
1739209629.3391545;-35.57807855764607
1739209629.339162;-38.13080360867914
1739209629.3391697;-45.120503652039325
1739209629.3391776;-38.13080360867914
1739209629.3391852;-45.120503652039325
1739209629.3391929;-38.13080360867914
1739209629.3392005;-45.120503652039325
1739209629.3392084;-45.120503652039325
1739209629.339216;-38.13080360867914
1739209629.3392236;-45.120503652039325
1739209629.3392313;-45.120503652039325
1739209629.339239;-38.13080360867914
1739209629.3392467;-45.120503652039325
1739209629.3392544;-45.120503652039325
1739209629.339262;-32.816014438256545
1739209629.3392696;-35.57807855764607
1739209629.3392775;-45.120503652039325
1739209629.3392851;-38.13080360867914
1739209629.3392928;-35.57807855764607
1739209629.3393004;-31.141103565318915
1739209629.3393083;-45.120503652039325
1739209629.339316;-45.120503652039325
1739209629.3393235;-45.120503652039325
1739209629.3393312;-38.13080360867914
1739209629.339339;-38.13080360867914
1739209629.3393466;-38.13080360867914
1739209629.3393543;-32.816014438256545
1739209629.339362;-38.13080360867914
1739209629.3393698;-38.13080360867914
1739209629.3393774;-38.13080360867914
1739209629.339385;-45.120503652039325
1739209629.3393927;-38.13080360867914
1739209629.3394005;-45.120503652039325
1739209629.3394082;-38.13080360867914
1739209629.3394158;-38.13080360867914
1739209629.3394234;-31.141103565318915
1739209629.3394313;-38.13080360867914
1739209629.339439;-38.13080360867914
1739209629.3394465;-35.57807855764607
1739209629.3394542;-33.981070128970906
1739209629.339462;-45.120503652039325
1739209629.3394697;-45.120503652039325
1739209629.3394773;-45.120503652039325
1739209629.339485;-33.981070128970906
1739209629.3394928;-38.13080360867914
1739209629.3395004;-35.57807855764607
1739209629.339508;-38.13080360867914
1739209629.3395157;-45.120503652039325
1739209629.3395236;-45.120503652039325
