CAN Message; 0x1a7:0000ae6b02d5db74
Timestamp;Amplitude
1739209675.0944521;-38.13080360867914
1739209675.0944562;-38.13080360867914
1739209675.0944602;-45.120503652039325
1739209675.094464;-45.120503652039325
1739209675.094468;-45.120503652039325
1739209675.0944722;-32.816014438256545
1739209675.094476;-35.57807855764607
1739209675.09448;-45.120503652039325
1739209675.094484;-45.120503652039325
1739209675.0944881;-35.57807855764607
1739209675.094492;-35.57807855764607
1739209675.094496;-45.120503652039325
1739209675.0945;-45.120503652039325
1739209675.0945039;-31.141103565318893
1739209675.094508;-30.49652367304973
1739209675.094512;-45.120503652039325
1739209675.094516;-38.13080360867914
1739209675.0945199;-45.120503652039325
1739209675.094524;-33.981070128970906
1739209675.094528;-45.120503652039325
1739209675.094532;-45.120503652039325
1739209675.0945358;-45.120503652039325
1739209675.0945399;-45.120503652039325
1739209675.094544;-38.13080360867914
1739209675.0945477;-45.120503652039325
1739209675.0945518;-45.120503652039325
1739209675.0945559;-38.13080360867914
1739209675.09456;-45.120503652039325
1739209675.0945637;-45.120503652039325
1739209675.0945678;-32.816014438256545
1739209675.0945718;-27.8777449560314
1739209675.0945756;-45.120503652039325
1739209675.0945797;-38.13080360867914
1739209675.0945837;-32.816014438256545
1739209675.0945878;-32.816014438256545
1739209675.0945916;-45.120503652039325
1739209675.0945957;-35.57807855764607
1739209675.0945997;-38.13080360867914
1739209675.0946035;-45.120503652039325
1739209675.0946076;-38.13080360867914
1739209675.0946116;-38.13080360867914
1739209675.0946157;-38.13080360867914
1739209675.0946195;-45.120503652039325
1739209675.0946236;-38.13080360867914
1739209675.0946276;-45.120503652039325
1739209675.0946317;-38.13080360867914
1739209675.0946355;-32.816014438256545
1739209675.0946395;-35.57807855764607
1739209675.0946436;-38.13080360867914
1739209675.0946474;-38.13080360867914
1739209675.0946515;-38.13080360867914
1739209675.0946555;-35.57807855764607
1739209675.0946596;-38.13080360867914
1739209675.0946634;-45.120503652039325
1739209675.0946674;-38.13080360867914
1739209675.0946715;-45.120503652039325
1739209675.0946753;-38.13080360867914
1739209675.0946794;-45.120503652039325
1739209675.0946834;-45.120503652039325
1739209675.0946875;-35.57807855764607
1739209675.0946913;-38.13080360867914
1739209675.0946953;-45.120503652039325
1739209675.0946994;-32.81601443825658
1739209675.0947032;-30.49652367304973
1739209675.0947073;-35.57807855764607
1739209675.0947113;-45.120503652039325
1739209675.0947154;-45.120503652039325
1739209675.0947192;-35.57807855764607
1739209675.0947232;-35.57807855764607
1739209675.0947273;-45.120503652039325
1739209675.094731;-28.992665084841942
1739209675.0947351;-38.13080360867914
1739209675.0947392;-45.120503652039325
1739209675.0947433;-38.13080360867914
1739209675.094747;-35.57807855764607
1739209675.0947511;-38.13080360867914
1739209675.0947552;-45.120503652039325
1739209675.094759;-45.120503652039325
1739209675.094763;-31.14110356531892
1739209675.094767;-33.981070128970906
1739209675.0947711;-38.13080360867914
1739209675.094775;-45.120503652039325
1739209675.094779;-38.13080360867914
1739209675.094783;-38.13080360867914
1739209675.0947871;-38.13080360867914
1739209675.094791;-45.120503652039325
1739209675.094795;-38.13080360867914
1739209675.094799;-35.57807855764607
1739209675.0948029;-38.13080360867914
1739209675.094807;-38.13080360867914
1739209675.094811;-38.13080360867914
1739209675.094815;-38.13080360867914
1739209675.0948188;-38.13080360867914
1739209675.094823;-45.120503652039325
1739209675.094827;-33.981070128970906
1739209675.0948308;-38.13080360867914
1739209675.0948348;-45.120503652039325
1739209675.0948389;-45.120503652039325
1739209675.094843;-38.13080360867914
1739209675.0948467;-38.13080360867914
1739209675.0948508;-38.13080360867914
1739209675.0948548;-45.120503652039325
1739209675.0948586;-38.13080360867914
1739209675.0948627;-45.120503652039325
1739209675.0948668;-45.120503652039325
1739209675.0948708;-45.120503652039325
1739209675.0948746;-38.13080360867914
1739209675.0948787;-45.120503652039325
1739209675.0948827;-45.120503652039325
1739209675.0948868;-38.13080360867914
1739209675.0948906;-38.13080360867914
1739209675.0948946;-35.57807855764607
1739209675.0948987;-35.57807855764607
1739209675.0949025;-38.13080360867914
1739209675.0949066;-33.981070128970906
1739209675.0949106;-35.57807855764607
1739209675.0949147;-45.120503652039325
1739209675.0949185;-38.13080360867914
1739209675.0949225;-33.981070128970906
1739209675.0949266;-45.120503652039325
1739209675.0949304;-45.120503652039325
1739209675.0949345;-38.13080360867914
1739209675.0949385;-38.13080360867914
1739209675.0949426;-45.120503652039325
1739209675.0949464;-45.120503652039325
1739209675.0949504;-31.141103565318915
1739209675.0949545;-33.981070128970906
1739209675.0949583;-38.13080360867914
1739209675.0949624;-38.13080360867914
1739209675.0949664;-38.13080360867914
1739209675.0949705;-45.120503652039325
1739209675.0949743;-32.816014438256545
1739209675.0949783;-38.13080360867914
1739209675.0949824;-38.13080360867914
1739209675.0949862;-35.57807855764607
1739209675.0949903;-45.120503652039325
1739209675.0949943;-45.120503652039325
1739209675.0949984;-38.13080360867914
1739209675.0950022;-32.816014438256545
1739209675.0950062;-45.120503652039325
1739209675.0950103;-45.120503652039325
1739209675.095014;-33.981070128970906
1739209675.0950181;-38.13080360867914
1739209675.0950222;-38.13080360867914
1739209675.0950263;-38.13080360867914
1739209675.09503;-38.13080360867914
1739209675.0950341;-38.13080360867914
1739209675.0950382;-35.57807855764607
1739209675.0950422;-38.13080360867914
1739209675.095046;-38.13080360867914
1739209675.09505;-35.57807855764607
1739209675.0950541;-45.120503652039325
1739209675.095058;-45.120503652039325
1739209675.095062;-45.120503652039325
1739209675.095066;-33.981070128970906
1739209675.0950701;-38.13080360867914
1739209675.095074;-33.981070128970906
1739209675.095078;-33.981070128970906
1739209675.095082;-35.57807855764607
1739209675.0950859;-38.13080360867914
1739209675.09509;-45.120503652039325
1739209675.095094;-35.57807855764607
1739209675.095098;-35.57807855764607
1739209675.0951018;-45.120503652039325
1739209675.095106;-45.120503652039325
1739209675.09511;-45.120503652039325
1739209675.0951138;-45.120503652039325
1739209675.0951178;-35.57807855764607
1739209675.0951219;-32.816014438256545
1739209675.095126;-33.981070128970906
1739209675.0951297;-45.120503652039325
1739209675.0951338;-38.13080360867914
1739209675.0951378;-33.981070128970906
1739209675.095142;-33.981070128970906
1739209675.0951457;-38.13080360867914
1739209675.0951498;-45.120503652039325
1739209675.0951538;-45.120503652039325
1739209675.0951576;-38.13080360867914
1739209675.0951617;-38.13080360867914
1739209675.0951657;-45.120503652039325
1739209675.0951698;-45.120503652039325
1739209675.0951736;-38.13080360867914
1739209675.0951777;-38.13080360867914
1739209675.0951817;-33.981070128970906
1739209675.0951855;-32.816014438256545
1739209675.0951896;-38.13080360867914
1739209675.0951936;-38.13080360867914
1739209675.0951977;-45.120503652039325
1739209675.0952015;-38.13080360867914
1739209675.0952055;-38.13080360867914
1739209675.0952096;-38.13080360867914
1739209675.0952134;-45.120503652039325
1739209675.0952175;-45.120503652039325
1739209675.0952215;-38.13080360867914
1739209675.0952256;-38.13080360867914
1739209675.0952294;-45.120503652039325
1739209675.0952334;-45.120503652039325
1739209675.0952375;-35.57807855764607
1739209675.0952413;-38.13080360867914
1739209675.0952454;-45.120503652039325
1739209675.0952494;-38.13080360867914
1739209675.0952535;-38.13080360867914
1739209675.0952573;-45.120503652039325
1739209675.0952613;-35.57807855764607
1739209675.0952654;-38.13080360867914
1739209675.0952692;-45.120503652039325
1739209675.0952733;-45.120503652039325
1739209675.0952773;-45.120503652039325
1739209675.0952814;-45.120503652039325
1739209675.0952852;-38.13080360867914
1739209675.0952892;-45.120503652039325
1739209675.0952933;-45.120503652039325
1739209675.0952973;-45.120503652039325
1739209675.0953012;-32.816014438256545
1739209675.0953052;-38.13080360867914
1739209675.0953093;-45.120503652039325
1739209675.095313;-38.13080360867914
1739209675.0953171;-38.13080360867914
1739209675.0953212;-38.13080360867914
1739209675.0953252;-38.13080360867914
1739209675.095329;-38.13080360867914
1739209675.095333;-45.120503652039325
1739209675.0953372;-38.13080360867914
1739209675.095341;-35.57807855764607
1739209675.095345;-32.816014438256545
1739209675.095349;-38.13080360867914
1739209675.0953531;-33.981070128970906
1739209675.095357;-45.120503652039325
1739209675.095361;-45.120503652039325
1739209675.095365;-38.13080360867914
1739209675.0953689;-38.13080360867914
1739209675.095373;-45.120503652039325
1739209675.095377;-33.981070128970956
1739209675.095381;-38.13080360867914
1739209675.0953848;-38.13080360867914
1739209675.095389;-45.120503652039325
1739209675.095393;-45.120503652039325
1739209675.095397;-38.13080360867914
1739209675.0954008;-38.13080360867914
1739209675.0954049;-38.13080360867914
1739209675.095409;-26.991370085610722
1739209675.0954127;-35.57807855764607
1739209675.0954168;-35.57807855764607
1739209675.0954208;-38.13080360867914
1739209675.095425;-33.981070128970906
1739209675.0954287;-33.981070128970906
1739209675.0954328;-33.981070128970906
1739209675.0954368;-45.120503652039325
1739209675.0954406;-32.81601443825658
1739209675.0954447;-38.13080360867914
1739209675.0954487;-38.13080360867914
1739209675.0954528;-38.13080360867914
1739209675.0954566;-45.120503652039325
1739209675.0954607;-45.120503652039325
1739209675.0954647;-38.13080360867914
1739209675.0954685;-35.57807855764607
1739209675.0954726;-38.13080360867914
1739209675.0954766;-45.120503652039325
1739209675.0954807;-38.13080360867914
1739209675.0954845;-38.13080360867914
1739209675.0954885;-38.13080360867914
1739209675.0954926;-45.120503652039325
1739209675.0954964;-45.120503652039325
1739209675.0955005;-38.13080360867914
1739209675.0955045;-38.13080360867914
1739209675.0955086;-38.13080360867914
1739209675.0955124;-45.120503652039325
1739209675.0955164;-45.120503652039325
1739209675.0955205;-33.981070128970906
1739209675.0955243;-45.120503652039325
1739209675.0955284;-45.120503652039325
1739209675.0955324;-38.13080360867914
1739209675.0955365;-33.981070128970906
1739209675.0955403;-45.120503652039325
1739209675.0955443;-45.120503652039325
1739209675.0955484;-45.120503652039325
1739209675.0955524;-45.120503652039325
1739209675.0955563;-45.120503652039325
1739209675.0955603;-45.120503652039325
1739209675.0955644;-33.981070128970906
1739209675.0955682;-26.991370085610722
1739209675.0955722;-38.13080360867914
1739209675.0955763;-38.13080360867914
1739209675.0955803;-45.120503652039325
1739209675.0955842;-45.120503652039325
1739209675.0955882;-45.120503652039325
1739209675.0955923;-45.120503652039325
1739209675.095596;-38.13080360867914
1739209675.0956001;-30.49652367304973
1739209675.0956042;-31.141103565318915
1739209675.0956082;-45.120503652039325
1739209675.095612;-38.13080360867914
1739209675.095616;-35.57807855764607
1739209675.0956202;-45.120503652039325
1739209675.095624;-45.120503652039325
1739209675.095628;-35.57807855764607
1739209675.095632;-33.981070128970906
1739209675.0956361;-45.120503652039325
1739209675.09564;-35.57807855764607
1739209675.095644;-38.13080360867914
1739209675.095648;-38.13080360867914
1739209675.095652;-38.13080360867914
1739209675.095656;-38.13080360867914
1739209675.09566;-45.120503652039325
1739209675.095664;-38.13080360867914
1739209675.0956678;-38.13080360867914
1739209675.095672;-38.13080360867914
1739209675.095676;-45.120503652039325
1739209675.09568;-38.13080360867914
1739209675.0956838;-35.57807855764607
1739209675.0956879;-35.57807855764607
1739209675.095692;-38.13080360867914
1739209675.0956957;-38.13080360867914
1739209675.0956998;-45.120503652039325
1739209675.0957038;-38.13080360867914
1739209675.095708;-38.13080360867914
