CAN Message; 0x1d3:00009c08acffa5c2
Timestamp;Amplitude
1739209681.4303718;-35.57807855764607
1739209681.4303734;-33.981070128970956
1739209681.4303753;-45.120503652039325
1739209681.4303772;-33.981070128970906
1739209681.430379;-38.13080360867914
1739209681.4303808;-38.13080360867914
1739209681.4303827;-35.57807855764607
1739209681.4303844;-38.13080360867914
1739209681.4303863;-45.120503652039325
1739209681.4303882;-38.13080360867914
1739209681.43039;-38.13080360867914
1739209681.4303918;-32.816014438256545
1739209681.4303937;-31.141103565318893
1739209681.4303954;-38.13080360867914
1739209681.4303973;-45.120503652039325
1739209681.4303992;-45.120503652039325
1739209681.430401;-38.13080360867914
1739209681.4304028;-38.13080360867914
1739209681.4304047;-38.13080360867914
1739209681.4304066;-38.13080360867914
1739209681.4304082;-45.120503652039325
1739209681.4304101;-38.13080360867914
1739209681.430412;-38.13080360867914
1739209681.4304137;-38.13080360867914
1739209681.4304156;-38.13080360867914
1739209681.4304175;-45.120503652039325
1739209681.4304192;-45.120503652039325
1739209681.430421;-45.120503652039325
1739209681.430423;-45.120503652039325
1739209681.4304247;-45.120503652039325
1739209681.4304266;-38.13080360867914
1739209681.4304285;-45.120503652039325
1739209681.4304302;-45.120503652039325
1739209681.430432;-26.991370085610736
1739209681.430434;-29.438486411369333
1739209681.4304357;-45.120503652039325
1739209681.4304376;-45.120503652039325
1739209681.4304395;-33.981070128970906
1739209681.4304411;-38.13080360867914
1739209681.430443;-45.120503652039325
1739209681.430445;-38.13080360867914
1739209681.4304466;-45.120503652039325
1739209681.4304485;-45.120503652039325
1739209681.4304504;-38.13080360867914
1739209681.430452;-45.120503652039325
1739209681.430454;-38.13080360867914
1739209681.430456;-38.13080360867914
1739209681.4304576;-45.120503652039325
1739209681.4304595;-45.120503652039325
1739209681.4304614;-38.13080360867914
1739209681.4304633;-38.13080360867914
1739209681.430465;-45.120503652039325
1739209681.430467;-38.13080360867914
1739209681.4304688;-45.120503652039325
1739209681.4304705;-45.120503652039325
1739209681.4304724;-38.13080360867914
1739209681.4304743;-45.120503652039325
1739209681.430476;-38.13080360867914
1739209681.4304779;-32.816014438256545
1739209681.4304798;-38.13080360867914
1739209681.4304814;-45.120503652039325
1739209681.4304833;-35.57807855764607
1739209681.4304852;-38.13080360867914
1739209681.430487;-38.13080360867914
1739209681.4304888;-32.816014438256545
1739209681.4304907;-45.120503652039325
1739209681.4304924;-45.120503652039325
1739209681.4304943;-32.816014438256545
1739209681.4304962;-35.57807855764607
1739209681.430498;-45.120503652039325
1739209681.4304998;-38.13080360867914
1739209681.4305017;-32.816014438256545
1739209681.4305034;-45.120503652039325
1739209681.4305053;-38.13080360867914
1739209681.4305072;-33.981070128970906
1739209681.4305089;-45.120503652039325
1739209681.4305108;-45.120503652039325
1739209681.4305127;-45.120503652039325
1739209681.4305143;-45.120503652039325
1739209681.4305162;-38.13080360867914
1739209681.4305182;-32.816014438256545
1739209681.4305198;-38.13080360867914
1739209681.4305217;-45.120503652039325
1739209681.4305236;-33.981070128970906
1739209681.4305255;-38.13080360867914
1739209681.4305272;-38.13080360867914
1739209681.430529;-35.57807855764607
1739209681.430531;-38.13080360867914
1739209681.4305327;-45.120503652039325
1739209681.4305346;-45.120503652039325
1739209681.4305365;-38.13080360867914
1739209681.4305382;-35.57807855764607
1739209681.43054;-35.57807855764607
1739209681.430542;-45.120503652039325
1739209681.4305437;-45.120503652039325
1739209681.4305456;-38.13080360867914
1739209681.4305475;-38.13080360867914
1739209681.4305491;-38.13080360867914
1739209681.430551;-38.13080360867914
1739209681.430553;-38.13080360867914
1739209681.4305546;-45.120503652039325
1739209681.4305565;-38.13080360867914
1739209681.4305584;-38.13080360867914
1739209681.43056;-45.120503652039325
1739209681.430562;-45.120503652039325
1739209681.430564;-45.120503652039325
1739209681.4305656;-38.13080360867914
1739209681.4305675;-45.120503652039325
1739209681.4305694;-45.120503652039325
1739209681.430571;-45.120503652039325
1739209681.430573;-33.981070128970906
1739209681.430575;-45.120503652039325
1739209681.4305766;-45.120503652039325
1739209681.4305785;-38.13080360867914
1739209681.4305804;-31.141103565318915
1739209681.4305823;-33.981070128970906
1739209681.430584;-45.120503652039325
1739209681.4305859;-38.13080360867914
1739209681.4305878;-45.120503652039325
1739209681.4305894;-38.13080360867914
1739209681.4305913;-45.120503652039325
1739209681.4305933;-38.13080360867914
1739209681.430595;-33.981070128970906
1739209681.4305968;-32.816014438256545
1739209681.4305987;-38.13080360867914
1739209681.4306004;-45.120503652039325
1739209681.4306023;-45.120503652039325
1739209681.4306042;-45.120503652039325
1739209681.430606;-45.120503652039325
1739209681.4306078;-45.120503652039325
1739209681.4306097;-31.141103565318915
1739209681.4306114;-31.141103565318915
1739209681.4306133;-38.13080360867914
1739209681.4306152;-45.120503652039325
1739209681.4306169;-38.13080360867914
1739209681.4306188;-38.13080360867914
1739209681.4306207;-45.120503652039325
1739209681.4306223;-45.120503652039325
1739209681.4306242;-38.13080360867914
1739209681.4306262;-33.981070128970906
1739209681.4306278;-38.13080360867914
1739209681.4306297;-38.13080360867914
1739209681.4306316;-45.120503652039325
1739209681.4306333;-38.13080360867914
1739209681.4306352;-45.120503652039325
1739209681.4306371;-33.981070128970906
1739209681.4306388;-38.13080360867914
1739209681.4306407;-31.141103565318915
1739209681.4306426;-38.13080360867914
1739209681.4306445;-38.13080360867914
1739209681.4306462;-38.13080360867914
1739209681.430648;-33.981070128970906
1739209681.43065;-38.13080360867914
1739209681.4306517;-45.120503652039325
