CAN Message; 0x98:00001d690a3a623d
Timestamp;Amplitude
1739209781.8515334;-45.120503652039325
1739209781.8515377;-33.981070128970906
1739209781.851542;-38.13080360867914
1739209781.8515463;-38.13080360867914
1739209781.8515506;-38.13080360867914
1739209781.8515546;-45.120503652039325
1739209781.851559;-45.120503652039325
1739209781.8515632;-35.57807855764607
1739209781.8515675;-35.57807855764607
1739209781.8515718;-45.120503652039325
1739209781.851576;-45.120503652039325
1739209781.8515801;-38.13080360867914
1739209781.8515844;-45.120503652039325
1739209781.8515887;-45.120503652039325
1739209781.851593;-45.120503652039325
1739209781.8515973;-38.13080360867914
1739209781.8516016;-38.13080360867914
1739209781.8516057;-45.120503652039325
1739209781.85161;-45.120503652039325
1739209781.8516142;-45.120503652039325
1739209781.8516185;-45.120503652039325
1739209781.8516228;-26.991370085610722
1739209781.851627;-38.13080360867914
1739209781.8516312;-45.120503652039325
1739209781.8516355;-45.120503652039325
1739209781.8516397;-35.57807855764607
1739209781.851644;-38.13080360867914
1739209781.8516483;-38.13080360867914
1739209781.8516526;-45.120503652039325
1739209781.8516567;-33.981070128970956
1739209781.851661;-45.120503652039325
1739209781.8516653;-38.13080360867914
1739209781.8516695;-38.13080360867914
1739209781.8516738;-38.13080360867914
1739209781.8516781;-33.981070128970906
1739209781.8516822;-38.13080360867914
1739209781.8516865;-45.120503652039325
1739209781.8516908;-30.49652367304973
1739209781.851695;-32.816014438256545
1739209781.8516994;-38.13080360867914
1739209781.8517034;-38.13080360867914
1739209781.8517077;-45.120503652039325
1739209781.851712;-45.120503652039325
1739209781.8517163;-45.120503652039325
1739209781.8517206;-45.120503652039325
1739209781.8517249;-45.120503652039325
1739209781.851729;-45.120503652039325
1739209781.8517332;-45.120503652039325
1739209781.8517375;-45.120503652039325
1739209781.8517418;-38.13080360867914
1739209781.851746;-38.13080360867914
1739209781.8517504;-45.120503652039325
1739209781.8517544;-38.13080360867914
1739209781.8517587;-38.13080360867914
1739209781.851763;-38.13080360867914
1739209781.8517673;-38.13080360867914
1739209781.8517716;-45.120503652039325
1739209781.851776;-45.120503652039325
1739209781.85178;-33.981070128970906
1739209781.8517842;-38.13080360867914
1739209781.8517885;-45.120503652039325
1739209781.8517928;-32.816014438256545
1739209781.851797;-35.57807855764607
1739209781.8518014;-45.120503652039325
1739209781.8518054;-38.13080360867914
1739209781.8518097;-38.13080360867914
1739209781.851814;-38.13080360867914
1739209781.8518183;-45.120503652039325
1739209781.8518226;-45.120503652039325
1739209781.851827;-45.120503652039325
1739209781.851831;-38.13080360867914
1739209781.8518353;-38.13080360867914
1739209781.8518395;-38.13080360867914
1739209781.8518438;-38.13080360867914
1739209781.8518481;-38.13080360867914
1739209781.8518524;-45.120503652039325
1739209781.8518565;-45.120503652039325
1739209781.8518608;-38.13080360867914
1739209781.851865;-38.13080360867914
1739209781.8518693;-45.120503652039325
1739209781.8518736;-45.120503652039325
1739209781.851878;-38.13080360867914
1739209781.851882;-45.120503652039325
1739209781.8518863;-38.13080360867914
1739209781.8518906;-38.13080360867914
1739209781.8518949;-35.57807855764607
1739209781.8518991;-38.13080360867914
1739209781.8519034;-38.13080360867914
1739209781.8519075;-45.120503652039325
1739209781.8519118;-33.981070128970906
1739209781.851916;-38.13080360867914
1739209781.8519204;-45.120503652039325
1739209781.8519247;-33.981070128970906
1739209781.851929;-45.120503652039325
1739209781.851933;-33.981070128970906
1739209781.8519373;-35.57807855764607
1739209781.8519416;-35.57807855764607
1739209781.8519459;-45.120503652039325
1739209781.8519502;-38.13080360867914
1739209781.8519545;-45.120503652039325
1739209781.8519585;-45.120503652039325
1739209781.8519628;-38.13080360867914
1739209781.851967;-38.13080360867914
1739209781.8519714;-33.981070128970906
1739209781.8519757;-38.13080360867914
1739209781.85198;-38.13080360867914
1739209781.851984;-45.120503652039325
1739209781.8519883;-38.13080360867914
1739209781.8519926;-38.13080360867914
1739209781.851997;-45.120503652039325
1739209781.8520012;-38.13080360867914
1739209781.8520055;-45.120503652039325
1739209781.8520095;-45.120503652039325
1739209781.8520138;-35.57807855764607
1739209781.852018;-38.13080360867914
1739209781.8520224;-45.120503652039325
1739209781.8520267;-38.13080360867914
1739209781.8520308;-38.13080360867914
1739209781.852035;-28.992665084841942
1739209781.8520393;-33.981070128970906
1739209781.8520436;-38.13080360867914
1739209781.852048;-45.120503652039325
1739209781.8520522;-38.13080360867914
1739209781.8520563;-35.57807855764607
1739209781.8520606;-38.13080360867914
1739209781.8520648;-45.120503652039325
1739209781.8520691;-45.120503652039325
1739209781.8520734;-45.120503652039325
1739209781.8520777;-38.13080360867914
1739209781.8520818;-38.13080360867914
1739209781.852086;-38.13080360867914
1739209781.8520904;-38.13080360867914
1739209781.8520947;-45.120503652039325
1739209781.852099;-38.13080360867914
1739209781.8521032;-33.981070128970906
1739209781.8521073;-38.13080360867914
1739209781.8521116;-45.120503652039325
1739209781.8521159;-45.120503652039325
1739209781.8521202;-38.13080360867914
1739209781.8521245;-45.120503652039325
1739209781.8521287;-38.13080360867914
1739209781.8521328;-38.13080360867914
1739209781.852137;-31.141103565318915
1739209781.8521414;-33.981070128970906
1739209781.8521457;-38.13080360867914
1739209781.85215;-45.120503652039325
1739209781.8521543;-33.981070128970906
1739209781.8521583;-38.13080360867914
1739209781.8521626;-38.13080360867914
1739209781.852167;-45.120503652039325
1739209781.8521712;-38.13080360867914
1739209781.8521755;-38.13080360867914
1739209781.8521798;-45.120503652039325
1739209781.8521838;-45.120503652039325
1739209781.852188;-45.120503652039325
1739209781.8521924;-33.981070128970906
1739209781.8521967;-38.13080360867914
1739209781.852201;-45.120503652039325
1739209781.8522053;-38.13080360867914
1739209781.8522093;-38.13080360867914
1739209781.8522136;-45.120503652039325
1739209781.852218;-38.13080360867914
1739209781.8522222;-45.120503652039325
1739209781.8522265;-45.120503652039325
1739209781.8522308;-33.981070128970906
1739209781.8522348;-45.120503652039325
1739209781.8522391;-45.120503652039325
1739209781.8522434;-32.816014438256545
1739209781.8522477;-32.816014438256545
1739209781.852252;-45.120503652039325
1739209781.8522563;-45.120503652039325
1739209781.8522604;-33.981070128970906
1739209781.8522646;-38.13080360867914
1739209781.852269;-38.13080360867914
1739209781.8522732;-45.120503652039325
1739209781.8522775;-35.57807855764607
1739209781.8522818;-38.13080360867914
1739209781.8522859;-45.120503652039325
1739209781.8522902;-45.120503652039325
1739209781.8522944;-35.57807855764607
1739209781.8522987;-45.120503652039325
1739209781.852303;-45.120503652039325
1739209781.8523073;-38.13080360867914
1739209781.8523114;-45.120503652039325
1739209781.8523157;-45.120503652039325
1739209781.85232;-38.13080360867914
1739209781.8523242;-45.120503652039325
1739209781.8523285;-38.13080360867914
1739209781.8523326;-45.120503652039325
1739209781.852337;-38.13080360867914
1739209781.8523412;-45.120503652039325
1739209781.8523455;-32.816014438256545
