CAN Message; 0x62:0d70f5ce6ec26657
Timestamp;Amplitude
1739209812.9527962;-30.49652367304973
1739209812.9527986;-38.13080360867914
1739209812.9528008;-45.120503652039325
1739209812.952803;-29.438486411369333
1739209812.9528053;-22.84163660590256
1739209812.9528074;-25.07728991421287
1739209812.9528096;-31.14110356531892
1739209812.9528117;-45.120503652039325
1739209812.952814;-33.981070128970906
1739209812.9528162;-28.992665084841942
1739209812.9528184;-45.120503652039325
1739209812.9528208;-38.13080360867914
1739209812.952823;-38.13080360867914
1739209812.952825;-45.120503652039325
1739209812.9528275;-38.13080360867914
1739209812.9528296;-45.120503652039325
1739209812.9528317;-28.992665084841942
1739209812.9528341;-23.16150712794696
1739209812.9528363;-33.981070128970956
1739209812.9528384;-27.877744956031414
1739209812.9528408;-33.981070128970906
1739209812.952843;-32.816014438256545
1739209812.952845;-45.120503652039325
1739209812.9528472;-45.120503652039325
1739209812.9528496;-28.21854285175415
1739209812.9528518;-38.13080360867914
1739209812.952854;-35.57807855764607
1739209812.9528563;-32.816014438256545
1739209812.9528584;-33.981070128970956
1739209812.9528606;-22.54371790334745
1739209812.952863;-23.75329798047522
1739209812.9528651;-38.13080360867914
1739209812.9528673;-38.13080360867914
1739209812.9528697;-38.13080360867914
1739209812.9528718;-38.13080360867914
1739209812.952874;-27.267205301931607
1739209812.952876;-45.120503652039325
1739209812.9528785;-45.120503652039325
1739209812.9528806;-33.981070128970906
1739209812.9528828;-45.120503652039325
1739209812.9528852;-28.992665084841942
1739209812.9528873;-28.218542851754187
1739209812.9528894;-23.50682362968953
1739209812.9528918;-26.487275050834715
1739209812.952894;-31.141103565318893
1739209812.952896;-31.141103565318893
1739209812.9528985;-38.13080360867914
1739209812.9529006;-38.13080360867914
1739209812.9529028;-28.21854285175415
1739209812.9529052;-28.992665084841942
1739209812.9529073;-45.120503652039325
1739209812.9529095;-38.13080360867914
1739209812.9529116;-28.58837851428586
1739209812.952914;-24.589719217205094
1739209812.9529161;-25.62660358559016
1739209812.9529183;-38.13080360867914
1739209812.9529207;-35.57807855764607
1739209812.9529228;-26.487275050834715
1739209812.952925;-38.13080360867914
1739209812.9529274;-35.57807855764607
1739209812.9529295;-31.141103565318915
1739209812.9529316;-31.141103565318915
1739209812.952934;-45.120503652039325
1739209812.9529362;-32.816014438256545
1739209812.9529383;-26.487275050834715
1739209812.9529405;-29.438486411369354
1739209812.9529428;-24.15140352195873
1739209812.952945;-25.62660358559016
1739209812.9529471;-38.13080360867914
1739209812.9529495;-33.981070128970906
1739209812.9529517;-31.141103565318915
1739209812.9529538;-35.57807855764607
1739209812.9529562;-28.992665084841942
1739209812.9529583;-28.21854285175415
1739209812.9529605;-45.120503652039325
1739209812.9529629;-38.13080360867914
1739209812.952965;-45.120503652039325
1739209812.9529672;-25.826314394896354
1739209812.9529696;-23.50682362968953
1739209812.9529717;-25.826314394896364
1739209812.9529738;-27.267205301931607
1739209812.952976;-28.992665084841942
1739209812.9529784;-45.120503652039325
1739209812.9529805;-38.13080360867914
1739209812.9529827;-33.981070128970906
1739209812.952985;-45.120503652039325
1739209812.9529872;-38.13080360867914
1739209812.9529893;-38.13080360867914
1739209812.9529917;-45.120503652039325
1739209812.9529939;-38.13080360867914
1739209812.952996;-38.13080360867914
1739209812.9529984;-38.13080360867914
1739209812.9530005;-38.13080360867914
1739209812.9530027;-33.981070128970906
1739209812.953005;-38.13080360867914
1739209812.9530072;-38.13080360867914
1739209812.9530094;-38.13080360867914
1739209812.9530115;-45.120503652039325
1739209812.953014;-45.120503652039325
1739209812.953016;-45.120503652039325
1739209812.9530182;-45.120503652039325
1739209812.9530206;-38.13080360867914
1739209812.9530227;-38.13080360867914
1739209812.9530249;-38.13080360867914
1739209812.9530272;-38.13080360867914
1739209812.9530294;-38.13080360867914
1739209812.9530315;-45.120503652039325
1739209812.953034;-45.120503652039325
1739209812.953036;-38.13080360867914
1739209812.9530382;-38.13080360867914
1739209812.9530404;-45.120503652039325
1739209812.9530427;-38.13080360867914
1739209812.953045;-35.57807855764607
1739209812.953047;-35.57807855764607
1739209812.9530494;-38.13080360867914
1739209812.9530516;-45.120503652039325
1739209812.9530537;-35.57807855764607
1739209812.953056;-33.981070128970906
1739209812.9530582;-45.120503652039325
1739209812.9530604;-45.120503652039325
1739209812.9530628;-32.816014438256545
1739209812.953065;-33.981070128970906
1739209812.953067;-38.13080360867914
1739209812.9530694;-33.981070128970906
1739209812.9530716;-35.57807855764607
1739209812.9530737;-38.13080360867914
1739209812.953076;-38.13080360867914
1739209812.9530783;-38.13080360867914
1739209812.9530804;-38.13080360867914
1739209812.9530826;-38.13080360867914
1739209812.953085;-38.13080360867914
1739209812.953087;-38.13080360867914
1739209812.9530892;-35.57807855764607
1739209812.9530916;-35.57807855764607
1739209812.9530938;-38.13080360867914
1739209812.953096;-45.120503652039325
1739209812.9530983;-38.13080360867914
1739209812.9531004;-45.120503652039325
1739209812.9531026;-38.13080360867914
1739209812.9531047;-38.13080360867914
1739209812.953107;-32.816014438256545
1739209812.9531093;-45.120503652039325
1739209812.9531114;-45.120503652039325
1739209812.9531138;-45.120503652039325
1739209812.953116;-38.13080360867914
1739209812.953118;-38.13080360867914
1739209812.9531205;-45.120503652039325
1739209812.9531226;-45.120503652039325
1739209812.9531248;-35.57807855764607
1739209812.9531271;-32.816014438256545
1739209812.9531293;-32.816014438256545
1739209812.9531314;-38.13080360867914
1739209812.9531338;-32.816014438256545
1739209812.953136;-33.981070128970906
1739209812.953138;-45.120503652039325
1739209812.9531403;-45.120503652039325
1739209812.9531426;-30.49652367304973
1739209812.9531448;-38.13080360867914
1739209812.953147;-45.120503652039325
1739209812.9531493;-38.13080360867914
1739209812.9531515;-33.981070128970906
1739209812.9531536;-33.981070128970906
1739209812.953156;-45.120503652039325
1739209812.9531581;-38.13080360867914
1739209812.9531603;-38.13080360867914
1739209812.9531627;-33.981070128970906
1739209812.9531648;-33.981070128970906
1739209812.953167;-32.816014438256545
1739209812.953169;-33.981070128970906
1739209812.9531715;-32.81601443825658
1739209812.9531736;-26.487275050834715
1739209812.9531758;-25.826314394896354
1739209812.9531782;-32.816014438256545
1739209812.9531803;-31.141103565318915
1739209812.9531825;-28.992665084841942
1739209812.9531848;-31.141103565318943
1739209812.953187;-25.62660358559016
1739209812.9531891;-31.141103565318915
1739209812.9531915;-22.264930561961563
1739209812.9531937;-23.75329798047523
1739209812.9531958;-33.981070128970906
1739209812.9531982;-32.816014438256545
1739209812.9532003;-38.13080360867914
1739209812.9532025;-35.57807855764607
1739209812.9532046;-33.981070128970956
1739209812.953207;-29.438486411369333
1739209812.9532092;-28.992665084841942
1739209812.9532113;-28.992665084841942
1739209812.9532137;-31.141103565318943
1739209812.9532158;-28.992665084841942
1739209812.953218;-32.816014438256545
1739209812.9532204;-31.141103565318915
1739209812.9532225;-28.992665084841942
1739209812.9532247;-28.992665084841942
1739209812.953227;-22.841636605902558
1739209812.9532292;-28.218542851754165
1739209812.9532313;-45.120503652039325
1739209812.9532335;-33.981070128970906
1739209812.9532359;-32.816014438256545
1739209812.953238;-31.14110356531892
1739209812.9532402;-31.141103565318915
1739209812.9532425;-28.992665084841942
1739209812.9532447;-26.991370085610768
1739209812.9532468;-31.141103565318943
1739209812.9532492;-32.816014438256545
1739209812.9532514;-27.267205301931607
1739209812.9532535;-30.49652367304973
1739209812.953256;-38.13080360867914
1739209812.953258;-29.438486411369333
1739209812.9532602;-38.13080360867914
1739209812.9532626;-31.141103565318915
1739209812.9532647;-23.75329798047522
1739209812.9532669;-30.49652367304973
1739209812.9484832;-38.13080360867914
1739209812.9484873;-38.13080360867914
1739209812.9484916;-38.13080360867914
1739209812.9484959;-35.57807855764607
1739209812.9485;-45.120503652039325
1739209812.9485042;-38.13080360867914
1739209812.9485085;-38.13080360867914
1739209812.9485126;-38.13080360867914
1739209812.9485168;-45.120503652039325
1739209812.9485211;-33.981070128970906
1739209812.9485252;-28.992665084841942
1739209812.9485295;-45.120503652039325
1739209812.9485338;-45.120503652039325
1739209812.9485378;-38.13080360867914
1739209812.948542;-38.13080360867914
1739209812.9485464;-45.120503652039325
1739209812.9485505;-45.120503652039325
1739209812.9485548;-45.120503652039325
1739209812.948559;-35.57807855764607
1739209812.948563;-38.13080360867914
1739209812.9485674;-38.13080360867914
1739209812.9485717;-45.120503652039325
1739209812.948576;-38.13080360867914
1739209812.94858;-38.13080360867914
1739209812.9485843;-45.120503652039325
1739209812.9485886;-38.13080360867914
1739209812.9485927;-31.141103565318915
1739209812.948597;-38.13080360867914
1739209812.9486012;-38.13080360867914
1739209812.9486053;-38.13080360867914
1739209812.9486096;-38.13080360867914
1739209812.948614;-45.120503652039325
1739209812.948618;-45.120503652039325
1739209812.9486222;-45.120503652039325
1739209812.9486265;-45.120503652039325
1739209812.9486306;-33.981070128970906
1739209812.9486349;-45.120503652039325
1739209812.9486392;-38.13080360867914
1739209812.9486432;-33.981070128970906
1739209812.9486475;-45.120503652039325
1739209812.9486518;-38.13080360867914
1739209812.9486558;-45.120503652039325
1739209812.9486601;-45.120503652039325
1739209812.9486644;-38.13080360867914
1739209812.9486685;-45.120503652039325
