CAN Message; 0x1bb:00008f7e8b4e9197
Timestamp;Amplitude
1739209806.511886;-38.13080360867914
1739209806.5118923;-38.13080360867914
1739209806.511899;-38.13080360867914
1739209806.5119057;-38.13080360867914
1739209806.5119123;-45.120503652039325
1739209806.5119188;-45.120503652039325
1739209806.5119255;-38.13080360867914
1739209806.5119321;-35.57807855764607
1739209806.5119386;-38.13080360867914
1739209806.5119452;-38.13080360867914
1739209806.511952;-31.141103565318915
1739209806.5119586;-45.120503652039325
1739209806.511965;-45.120503652039325
1739209806.5119717;-33.981070128970906
1739209806.5119784;-28.992665084841942
1739209806.511985;-33.981070128970906
1739209806.5119915;-38.13080360867914
1739209806.5119982;-38.13080360867914
1739209806.5120049;-33.981070128970906
1739209806.5120113;-38.13080360867914
1739209806.512018;-45.120503652039325
1739209806.5120246;-32.816014438256545
1739209806.5120313;-31.141103565318915
1739209806.5120378;-38.13080360867914
1739209806.5120444;-45.120503652039325
1739209806.512051;-45.120503652039325
1739209806.5120575;-45.120503652039325
1739209806.5120642;-45.120503652039325
1739209806.512071;-45.120503652039325
1739209806.5120776;-38.13080360867914
1739209806.512084;-31.141103565318915
1739209806.5120907;-38.13080360867914
1739209806.5120974;-38.13080360867914
1739209806.512104;-38.13080360867914
1739209806.5121105;-33.981070128970906
1739209806.5121171;-38.13080360867914
1739209806.5121238;-45.120503652039325
1739209806.5121303;-45.120503652039325
1739209806.512137;-45.120503652039325
1739209806.5121436;-35.57807855764607
1739209806.5121503;-35.57807855764607
1739209806.5121567;-45.120503652039325
1739209806.5121634;-45.120503652039325
1739209806.51217;-38.13080360867914
1739209806.5121765;-38.13080360867914
1739209806.5121832;-45.120503652039325
1739209806.5121899;-33.981070128970906
1739209806.5121965;-31.141103565318915
1739209806.512203;-38.13080360867914
1739209806.5122097;-45.120503652039325
1739209806.5122163;-38.13080360867914
1739209806.512223;-38.13080360867914
1739209806.5122294;-33.981070128970906
1739209806.512236;-45.120503652039325
1739209806.5122428;-38.13080360867914
1739209806.5122492;-33.981070128970906
1739209806.512256;-38.13080360867914
1739209806.5122626;-38.13080360867914
1739209806.5122693;-38.13080360867914
1739209806.5122757;-35.57807855764607
1739209806.5122824;-45.120503652039325
1739209806.512289;-38.13080360867914
1739209806.5122955;-33.981070128970906
1739209806.5123022;-38.13080360867914
1739209806.5123088;-38.13080360867914
1739209806.5123155;-38.13080360867914
1739209806.512322;-38.13080360867914
1739209806.5123286;-38.13080360867914
1739209806.5123353;-38.13080360867914
1739209806.512342;-45.120503652039325
1739209806.5123484;-38.13080360867914
1739209806.512355;-38.13080360867914
1739209806.5123618;-45.120503652039325
1739209806.5123682;-38.13080360867914
1739209806.5123749;-38.13080360867914
1739209806.5123816;-45.120503652039325
1739209806.5123882;-45.120503652039325
1739209806.5123947;-38.13080360867914
1739209806.5124013;-38.13080360867914
1739209806.512408;-33.981070128970906
1739209806.5124145;-38.13080360867914
1739209806.5124211;-33.981070128970906
1739209806.5124278;-31.141103565318915
1739209806.5124345;-33.981070128970906
1739209806.512441;-38.13080360867914
1739209806.5124476;-32.816014438256545
1739209806.5124543;-32.816014438256545
1739209806.512461;-45.120503652039325
1739209806.5124674;-45.120503652039325
1739209806.512474;-35.57807855764607
1739209806.5124807;-32.816014438256545
1739209806.5124872;-45.120503652039325
1739209806.5124938;-45.120503652039325
1739209806.5125005;-35.57807855764607
1739209806.5125072;-38.13080360867914
1739209806.5125136;-45.120503652039325
1739209806.5125203;-45.120503652039325
1739209806.512527;-35.57807855764607
1739209806.5125334;-32.816014438256545
1739209806.51254;-45.120503652039325
1739209806.5125468;-45.120503652039325
1739209806.5125535;-38.13080360867914
1739209806.51256;-45.120503652039325
1739209806.5125666;-31.141103565318893
1739209806.5125732;-35.57807855764607
1739209806.5125797;-38.13080360867914
1739209806.5125864;-35.57807855764607
1739209806.512593;-38.13080360867914
1739209806.5125997;-38.13080360867914
1739209806.5126061;-45.120503652039325
1739209806.5126128;-45.120503652039325
1739209806.5126195;-45.120503652039325
1739209806.5126262;-45.120503652039325
1739209806.5126326;-38.13080360867914
1739209806.5126393;-38.13080360867914
1739209806.512646;-38.13080360867914
1739209806.5126524;-45.120503652039325
1739209806.512659;-31.141103565318893
1739209806.5126657;-38.13080360867914
1739209806.5126724;-35.57807855764607
