CAN Message; 0x98:0000993a5e0e2e8e
Timestamp;Amplitude
1739209638.6282654;-38.13080360867914
1739209638.628272;-38.13080360867914
1739209638.628279;-45.120503652039325
1739209638.628286;-45.120503652039325
1739209638.6282928;-45.120503652039325
1739209638.6282995;-45.120503652039325
1739209638.6283064;-45.120503652039325
1739209638.6283133;-33.981070128970906
1739209638.62832;-38.13080360867914
1739209638.628327;-38.13080360867914
1739209638.6283338;-45.120503652039325
1739209638.6283407;-32.816014438256545
1739209638.6283474;-27.8777449560314
1739209638.6283543;-45.120503652039325
1739209638.6283612;-45.120503652039325
1739209638.628368;-35.57807855764607
1739209638.6283748;-31.141103565318915
1739209638.6283817;-45.120503652039325
1739209638.6283886;-38.13080360867914
1739209638.6283953;-45.120503652039325
1739209638.6284022;-33.981070128970956
1739209638.6284091;-45.120503652039325
1739209638.6284158;-38.13080360867914
1739209638.6284227;-45.120503652039325
1739209638.6284297;-45.120503652039325
1739209638.6284366;-35.57807855764607
1739209638.6284432;-38.13080360867914
1739209638.6284502;-32.816014438256545
1739209638.628457;-26.991370085610722
1739209638.6284637;-45.120503652039325
1739209638.6284707;-45.120503652039325
1739209638.6284776;-45.120503652039325
1739209638.6284845;-32.816014438256545
1739209638.6284912;-45.120503652039325
1739209638.628498;-38.13080360867914
1739209638.628505;-38.13080360867914
1739209638.6285117;-38.13080360867914
1739209638.6285186;-38.13080360867914
1739209638.6285255;-33.981070128970906
1739209638.6285324;-45.120503652039325
1739209638.628539;-45.120503652039325
1739209638.628546;-38.13080360867914
1739209638.628553;-38.13080360867914
1739209638.6285596;-45.120503652039325
1739209638.6285665;-45.120503652039325
1739209638.6285734;-38.13080360867914
1739209638.6285803;-35.57807855764607
1739209638.628587;-38.13080360867914
1739209638.628594;-45.120503652039325
1739209638.6286008;-35.57807855764607
1739209638.6286075;-45.120503652039325
1739209638.6286144;-38.13080360867914
1739209638.6286213;-32.816014438256545
1739209638.6286283;-38.13080360867914
1739209638.628635;-45.120503652039325
1739209638.6286418;-38.13080360867914
1739209638.6286488;-45.120503652039325
1739209638.6286554;-45.120503652039325
