CAN Message; 0x1bb:000092a37ebd88af
Timestamp;Amplitude
1739209838.6692955;-45.120503652039325
1739209838.6693053;-45.120503652039325
1739209838.6693153;-45.120503652039325
1739209838.6693254;-38.13080360867914
1739209838.6693351;-35.57807855764607
1739209838.6693451;-33.981070128970906
1739209838.6693552;-45.120503652039325
1739209838.669365;-38.13080360867914
1739209838.669375;-35.57807855764607
1739209838.669385;-38.13080360867914
1739209838.6693947;-45.120503652039325
1739209838.6694047;-45.120503652039325
1739209838.6694148;-45.120503652039325
1739209838.6694245;-38.13080360867914
1739209838.6694345;-38.13080360867914
1739209838.6694446;-45.120503652039325
1739209838.6694543;-45.120503652039325
1739209838.6694643;-31.141103565318915
1739209838.6694741;-38.13080360867914
1739209838.6694841;-38.13080360867914
1739209838.6694942;-35.57807855764607
1739209838.669504;-35.57807855764607
1739209838.669514;-35.57807855764607
1739209838.669524;-38.13080360867914
1739209838.6695337;-38.13080360867914
1739209838.6695437;-31.14110356531892
1739209838.6695538;-45.120503652039325
1739209838.6695635;-45.120503652039325
1739209838.6695735;-45.120503652039325
1739209838.6695836;-38.13080360867914
1739209838.6695933;-45.120503652039325
1739209838.6696033;-45.120503652039325
1739209838.6696134;-45.120503652039325
1739209838.6696231;-31.141103565318915
1739209838.6696332;-35.57807855764607
1739209838.6696432;-38.13080360867914
1739209838.669653;-45.120503652039325
1739209838.669663;-38.13080360867914
1739209838.669673;-38.13080360867914
1739209838.6696827;-45.120503652039325
1739209838.6696928;-45.120503652039325
1739209838.6697028;-33.981070128970906
1739209838.6697125;-35.57807855764607
1739209838.6697226;-38.13080360867914
1739209838.6697326;-45.120503652039325
1739209838.6697423;-38.13080360867914
1739209838.6697524;-45.120503652039325
1739209838.6697624;-38.13080360867914
1739209838.6697721;-45.120503652039325
1739209838.6697822;-45.120503652039325
1739209838.6697922;-38.13080360867914
1739209838.669802;-38.13080360867914
1739209838.669812;-45.120503652039325
1739209838.6698217;-45.120503652039325
1739209838.6698318;-45.120503652039325
1739209838.6698418;-38.13080360867914
1739209838.6698515;-45.120503652039325
1739209838.6698616;-31.141103565318915
1739209838.6698716;-33.981070128970906
1739209838.6698813;-38.13080360867914
1739209838.6698914;-35.57807855764607
1739209838.6699014;-38.13080360867914
1739209838.6699111;-38.13080360867914
1739209838.6699212;-45.120503652039325
1739209838.6699312;-32.816014438256545
1739209838.669941;-35.57807855764607
1739209838.669951;-38.13080360867914
1739209838.669961;-33.981070128970906
1739209838.6699708;-35.57807855764607
1739209838.6699808;-38.13080360867914
1739209838.6699908;-38.13080360867914
1739209838.6700006;-45.120503652039325
1739209838.6700106;-45.120503652039325
1739209838.6700206;-30.49652367304973
1739209838.6700304;-30.49652367304973
1739209838.6700404;-45.120503652039325
1739209838.6700504;-35.57807855764607
1739209838.6700602;-38.13080360867914
1739209838.6700702;-45.120503652039325
1739209838.6700802;-45.120503652039325
1739209838.67009;-35.57807855764607
1739209838.6701;-38.13080360867914
1739209838.67011;-38.13080360867914
1739209838.6701198;-38.13080360867914
1739209838.6701298;-35.57807855764607
1739209838.6701398;-38.13080360867914
1739209838.6701496;-45.120503652039325
1739209838.6701596;-38.13080360867914
1739209838.6701694;-38.13080360867914
1739209838.6701794;-38.13080360867914
1739209838.6701894;-35.57807855764607
1739209838.6701992;-38.13080360867914
1739209838.6702092;-45.120503652039325
1739209838.6702192;-38.13080360867914
1739209838.670229;-45.120503652039325
1739209838.670239;-38.13080360867914
1739209838.670249;-32.816014438256545
1739209838.6702588;-38.13080360867914
1739209838.6702688;-45.120503652039325
1739209838.6702788;-45.120503652039325
1739209838.6702886;-38.13080360867914
1739209838.6702986;-32.816014438256545
1739209838.6703086;-38.13080360867914
1739209838.6703184;-45.120503652039325
1739209838.6703284;-35.57807855764607
1739209838.6703384;-45.120503652039325
1739209838.6703482;-45.120503652039325
1739209838.6703582;-38.13080360867914
1739209838.6703682;-38.13080360867914
1739209838.670378;-45.120503652039325
1739209838.670388;-38.13080360867914
1739209838.670398;-35.57807855764607
1739209838.6704078;-45.120503652039325
1739209838.6704178;-45.120503652039325
1739209838.6704278;-38.13080360867914
1739209838.6704376;-45.120503652039325
1739209838.6704476;-45.120503652039325
1739209838.6704576;-45.120503652039325
1739209838.6704674;-38.13080360867914
1739209838.6704774;-45.120503652039325
1739209838.6704874;-45.120503652039325
1739209838.6704972;-45.120503652039325
1739209838.6705072;-45.120503652039325
1739209838.670517;-38.13080360867914
1739209838.670527;-45.120503652039325
1739209838.670537;-38.13080360867914
1739209838.6705468;-32.816014438256545
1739209838.6705568;-45.120503652039325
1739209838.6705668;-45.120503652039325
1739209838.6705766;-38.13080360867914
1739209838.6705866;-38.13080360867914
1739209838.6705966;-38.13080360867914
1739209838.6706064;-45.120503652039325
1739209838.6706164;-38.13080360867914
1739209838.6706264;-45.120503652039325
1739209838.6706362;-38.13080360867914
1739209838.6706462;-38.13080360867914
1739209838.6706562;-38.13080360867914
1739209838.670666;-45.120503652039325
1739209838.670676;-33.981070128970906
1739209838.670686;-38.13080360867914
1739209838.6706958;-45.120503652039325
1739209838.6707058;-35.57807855764607
1739209838.6707158;-38.13080360867914
1739209838.6707256;-38.13080360867914
1739209838.6707356;-45.120503652039325
1739209838.6707456;-38.13080360867914
1739209838.6707554;-35.57807855764607
1739209838.6707654;-38.13080360867914
1739209838.6707754;-38.13080360867914
1739209838.6707852;-45.120503652039325
1739209838.6707952;-38.13080360867914
1739209838.6708052;-32.816014438256545
1739209838.670815;-38.13080360867914
1739209838.670825;-38.13080360867914
1739209838.670835;-38.13080360867914
1739209838.6708448;-35.57807855764607
1739209838.6708548;-38.13080360867914
1739209838.6708646;-45.120503652039325
1739209838.6708746;-45.120503652039325
1739209838.6708846;-45.120503652039325
1739209838.6708944;-45.120503652039325
1739209838.6709044;-45.120503652039325
1739209838.6709144;-45.120503652039325
1739209838.6709242;-45.120503652039325
1739209838.6709342;-38.13080360867914
1739209838.6709442;-35.57807855764607
1739209838.670954;-38.13080360867914
1739209838.670964;-45.120503652039325
1739209838.670974;-33.981070128970906
1739209838.6709838;-38.13080360867914
1739209838.6709938;-31.141103565318915
1739209838.6710038;-45.120503652039325
1739209838.6710136;-38.13080360867914
1739209838.6710236;-38.13080360867914
1739209838.6710336;-38.13080360867914
1739209838.6710434;-35.57807855764607
1739209838.6710534;-38.13080360867914
1739209838.6710634;-38.13080360867914
1739209838.6710732;-38.13080360867914
1739209838.6710832;-45.120503652039325
1739209838.6710932;-38.13080360867914
1739209838.671103;-45.120503652039325
1739209838.671113;-38.13080360867914
1739209838.671123;-45.120503652039325
1739209838.6711328;-38.13080360867914
1739209838.6711428;-38.13080360867914
1739209838.6711528;-28.58837851428586
