CAN Message; 0x1bb:0000cb53ab17a848
Timestamp;Amplitude
1739209827.7884765;-38.13080360867914
1739209827.7884793;-45.120503652039325
1739209827.7884824;-35.57807855764607
1739209827.7884855;-33.981070128970906
1739209827.7884884;-45.120503652039325
1739209827.7884915;-45.120503652039325
1739209827.7884946;-38.13080360867914
1739209827.7884974;-35.57807855764607
1739209827.7885005;-45.120503652039325
1739209827.7885036;-38.13080360867914
1739209827.7885065;-45.120503652039325
1739209827.7885096;-45.120503652039325
1739209827.7885125;-45.120503652039325
1739209827.7885156;-45.120503652039325
1739209827.7885187;-45.120503652039325
1739209827.7885215;-45.120503652039325
1739209827.7885246;-45.120503652039325
1739209827.7885277;-33.981070128970906
1739209827.7885306;-38.13080360867914
1739209827.7885337;-45.120503652039325
1739209827.7885368;-32.816014438256545
1739209827.7885396;-33.981070128970906
1739209827.7885427;-45.120503652039325
1739209827.7885458;-33.981070128970906
1739209827.7885487;-45.120503652039325
1739209827.7885518;-38.13080360867914
1739209827.788555;-45.120503652039325
1739209827.7885578;-38.13080360867914
1739209827.7885609;-27.267205301931607
1739209827.788564;-28.992665084841942
1739209827.7885668;-45.120503652039325
1739209827.78857;-35.57807855764607
1739209827.7885728;-32.816014438256545
1739209827.788576;-28.992665084841942
1739209827.788579;-31.141103565318915
1739209827.7885818;-38.13080360867914
1739209827.788585;-28.21854285175415
1739209827.788588;-23.38864096791655
1739209827.788591;-32.816014438256545
1739209827.788594;-33.981070128970906
1739209827.788597;-31.141103565318915
1739209827.7886;-38.13080360867914
1739209827.788603;-45.120503652039325
1739209827.7886062;-27.877744956031417
1739209827.788609;-28.58837851428586
1739209827.7886121;-45.120503652039325
1739209827.7886152;-24.15140352195873
1739209827.788618;-23.75329798047522
1739209827.7886212;-25.62660358559016
1739209827.7886243;-28.992665084841942
1739209827.7886271;-45.120503652039325
1739209827.7886302;-30.49652367304973
1739209827.788633;-31.141103565318943
1739209827.7886362;-28.992665084841942
1739209827.7886393;-30.49652367304973
1739209827.7886422;-26.991370085610754
