CAN Message; 0x1bb:0000cd0be32fc1af
Timestamp;Amplitude
1739209685.6992116;-38.13080360867914
1739209685.6992164;-38.13080360867914
1739209685.699221;-28.992665084841942
1739209685.6992254;-38.13080360867914
1739209685.6992302;-38.13080360867914
1739209685.6992347;-35.57807855764607
1739209685.6992393;-45.120503652039325
1739209685.699244;-45.120503652039325
1739209685.6992486;-33.981070128970906
1739209685.699253;-35.57807855764607
1739209685.6992579;-45.120503652039325
1739209685.6992624;-45.120503652039325
1739209685.699267;-38.13080360867914
1739209685.6992717;-38.13080360867914
1739209685.6992762;-45.120503652039325
1739209685.6992807;-45.120503652039325
1739209685.6992855;-38.13080360867914
1739209685.69929;-35.57807855764607
1739209685.6992946;-45.120503652039325
1739209685.6992993;-45.120503652039325
1739209685.6993039;-38.13080360867914
1739209685.6993084;-32.816014438256545
1739209685.6993132;-45.120503652039325
1739209685.6993177;-45.120503652039325
1739209685.6993222;-32.816014438256545
1739209685.699327;-29.438486411369333
1739209685.6993315;-32.816014438256545
1739209685.699336;-32.816014438256545
1739209685.6993408;-38.13080360867914
1739209685.6993454;-45.120503652039325
1739209685.6993499;-38.13080360867914
1739209685.6993546;-45.120503652039325
1739209685.6993592;-45.120503652039325
1739209685.6993637;-38.13080360867914
1739209685.6993685;-38.13080360867914
1739209685.699373;-45.120503652039325
1739209685.6993775;-38.13080360867914
1739209685.6993823;-45.120503652039325
1739209685.6993868;-45.120503652039325
1739209685.6993914;-45.120503652039325
1739209685.699396;-33.981070128970906
1739209685.6994007;-38.13080360867914
1739209685.6994052;-35.57807855764607
1739209685.6994097;-32.816014438256545
1739209685.6994145;-45.120503652039325
1739209685.699419;-45.120503652039325
1739209685.6994236;-45.120503652039325
1739209685.6994283;-45.120503652039325
1739209685.6994328;-33.981070128970906
1739209685.6994374;-33.981070128970906
1739209685.6994421;-38.13080360867914
1739209685.6994467;-33.981070128970906
1739209685.6994512;-45.120503652039325
1739209685.699456;-38.13080360867914
1739209685.6994605;-35.57807855764607
1739209685.699465;-33.981070128970906
1739209685.6994698;-45.120503652039325
1739209685.6994743;-38.13080360867914
1739209685.6994789;-45.120503652039325
1739209685.6994836;-45.120503652039325
1739209685.6994882;-38.13080360867914
1739209685.6994927;-45.120503652039325
1739209685.6994975;-45.120503652039325
1739209685.699502;-38.13080360867914
1739209685.6995065;-38.13080360867914
1739209685.6995113;-45.120503652039325
1739209685.6995158;-38.13080360867914
1739209685.6995203;-35.57807855764607
1739209685.699525;-45.120503652039325
1739209685.6995296;-45.120503652039325
1739209685.6995342;-35.57807855764607
1739209685.699539;-38.13080360867914
1739209685.6995435;-45.120503652039325
1739209685.699548;-45.120503652039325
1739209685.6995528;-45.120503652039325
1739209685.6995573;-45.120503652039325
1739209685.6995618;-38.13080360867914
1739209685.6995666;-45.120503652039325
1739209685.6995711;-45.120503652039325
1739209685.6995757;-38.13080360867914
1739209685.6995804;-45.120503652039325
1739209685.699585;-45.120503652039325
1739209685.6995895;-45.120503652039325
1739209685.6995943;-38.13080360867914
1739209685.6995988;-45.120503652039325
1739209685.6996033;-38.13080360867914
1739209685.699608;-45.120503652039325
1739209685.6996126;-38.13080360867914
1739209685.6996171;-35.57807855764607
1739209685.699622;-38.13080360867914
