CAN Message; 0x77:d4716c6fcd941292
Timestamp;Amplitude
1739209917.8633337;-33.981070128970906
1739209917.8633394;-45.120503652039325
1739209917.8633454;-45.120503652039325
1739209917.8633513;-35.57807855764607
1739209917.8633573;-45.120503652039325
1739209917.863363;-35.57807855764607
1739209917.863369;-38.13080360867914
1739209917.863375;-45.120503652039325
1739209917.863381;-38.13080360867914
1739209917.8633866;-33.981070128970906
1739209917.8633926;-28.58837851428586
1739209917.8633986;-38.13080360867914
1739209917.8634045;-35.57807855764607
1739209917.8634102;-38.13080360867914
1739209917.8634162;-38.13080360867914
1739209917.8634222;-38.13080360867914
1739209917.863428;-33.981070128970906
1739209917.8634338;-45.120503652039325
1739209917.8634398;-38.13080360867914
1739209917.8634458;-38.13080360867914
1739209917.8634517;-38.13080360867914
1739209917.8634574;-45.120503652039325
1739209917.8634634;-45.120503652039325
1739209917.8634694;-45.120503652039325
1739209917.863475;-45.120503652039325
1739209917.863481;-45.120503652039325
1739209917.863487;-35.57807855764607
1739209917.863493;-45.120503652039325
1739209917.8634987;-45.120503652039325
1739209917.8635046;-45.120503652039325
1739209917.8635106;-45.120503652039325
1739209917.8635166;-45.120503652039325
1739209917.8635223;-38.13080360867914
1739209917.8635283;-45.120503652039325
1739209917.8635342;-33.981070128970906
1739209917.8635402;-45.120503652039325
1739209917.863546;-45.120503652039325
1739209917.8635519;-32.816014438256545
1739209917.8635578;-35.57807855764607
1739209917.8635638;-45.120503652039325
1739209917.8635695;-38.13080360867914
1739209917.8635755;-38.13080360867914
1739209917.8635814;-45.120503652039325
1739209917.8635871;-35.57807855764607
1739209917.863593;-35.57807855764607
1739209917.863599;-38.13080360867914
1739209917.863605;-45.120503652039325
1739209917.8636107;-32.816014438256545
1739209917.8636167;-38.13080360867914
1739209917.8636227;-45.120503652039325
1739209917.8636286;-45.120503652039325
1739209917.8636343;-45.120503652039325
1739209917.8636403;-45.120503652039325
1739209917.8636463;-38.13080360867914
1739209917.8636522;-45.120503652039325
1739209917.863658;-38.13080360867914
1739209917.863664;-38.13080360867914
1739209917.8636699;-45.120503652039325
1739209917.8636758;-31.141103565318915
1739209917.8636816;-38.13080360867914
1739209917.8636875;-38.13080360867914
1739209917.8636935;-45.120503652039325
1739209917.8636994;-38.13080360867914
1739209917.8637052;-35.57807855764607
1739209917.863711;-38.13080360867914
1739209917.863717;-35.57807855764607
1739209917.8637228;-33.981070128970906
1739209917.8637288;-38.13080360867914
1739209917.8637347;-38.13080360867914
1739209917.8637407;-45.120503652039325
1739209917.8637464;-38.13080360867914
1739209917.8637524;-45.120503652039325
1739209917.8637583;-33.981070128970906
1739209917.8637643;-45.120503652039325
1739209917.86377;-45.120503652039325
1739209917.863776;-38.13080360867914
1739209917.863782;-38.13080360867914
1739209917.863788;-45.120503652039325
1739209917.8637936;-38.13080360867914
1739209917.8637996;-38.13080360867914
1739209917.8638055;-38.13080360867914
1739209917.8638115;-38.13080360867914
1739209917.8638172;-38.13080360867914
1739209917.8638232;-33.981070128970906
1739209917.8638291;-35.57807855764607
1739209917.8638349;-45.120503652039325
1739209917.8638408;-45.120503652039325
1739209917.8638468;-32.816014438256545
1739209917.8638527;-38.13080360867914
1739209917.8638585;-45.120503652039325
1739209917.8638644;-45.120503652039325
1739209917.8638704;-45.120503652039325
1739209917.8638763;-38.13080360867914
1739209917.863882;-45.120503652039325
1739209917.863888;-38.13080360867914
1739209917.863894;-38.13080360867914
1739209917.8639;-38.13080360867914
1739209917.8639057;-45.120503652039325
1739209917.8639116;-38.13080360867914
1739209917.8639176;-30.49652367304973
1739209917.8639235;-45.120503652039325
1739209917.8639293;-45.120503652039325
1739209917.8639352;-38.13080360867914
1739209917.8639412;-35.57807855764607
1739209917.8639472;-38.13080360867914
1739209917.8639529;-38.13080360867914
1739209917.8639588;-45.120503652039325
1739209917.8639648;-45.120503652039325
1739209917.8639705;-38.13080360867914
1739209917.8639765;-45.120503652039325
1739209917.8639824;-45.120503652039325
1739209917.8639884;-45.120503652039325
1739209917.8639941;-45.120503652039325
1739209917.864;-45.120503652039325
1739209917.864006;-38.13080360867914
1739209917.864012;-45.120503652039325
1739209917.8640177;-45.120503652039325
1739209917.8640237;-45.120503652039325
1739209917.8640296;-45.120503652039325
1739209917.8640356;-32.816014438256545
1739209917.8640413;-45.120503652039325
1739209917.8640473;-45.120503652039325
1739209917.8640532;-45.120503652039325
1739209917.8640592;-31.141103565318893
1739209917.864065;-38.13080360867914
1739209917.864071;-45.120503652039325
1739209917.8640769;-45.120503652039325
1739209917.8640828;-45.120503652039325
1739209917.8640885;-38.13080360867914
1739209917.8640945;-38.13080360867914
1739209917.8641005;-38.13080360867914
1739209917.8641062;-38.13080360867914
1739209917.8641121;-45.120503652039325
1739209917.864118;-38.13080360867914
