CAN Message; 0x1bb:00003f749107ab54
Timestamp;Amplitude
1739209596.2531297;-38.13080360867914
1739209596.2531366;-35.57807855764607
1739209596.2531438;-45.120503652039325
1739209596.2531507;-45.120503652039325
1739209596.2531576;-45.120503652039325
1739209596.2531645;-45.120503652039325
1739209596.2531717;-45.120503652039325
1739209596.2531786;-38.13080360867914
1739209596.2531855;-35.57807855764607
1739209596.2531924;-38.13080360867914
1739209596.2531996;-38.13080360867914
1739209596.2532065;-32.816014438256545
1739209596.2532134;-38.13080360867914
1739209596.2532203;-45.120503652039325
1739209596.2532272;-45.120503652039325
1739209596.2532344;-35.57807855764607
1739209596.2532413;-38.13080360867914
1739209596.2532482;-38.13080360867914
1739209596.2532551;-33.981070128970906
1739209596.2532623;-38.13080360867914
1739209596.2532692;-45.120503652039325
1739209596.253276;-38.13080360867914
1739209596.253283;-33.981070128970906
1739209596.2532902;-45.120503652039325
1739209596.253297;-45.120503652039325
1739209596.253304;-45.120503652039325
1739209596.253311;-30.49652367304973
1739209596.2533178;-38.13080360867914
1739209596.253325;-38.13080360867914
1739209596.253332;-38.13080360867914
1739209596.2533388;-38.13080360867914
1739209596.2533457;-32.816014438256545
1739209596.2533529;-45.120503652039325
1739209596.2533598;-45.120503652039325
1739209596.2533667;-31.141103565318915
1739209596.2533736;-33.981070128970906
1739209596.2533808;-45.120503652039325
1739209596.2533877;-45.120503652039325
1739209596.2533946;-38.13080360867914
1739209596.2534015;-35.57807855764607
1739209596.2534084;-38.13080360867914
1739209596.2534156;-38.13080360867914
1739209596.2534225;-38.13080360867914
1739209596.2534294;-38.13080360867914
1739209596.2534363;-38.13080360867914
1739209596.2534435;-38.13080360867914
1739209596.2534504;-45.120503652039325
1739209596.2534573;-45.120503652039325
1739209596.2534642;-38.13080360867914
1739209596.2534714;-45.120503652039325
1739209596.2534783;-38.13080360867914
1739209596.2534852;-38.13080360867914
1739209596.253492;-45.120503652039325
1739209596.253499;-45.120503652039325
1739209596.2535062;-45.120503652039325
1739209596.253513;-45.120503652039325
1739209596.25352;-45.120503652039325
1739209596.253527;-45.120503652039325
1739209596.253534;-35.57807855764607
1739209596.253541;-35.57807855764607
1739209596.253548;-38.13080360867914
1739209596.2535548;-45.120503652039325
1739209596.253562;-33.981070128970906
1739209596.253569;-45.120503652039325
1739209596.2535758;-38.13080360867914
1739209596.2535827;-38.13080360867914
1739209596.2535899;-45.120503652039325
1739209596.2535968;-45.120503652039325
1739209596.2536037;-38.13080360867914
1739209596.2536106;-35.57807855764607
1739209596.2536175;-33.981070128970906
1739209596.2536247;-38.13080360867914
1739209596.2536316;-38.13080360867914
1739209596.2536385;-45.120503652039325
1739209596.2536454;-35.57807855764607
1739209596.2536526;-45.120503652039325
1739209596.2536595;-38.13080360867914
1739209596.2536664;-35.57807855764607
1739209596.2536733;-45.120503652039325
1739209596.2536805;-38.13080360867914
1739209596.2536874;-38.13080360867914
1739209596.2536943;-45.120503652039325
1739209596.2537012;-45.120503652039325
1739209596.2537081;-45.120503652039325
1739209596.2537153;-38.13080360867914
1739209596.2537222;-35.57807855764607
1739209596.253729;-38.13080360867914
1739209596.253736;-38.13080360867914
1739209596.2537432;-35.57807855764607
1739209596.25375;-45.120503652039325
1739209596.253757;-38.13080360867914
1739209596.253764;-35.57807855764607
1739209596.253771;-45.120503652039325
1739209596.253778;-38.13080360867914
1739209596.253785;-38.13080360867914
1739209596.2537918;-45.120503652039325
1739209596.2537987;-45.120503652039325
1739209596.2538059;-32.816014438256545
1739209596.2538128;-38.13080360867914
1739209596.2538197;-45.120503652039325
1739209596.2538266;-38.13080360867914
1739209596.2538338;-29.438486411369333
1739209596.2538407;-35.57807855764607
1739209596.2538476;-38.13080360867914
1739209596.2538545;-45.120503652039325
1739209596.2538617;-35.57807855764607
1739209596.2538686;-45.120503652039325
1739209596.2538755;-31.141103565318915
1739209596.2538824;-31.141103565318915
1739209596.2538893;-45.120503652039325
1739209596.2538965;-45.120503652039325
1739209596.2539034;-38.13080360867914
1739209596.2539103;-38.13080360867914
1739209596.2539172;-45.120503652039325
1739209596.2539244;-38.13080360867914
1739209596.2539313;-45.120503652039325
1739209596.2539382;-45.120503652039325
1739209596.253945;-35.57807855764607
1739209596.2539523;-38.13080360867914
1739209596.2539592;-45.120503652039325
1739209596.253966;-38.13080360867914
1739209596.253973;-35.57807855764607
1739209596.25398;-38.13080360867914
1739209596.253987;-38.13080360867914
1739209596.253994;-45.120503652039325
1739209596.254001;-45.120503652039325
1739209596.2540078;-45.120503652039325
1739209596.254015;-32.816014438256545
1739209596.254022;-33.981070128970906
1739209596.2540288;-45.120503652039325
1739209596.2540357;-45.120503652039325
1739209596.2540429;-32.816014438256545
1739209596.2540498;-31.141103565318915
1739209596.2540567;-45.120503652039325
1739209596.2540636;-45.120503652039325
1739209596.2540705;-45.120503652039325
1739209596.2540777;-45.120503652039325
1739209596.2540846;-45.120503652039325
1739209596.2540915;-45.120503652039325
1739209596.2540984;-45.120503652039325
1739209596.2541056;-45.120503652039325
1739209596.2541125;-38.13080360867914
1739209596.2541194;-45.120503652039325
1739209596.2541263;-35.57807855764607
1739209596.2541335;-38.13080360867914
1739209596.2541404;-45.120503652039325
1739209596.2541473;-38.13080360867914
1739209596.2541542;-31.141103565318915
1739209596.2541611;-28.992665084841942
1739209596.2541683;-32.816014438256545
1739209596.2541752;-35.57807855764607
1739209596.254182;-45.120503652039325
1739209596.254189;-45.120503652039325
1739209596.2541962;-33.981070128970906
1739209596.254203;-38.13080360867914
1739209596.25421;-45.120503652039325
1739209596.254217;-38.13080360867914
1739209596.254224;-45.120503652039325
1739209596.254231;-45.120503652039325
1739209596.254238;-38.13080360867914
1739209596.2542448;-45.120503652039325
1739209596.2542517;-45.120503652039325
1739209596.2542589;-38.13080360867914
1739209596.2542658;-35.57807855764607
1739209596.2542727;-33.981070128970906
1739209596.2542796;-32.816014438256545
1739209596.2542868;-38.13080360867914
1739209596.2542937;-45.120503652039325
1739209596.2543006;-38.13080360867914
1739209596.2543075;-38.13080360867914
1739209596.2543147;-38.13080360867914
1739209596.2543216;-45.120503652039325
1739209596.2543285;-38.13080360867914
1739209596.2543354;-35.57807855764607
1739209596.2543426;-45.120503652039325
1739209596.2543495;-45.120503652039325
1739209596.2543564;-38.13080360867914
1739209596.2543633;-45.120503652039325
1739209596.2543702;-38.13080360867914
1739209596.2543774;-38.13080360867914
1739209596.2543843;-31.14110356531892
1739209596.2543912;-45.120503652039325
1739209596.254398;-38.13080360867914
1739209596.2544053;-38.13080360867914
1739209596.2544122;-45.120503652039325
1739209596.254419;-45.120503652039325
1739209596.254426;-38.13080360867914
1739209596.2544332;-35.57807855764607
1739209596.25444;-26.991370085610722
1739209596.254447;-38.13080360867914
1739209596.254454;-45.120503652039325
1739209596.2544608;-45.120503652039325
1739209596.254468;-45.120503652039325
