CAN Message; 0x1bb:00000e72ec3eac1e
Timestamp;Amplitude
1739209734.6219902;-38.13080360867914
1739209734.6219935;-45.120503652039325
1739209734.621997;-45.120503652039325
1739209734.6220007;-38.13080360867914
1739209734.622004;-38.13080360867914
1739209734.6220076;-32.816014438256545
1739209734.6220112;-38.13080360867914
1739209734.6220145;-45.120503652039325
1739209734.622018;-45.120503652039325
1739209734.6220217;-38.13080360867914
1739209734.622025;-38.13080360867914
1739209734.6220286;-38.13080360867914
1739209734.6220322;-38.13080360867914
1739209734.6220357;-38.13080360867914
1739209734.622039;-45.120503652039325
1739209734.6220427;-38.13080360867914
1739209734.6220462;-38.13080360867914
1739209734.6220496;-45.120503652039325
1739209734.6220531;-35.57807855764607
1739209734.6220567;-45.120503652039325
1739209734.62206;-38.13080360867914
1739209734.6220636;-45.120503652039325
1739209734.6220672;-45.120503652039325
1739209734.6220706;-45.120503652039325
1739209734.6220741;-45.120503652039325
1739209734.6220777;-45.120503652039325
1739209734.622081;-45.120503652039325
1739209734.6220846;-38.13080360867914
1739209734.6220882;-45.120503652039325
1739209734.6220915;-33.981070128970906
1739209734.622095;-28.992665084841942
1739209734.6220987;-38.13080360867914
1739209734.622102;-45.120503652039325
1739209734.6221056;-38.13080360867914
1739209734.6221092;-38.13080360867914
1739209734.6221128;-45.120503652039325
1739209734.622116;-38.13080360867914
1739209734.6221197;-38.13080360867914
1739209734.6221232;-38.13080360867914
1739209734.6221266;-45.120503652039325
1739209734.6221302;-45.120503652039325
1739209734.6221337;-38.13080360867914
1739209734.622137;-45.120503652039325
1739209734.6221406;-38.13080360867914
1739209734.6221442;-38.13080360867914
1739209734.6221476;-33.981070128970906
1739209734.6221511;-28.992665084841942
1739209734.6221547;-45.120503652039325
1739209734.622158;-38.13080360867914
1739209734.6221616;-35.57807855764607
1739209734.6221652;-38.13080360867914
1739209734.6221685;-38.13080360867914
1739209734.622172;-45.120503652039325
1739209734.6221757;-45.120503652039325
1739209734.622179;-38.13080360867914
1739209734.6221826;-45.120503652039325
1739209734.6221862;-35.57807855764607
1739209734.6221895;-32.816014438256545
1739209734.622193;-45.120503652039325
1739209734.6221967;-38.13080360867914
1739209734.6222003;-45.120503652039325
1739209734.6222036;-33.981070128970906
1739209734.6222072;-33.981070128970906
1739209734.6222107;-45.120503652039325
1739209734.622214;-38.13080360867914
1739209734.6222177;-38.13080360867914
1739209734.6222212;-38.13080360867914
1739209734.6222246;-45.120503652039325
1739209734.6222281;-45.120503652039325
1739209734.6222317;-45.120503652039325
1739209734.622235;-45.120503652039325
1739209734.6222386;-45.120503652039325
1739209734.6222422;-45.120503652039325
