CAN Message; 0x98:0000957eb53e73fa
Timestamp;Amplitude
1739209903.7183752;-45.120503652039325
1739209903.7183805;-45.120503652039325
1739209903.7183857;-45.120503652039325
1739209903.718391;-38.13080360867914
1739209903.7183962;-26.991370085610722
1739209903.7184014;-33.981070128970906
1739209903.7184067;-45.120503652039325
1739209903.7184122;-45.120503652039325
1739209903.7184174;-38.13080360867914
1739209903.7184227;-45.120503652039325
1739209903.718428;-38.13080360867914
1739209903.7184331;-38.13080360867914
1739209903.7184384;-45.120503652039325
1739209903.7184436;-45.120503652039325
1739209903.7184489;-38.13080360867914
1739209903.7184541;-45.120503652039325
1739209903.7184594;-45.120503652039325
1739209903.7184646;-45.120503652039325
1739209903.7184699;-45.120503652039325
1739209903.718475;-45.120503652039325
1739209903.7184803;-31.141103565318915
1739209903.7184858;-33.981070128970906
1739209903.718491;-45.120503652039325
1739209903.7184963;-35.57807855764607
1739209903.7185016;-35.57807855764607
1739209903.7185068;-38.13080360867914
1739209903.718512;-45.120503652039325
1739209903.7185173;-38.13080360867914
1739209903.7185225;-38.13080360867914
1739209903.7185278;-38.13080360867914
1739209903.718533;-38.13080360867914
1739209903.7185383;-45.120503652039325
1739209903.7185435;-45.120503652039325
1739209903.7185488;-38.13080360867914
1739209903.718554;-45.120503652039325
1739209903.7185593;-38.13080360867914
1739209903.7185647;-38.13080360867914
1739209903.71857;-33.981070128970906
1739209903.7185752;-45.120503652039325
1739209903.7185805;-38.13080360867914
1739209903.7185857;-45.120503652039325
1739209903.718591;-38.13080360867914
1739209903.7185962;-35.57807855764607
1739209903.7186015;-38.13080360867914
1739209903.7186067;-45.120503652039325
1739209903.718612;-45.120503652039325
1739209903.7186172;-38.13080360867914
1739209903.7186224;-38.13080360867914
1739209903.7186277;-38.13080360867914
1739209903.718633;-35.57807855764607
1739209903.7186384;-38.13080360867914
1739209903.7186437;-38.13080360867914
1739209903.718649;-45.120503652039325
1739209903.7186542;-38.13080360867914
1739209903.7186594;-38.13080360867914
1739209903.7186646;-45.120503652039325
1739209903.71867;-38.13080360867914
1739209903.7186751;-45.120503652039325
1739209903.7186804;-38.13080360867914
1739209903.7186856;-45.120503652039325
1739209903.7186909;-33.981070128970906
1739209903.718696;-31.141103565318915
1739209903.7187014;-38.13080360867914
1739209903.7187066;-38.13080360867914
1739209903.718712;-35.57807855764607
1739209903.7187173;-35.57807855764607
1739209903.7187226;-38.13080360867914
1739209903.7187278;-38.13080360867914
1739209903.718733;-45.120503652039325
1739209903.7187383;-45.120503652039325
1739209903.7187436;-45.120503652039325
1739209903.7187488;-38.13080360867914
1739209903.718754;-35.57807855764607
1739209903.7187593;-45.120503652039325
1739209903.7187645;-45.120503652039325
1739209903.7187698;-45.120503652039325
1739209903.718775;-45.120503652039325
1739209903.7187803;-38.13080360867914
1739209903.7187855;-38.13080360867914
1739209903.718791;-45.120503652039325
1739209903.7187963;-38.13080360867914
1739209903.7188015;-38.13080360867914
1739209903.7188067;-45.120503652039325
1739209903.718812;-38.13080360867914
1739209903.7188172;-38.13080360867914
1739209903.7188225;-38.13080360867914
1739209903.7188277;-35.57807855764607
1739209903.718833;-45.120503652039325
1739209903.7188382;-45.120503652039325
1739209903.7188435;-45.120503652039325
1739209903.7188487;-38.13080360867914
1739209903.718854;-45.120503652039325
1739209903.7188592;-38.13080360867914
1739209903.7188647;-38.13080360867914
1739209903.71887;-45.120503652039325
1739209903.7188752;-38.13080360867914
1739209903.7188804;-35.57807855764607
1739209903.7188857;-38.13080360867914
1739209903.718891;-45.120503652039325
1739209903.7188962;-33.981070128970906
1739209903.7189014;-45.120503652039325
1739209903.7189066;-38.13080360867914
1739209903.718912;-35.57807855764607
1739209903.7189171;-38.13080360867914
1739209903.7189224;-45.120503652039325
