CAN Message; 0x62:0c51a12dc8ceacbe
Timestamp;Amplitude
1739209634.3248668;-45.120503652039325
1739209634.3248737;-45.120503652039325
1739209634.3248806;-45.120503652039325
1739209634.3248873;-38.13080360867914
1739209634.3248942;-45.120503652039325
1739209634.324901;-38.13080360867914
1739209634.324908;-38.13080360867914
1739209634.324915;-35.57807855764607
1739209634.3249218;-45.120503652039325
1739209634.3249288;-45.120503652039325
1739209634.3249357;-45.120503652039325
1739209634.3249424;-38.13080360867914
1739209634.3249493;-45.120503652039325
1739209634.3249562;-45.120503652039325
1739209634.324963;-45.120503652039325
1739209634.32497;-45.120503652039325
1739209634.324977;-45.120503652039325
1739209634.3249838;-38.13080360867914
1739209634.3249907;-38.13080360867914
1739209634.3249974;-45.120503652039325
1739209634.3250043;-35.57807855764607
1739209634.3250113;-38.13080360867914
1739209634.3250182;-45.120503652039325
1739209634.325025;-38.13080360867914
1739209634.325032;-35.57807855764607
1739209634.325039;-35.57807855764607
1739209634.3250458;-45.120503652039325
1739209634.3250525;-38.13080360867914
1739209634.3250594;-38.13080360867914
1739209634.3250663;-45.120503652039325
1739209634.3250732;-45.120503652039325
1739209634.3250802;-33.981070128970906
1739209634.325087;-35.57807855764607
1739209634.325094;-38.13080360867914
1739209634.325101;-38.13080360867914
1739209634.3251076;-38.13080360867914
1739209634.3251145;-38.13080360867914
1739209634.3251214;-38.13080360867914
1739209634.3251283;-45.120503652039325
1739209634.3251352;-45.120503652039325
1739209634.3251421;-45.120503652039325
1739209634.325149;-45.120503652039325
1739209634.325156;-45.120503652039325
1739209634.3251626;-45.120503652039325
1739209634.3251696;-35.57807855764607
1739209634.3251765;-38.13080360867914
1739209634.3251834;-45.120503652039325
1739209634.3251903;-38.13080360867914
1739209634.3251972;-45.120503652039325
1739209634.3252041;-38.13080360867914
1739209634.325211;-30.49652367304973
1739209634.3252177;-38.13080360867914
1739209634.3252246;-45.120503652039325
1739209634.3252316;-38.13080360867914
1739209634.3252385;-38.13080360867914
1739209634.3252454;-45.120503652039325
1739209634.3252523;-31.141103565318893
1739209634.3252592;-45.120503652039325
1739209634.3252661;-45.120503652039325
1739209634.3252728;-38.13080360867914
1739209634.3252797;-38.13080360867914
1739209634.3252866;-35.57807855764607
1739209634.3252935;-45.120503652039325
1739209634.3253005;-38.13080360867914
1739209634.3253074;-45.120503652039325
1739209634.3253143;-38.13080360867914
1739209634.325321;-31.141103565318915
1739209634.3253279;-45.120503652039325
1739209634.3253348;-38.13080360867914
1739209634.3253417;-38.13080360867914
1739209634.3253486;-35.57807855764607
1739209634.3253555;-38.13080360867914
1739209634.3253624;-45.120503652039325
1739209634.3253694;-45.120503652039325
1739209634.325376;-45.120503652039325
1739209634.325383;-45.120503652039325
1739209634.3253899;-38.13080360867914
1739209634.3253968;-38.13080360867914
1739209634.3254037;-45.120503652039325
1739209634.3254106;-38.13080360867914
1739209634.3254175;-38.13080360867914
1739209634.3254244;-38.13080360867914
1739209634.325431;-29.438486411369333
1739209634.325438;-38.13080360867914
1739209634.325445;-38.13080360867914
1739209634.3254519;-38.13080360867914
1739209634.3254588;-32.816014438256545
1739209634.3254657;-38.13080360867914
1739209634.3254726;-45.120503652039325
1739209634.3254795;-45.120503652039325
1739209634.3254862;-45.120503652039325
1739209634.325493;-45.120503652039325
1739209634.3255;-38.13080360867914
1739209634.325507;-38.13080360867914
1739209634.3255138;-45.120503652039325
1739209634.3255208;-38.13080360867914
1739209634.3255277;-45.120503652039325
1739209634.3255346;-45.120503652039325
1739209634.3255413;-45.120503652039325
1739209634.3255482;-45.120503652039325
1739209634.325555;-45.120503652039325
1739209634.325562;-38.13080360867914
1739209634.325569;-45.120503652039325
1739209634.3255758;-38.13080360867914
1739209634.3255827;-38.13080360867914
1739209634.3255897;-38.13080360867914
1739209634.3255963;-26.991370085610736
1739209634.3256032;-38.13080360867914
1739209634.3256102;-45.120503652039325
1739209634.325617;-45.120503652039325
1739209634.325624;-38.13080360867914
1739209634.325631;-38.13080360867914
1739209634.3256378;-45.120503652039325
1739209634.3256447;-38.13080360867914
1739209634.3256514;-38.13080360867914
1739209634.3256583;-45.120503652039325
1739209634.3256652;-33.981070128970906
1739209634.3256721;-38.13080360867914
1739209634.325679;-38.13080360867914
1739209634.325686;-33.981070128970906
1739209634.325693;-38.13080360867914
1739209634.3256998;-38.13080360867914
