CAN Message; 0x77:61eaff40e9e67af8
Timestamp;Amplitude
1739209849.54167;-35.57807855764607
1739209849.5416791;-45.120503652039325
1739209849.5416882;-45.120503652039325
1739209849.5416973;-45.120503652039325
1739209849.541706;-38.13080360867914
1739209849.5417151;-38.13080360867914
1739209849.5417242;-38.13080360867914
1739209849.5417333;-38.13080360867914
1739209849.5417423;-45.120503652039325
1739209849.5417514;-45.120503652039325
1739209849.5417604;-45.120503652039325
1739209849.5417695;-38.13080360867914
1739209849.5417786;-45.120503652039325
1739209849.5417876;-38.13080360867914
1739209849.5417964;-38.13080360867914
1739209849.5418055;-45.120503652039325
1739209849.5418146;-35.57807855764607
1739209849.5418236;-38.13080360867914
1739209849.5418327;-38.13080360867914
1739209849.5418417;-38.13080360867914
1739209849.5418508;-35.57807855764607
1739209849.5418599;-38.13080360867914
1739209849.541869;-45.120503652039325
1739209849.541878;-45.120503652039325
1739209849.5418868;-45.120503652039325
1739209849.5418959;-38.13080360867914
1739209849.541905;-38.13080360867914
1739209849.541914;-45.120503652039325
1739209849.541923;-45.120503652039325
1739209849.541932;-32.816014438256545
1739209849.5419412;-32.816014438256545
1739209849.5419502;-45.120503652039325
1739209849.5419593;-38.13080360867914
1739209849.5419683;-38.13080360867914
1739209849.5419772;-38.13080360867914
1739209849.5419862;-45.120503652039325
1739209849.5419953;-38.13080360867914
1739209849.5420043;-45.120503652039325
1739209849.5420134;-38.13080360867914
1739209849.5420225;-38.13080360867914
1739209849.5420315;-45.120503652039325
1739209849.5420406;-45.120503652039325
1739209849.5420496;-45.120503652039325
1739209849.5420587;-45.120503652039325
1739209849.5420675;-45.120503652039325
1739209849.5420766;-38.13080360867914
1739209849.5420856;-35.57807855764607
1739209849.5420947;-38.13080360867914
1739209849.5421038;-45.120503652039325
1739209849.5421128;-35.57807855764607
1739209849.542122;-35.57807855764607
1739209849.542131;-45.120503652039325
1739209849.54214;-45.120503652039325
1739209849.542149;-45.120503652039325
1739209849.542158;-45.120503652039325
1739209849.542167;-45.120503652039325
1739209849.542176;-45.120503652039325
1739209849.542185;-38.13080360867914
1739209849.5421941;-45.120503652039325
1739209849.5422032;-45.120503652039325
1739209849.5422122;-45.120503652039325
1739209849.5422213;-38.13080360867914
1739209849.5422304;-45.120503652039325
1739209849.5422392;-45.120503652039325
1739209849.5422482;-45.120503652039325
1739209849.5422573;-38.13080360867914
1739209849.5422664;-30.49652367304973
1739209849.5422754;-38.13080360867914
1739209849.5422845;-45.120503652039325
1739209849.5422935;-45.120503652039325
1739209849.5423026;-45.120503652039325
1739209849.5423117;-38.13080360867914
1739209849.5423207;-38.13080360867914
1739209849.5423295;-45.120503652039325
1739209849.5423386;-38.13080360867914
1739209849.5423477;-45.120503652039325
1739209849.5423567;-38.13080360867914
1739209849.5423658;-38.13080360867914
1739209849.5423748;-45.120503652039325
1739209849.542384;-38.13080360867914
1739209849.542393;-33.981070128970906
1739209849.542402;-45.120503652039325
1739209849.542411;-33.981070128970906
1739209849.54242;-45.120503652039325
