CAN Message; 0x1b8:0100ff0a128404b4
Timestamp;Amplitude
1739209710.0155842;-45.120503652039325
1739209710.0155885;-45.120503652039325
1739209710.0155926;-45.120503652039325
1739209710.0155969;-35.57807855764607
1739209710.015601;-38.13080360867914
1739209710.0156052;-38.13080360867914
1739209710.0156093;-32.816014438256545
1739209710.0156136;-45.120503652039325
1739209710.0156176;-45.120503652039325
1739209710.0156217;-38.13080360867914
1739209710.015626;-45.120503652039325
1739209710.01563;-45.120503652039325
1739209710.0156343;-45.120503652039325
1739209710.0156384;-38.13080360867914
1739209710.0156426;-30.49652367304973
1739209710.0156467;-38.13080360867914
1739209710.015651;-45.120503652039325
1739209710.015655;-38.13080360867914
1739209710.015659;-35.57807855764607
1739209710.0156634;-38.13080360867914
1739209710.0156674;-35.57807855764607
1739209710.0156717;-38.13080360867914
1739209710.0156758;-33.981070128970956
1739209710.01568;-35.57807855764607
1739209710.0156841;-35.57807855764607
1739209710.0156884;-38.13080360867914
1739209710.0156925;-45.120503652039325
1739209710.0156968;-38.13080360867914
1739209710.0157008;-38.13080360867914
1739209710.0157049;-45.120503652039325
1739209710.0157092;-33.981070128970906
1739209710.0157132;-38.13080360867914
1739209710.0157175;-38.13080360867914
1739209710.0157216;-38.13080360867914
1739209710.0157259;-45.120503652039325
1739209710.01573;-38.13080360867914
1739209710.0157342;-38.13080360867914
1739209710.0157382;-45.120503652039325
1739209710.0157423;-45.120503652039325
1739209710.0157466;-38.13080360867914
1739209710.0157506;-45.120503652039325
1739209710.015755;-38.13080360867914
1739209710.015759;-35.57807855764607
1739209710.0157633;-38.13080360867914
1739209710.0157673;-33.981070128970906
1739209710.0157716;-45.120503652039325
1739209710.0157757;-45.120503652039325
1739209710.0157797;-45.120503652039325
1739209710.015784;-38.13080360867914
1739209710.015788;-45.120503652039325
1739209710.0157924;-45.120503652039325
1739209710.0157964;-38.13080360867914
1739209710.0158007;-38.13080360867914
1739209710.0158048;-45.120503652039325
1739209710.015809;-32.816014438256545
1739209710.015813;-38.13080360867914
1739209710.0158172;-45.120503652039325
1739209710.0158215;-38.13080360867914
1739209710.0158255;-35.57807855764607
1739209710.0158298;-38.13080360867914
1739209710.0158339;-45.120503652039325
1739209710.0158381;-38.13080360867914
1739209710.0158422;-38.13080360867914
1739209710.0158465;-45.120503652039325
1739209710.0158505;-35.57807855764607
1739209710.0158548;-38.13080360867914
1739209710.015859;-45.120503652039325
1739209710.015863;-38.13080360867914
1739209710.0158672;-45.120503652039325
1739209710.0158713;-45.120503652039325
1739209710.0158756;-35.57807855764607
1739209710.0158796;-45.120503652039325
1739209710.015884;-45.120503652039325
1739209710.015888;-33.981070128970906
1739209710.0158923;-45.120503652039325
1739209710.0158963;-45.120503652039325
1739209710.0159004;-35.57807855764607
1739209710.0159047;-45.120503652039325
1739209710.0159087;-45.120503652039325
1739209710.015913;-33.981070128970906
1739209710.015917;-45.120503652039325
1739209710.0159214;-45.120503652039325
1739209710.0159254;-33.981070128970906
1739209710.0159297;-35.57807855764607
1739209710.0159338;-45.120503652039325
1739209710.0159378;-45.120503652039325
1739209710.015942;-45.120503652039325
1739209710.0159461;-45.120503652039325
1739209710.0159504;-38.13080360867914
1739209710.0159545;-38.13080360867914
1739209710.0159588;-45.120503652039325
1739209710.0159628;-38.13080360867914
1739209710.0159671;-32.816014438256545
1739209710.0159712;-45.120503652039325
1739209710.0159752;-38.13080360867914
1739209710.0159795;-28.58837851428586
1739209710.0159836;-35.57807855764607
1739209710.0159879;-38.13080360867914
1739209710.015992;-38.13080360867914
1739209710.0159962;-38.13080360867914
1739209710.0160003;-45.120503652039325
1739209710.0160046;-38.13080360867914
1739209710.0160086;-38.13080360867914
1739209710.016013;-45.120503652039325
1739209710.016017;-45.120503652039325
1739209710.016021;-33.981070128970906
1739209710.0160253;-38.13080360867914
1739209710.0160294;-45.120503652039325
1739209710.0160336;-38.13080360867914
1739209710.0160377;-45.120503652039325
1739209710.016042;-45.120503652039325
1739209710.016046;-45.120503652039325
1739209710.0160503;-45.120503652039325
1739209710.0160544;-45.120503652039325
1739209710.0160584;-32.816014438256545
1739209710.0160627;-33.981070128970906
1739209710.0160668;-45.120503652039325
1739209710.016071;-45.120503652039325
1739209710.0160751;-45.120503652039325
1739209710.0160794;-28.992665084841942
1739209710.0160835;-38.13080360867914
1739209710.0160878;-38.13080360867914
1739209710.0160918;-45.120503652039325
1739209710.0160959;-35.57807855764607
1739209710.0161002;-35.57807855764607
1739209710.0161042;-45.120503652039325
1739209710.0161085;-45.120503652039325
1739209710.0161126;-38.13080360867914
1739209710.0161169;-38.13080360867914
1739209710.016121;-38.13080360867914
1739209710.0161252;-45.120503652039325
1739209710.0161293;-45.120503652039325
