CAN Message; 0x150:05009beb2aeda76a
Timestamp;Amplitude
1739209800.127072;-38.13080360867914
1739209800.1270738;-45.120503652039325
1739209800.1270757;-45.120503652039325
1739209800.1270776;-38.13080360867914
1739209800.1270792;-38.13080360867914
1739209800.1270812;-45.120503652039325
1739209800.127083;-38.13080360867914
1739209800.1270847;-45.120503652039325
1739209800.1270866;-38.13080360867914
1739209800.1270885;-38.13080360867914
1739209800.1270902;-45.120503652039325
1739209800.1270921;-45.120503652039325
1739209800.127094;-45.120503652039325
1739209800.1270957;-38.13080360867914
1739209800.1270976;-38.13080360867914
1739209800.1270995;-45.120503652039325
1739209800.1271012;-33.981070128970906
1739209800.127103;-35.57807855764607
1739209800.127105;-38.13080360867914
1739209800.1271067;-45.120503652039325
1739209800.1271086;-28.992665084841942
1739209800.1271105;-45.120503652039325
1739209800.1271122;-45.120503652039325
1739209800.127114;-38.13080360867914
1739209800.127116;-38.13080360867914
1739209800.1271176;-35.57807855764607
1739209800.1271195;-38.13080360867914
1739209800.1271214;-38.13080360867914
1739209800.127123;-38.13080360867914
1739209800.127125;-35.57807855764607
1739209800.127127;-38.13080360867914
1739209800.1271286;-45.120503652039325
1739209800.1271305;-45.120503652039325
1739209800.1271324;-33.981070128970906
1739209800.127134;-38.13080360867914
1739209800.127136;-38.13080360867914
1739209800.127138;-38.13080360867914
1739209800.1271396;-38.13080360867914
1739209800.1271415;-38.13080360867914
1739209800.1271434;-45.120503652039325
1739209800.127145;-28.992665084841942
1739209800.127147;-33.981070128970906
1739209800.1271489;-45.120503652039325
1739209800.1271505;-45.120503652039325
1739209800.1271524;-38.13080360867914
1739209800.1271544;-38.13080360867914
1739209800.127156;-38.13080360867914
1739209800.127158;-38.13080360867914
1739209800.1271598;-38.13080360867914
1739209800.1271615;-45.120503652039325
1739209800.1271634;-38.13080360867914
1739209800.1271653;-45.120503652039325
1739209800.127167;-45.120503652039325
1739209800.127169;-45.120503652039325
1739209800.1271708;-38.13080360867914
1739209800.1271725;-45.120503652039325
1739209800.1271744;-28.992665084841942
1739209800.1271763;-32.816014438256545
1739209800.127178;-38.13080360867914
1739209800.1271799;-38.13080360867914
1739209800.1271818;-35.57807855764607
1739209800.1271834;-38.13080360867914
1739209800.1271853;-38.13080360867914
1739209800.1271873;-45.120503652039325
1739209800.127189;-38.13080360867914
1739209800.1271908;-35.57807855764607
1739209800.1271927;-45.120503652039325
1739209800.1271944;-38.13080360867914
1739209800.1271963;-35.57807855764607
1739209800.1271982;-38.13080360867914
1739209800.1272;-45.120503652039325
1739209800.1272018;-35.57807855764607
1739209800.1272037;-45.120503652039325
1739209800.1272056;-45.120503652039325
1739209800.1272073;-38.13080360867914
1739209800.1272092;-35.57807855764607
1739209800.127211;-38.13080360867914
1739209800.1272128;-45.120503652039325
1739209800.1272147;-38.13080360867914
1739209800.1272166;-38.13080360867914
1739209800.1272182;-31.141103565318893
1739209800.1272202;-29.438486411369333
1739209800.127222;-38.13080360867914
1739209800.1272237;-35.57807855764607
1739209800.1272256;-35.57807855764607
1739209800.1272275;-38.13080360867914
1739209800.1272292;-45.120503652039325
1739209800.1272311;-38.13080360867914
1739209800.127233;-45.120503652039325
1739209800.1272347;-32.81601443825658
1739209800.1272366;-38.13080360867914
1739209800.1272385;-35.57807855764607
1739209800.1272402;-45.120503652039325
1739209800.127242;-45.120503652039325
1739209800.127244;-38.13080360867914
1739209800.1272457;-38.13080360867914
1739209800.1272476;-32.816014438256545
