CAN Message; 0x1bb:00002364dbdbd6e6
Timestamp;Amplitude
1739209822.4766102;-45.120503652039325
1739209822.476614;-45.120503652039325
1739209822.4766176;-38.13080360867914
1739209822.4766214;-38.13080360867914
1739209822.476625;-45.120503652039325
1739209822.4766288;-38.13080360867914
1739209822.4766324;-45.120503652039325
1739209822.4766362;-38.13080360867914
1739209822.4766397;-38.13080360867914
1739209822.4766436;-38.13080360867914
1739209822.4766471;-38.13080360867914
1739209822.476651;-38.13080360867914
1739209822.4766545;-45.120503652039325
1739209822.4766583;-38.13080360867914
1739209822.476662;-32.816014438256545
1739209822.4766657;-38.13080360867914
1739209822.4766693;-38.13080360867914
1739209822.4766731;-38.13080360867914
1739209822.4766767;-38.13080360867914
1739209822.4766805;-38.13080360867914
1739209822.476684;-45.120503652039325
1739209822.476688;-38.13080360867914
1739209822.4766915;-38.13080360867914
1739209822.4766953;-38.13080360867914
1739209822.4766989;-45.120503652039325
1739209822.4767027;-38.13080360867914
1739209822.4767063;-38.13080360867914
1739209822.47671;-45.120503652039325
1739209822.4767137;-38.13080360867914
1739209822.4767175;-45.120503652039325
1739209822.476721;-45.120503652039325
1739209822.4767249;-38.13080360867914
1739209822.4767284;-45.120503652039325
1739209822.4767323;-38.13080360867914
1739209822.4767358;-33.981070128970906
1739209822.4767396;-31.141103565318915
1739209822.4767432;-38.13080360867914
1739209822.476747;-45.120503652039325
1739209822.4767506;-38.13080360867914
1739209822.4767544;-33.981070128970906
1739209822.476758;-38.13080360867914
1739209822.4767618;-45.120503652039325
1739209822.4767654;-33.981070128970906
1739209822.4767692;-31.141103565318915
1739209822.4767728;-45.120503652039325
1739209822.4767766;-38.13080360867914
1739209822.4767802;-38.13080360867914
1739209822.476784;-45.120503652039325
1739209822.4767876;-45.120503652039325
1739209822.4767914;-45.120503652039325
1739209822.476795;-38.13080360867914
1739209822.4767988;-27.267205301931607
1739209822.4768023;-38.13080360867914
1739209822.4768062;-38.13080360867914
1739209822.4768097;-38.13080360867914
1739209822.4768136;-38.13080360867914
1739209822.4768171;-45.120503652039325
1739209822.476821;-45.120503652039325
1739209822.4768245;-45.120503652039325
1739209822.4768283;-35.57807855764607
1739209822.476832;-35.57807855764607
1739209822.4768357;-45.120503652039325
1739209822.4768393;-45.120503652039325
1739209822.476843;-45.120503652039325
1739209822.4768467;-45.120503652039325
1739209822.4768505;-45.120503652039325
1739209822.476854;-45.120503652039325
1739209822.476858;-38.13080360867914
1739209822.4768615;-45.120503652039325
1739209822.4768653;-35.57807855764607
1739209822.4768689;-38.13080360867914
1739209822.4768727;-38.13080360867914
1739209822.4768763;-38.13080360867914
1739209822.47688;-45.120503652039325
1739209822.4768836;-38.13080360867914
1739209822.4768875;-31.141103565318915
1739209822.476891;-45.120503652039325
1739209822.4768949;-45.120503652039325
1739209822.4768984;-38.13080360867914
1739209822.4769022;-38.13080360867914
1739209822.4769058;-45.120503652039325
1739209822.4769096;-45.120503652039325
1739209822.4769132;-38.13080360867914
1739209822.476917;-45.120503652039325
1739209822.4769206;-45.120503652039325
1739209822.4769244;-35.57807855764607
1739209822.476928;-38.13080360867914
1739209822.4769318;-38.13080360867914
1739209822.4769354;-45.120503652039325
1739209822.4769392;-45.120503652039325
1739209822.4769428;-45.120503652039325
1739209822.4769466;-33.981070128970906
1739209822.4769502;-45.120503652039325
1739209822.476954;-33.981070128970906
1739209822.4769576;-38.13080360867914
1739209822.4769614;-38.13080360867914
1739209822.476965;-35.57807855764607
1739209822.4769688;-45.120503652039325
1739209822.4769723;-33.981070128970906
1739209822.4769762;-45.120503652039325
1739209822.4769797;-45.120503652039325
1739209822.4769835;-45.120503652039325
1739209822.4769871;-38.13080360867914
1739209822.476991;-45.120503652039325
1739209822.4769945;-45.120503652039325
1739209822.4769983;-38.13080360867914
1739209822.477002;-45.120503652039325
1739209822.4770057;-38.13080360867914
1739209822.4770093;-38.13080360867914
1739209822.477013;-45.120503652039325
1739209822.4770167;-45.120503652039325
1739209822.4770205;-33.981070128970906
1739209822.477024;-38.13080360867914
1739209822.477028;-38.13080360867914
