CAN Message; 0x1bb:0000d066886a1fcd
Timestamp;Amplitude
1739209768.7174797;-45.120503652039325
1739209768.717503;-45.120503652039325
1739209768.7175264;-45.120503652039325
1739209768.71755;-45.120503652039325
1739209768.7175734;-45.120503652039325
1739209768.7175968;-35.57807855764607
1739209768.7176201;-38.13080360867914
1739209768.7176435;-45.120503652039325
1739209768.7176669;-45.120503652039325
1739209768.7176905;-45.120503652039325
1739209768.7177138;-45.120503652039325
1739209768.7177372;-38.13080360867914
1739209768.7177606;-31.141103565318915
1739209768.717784;-33.981070128970906
1739209768.7178073;-45.120503652039325
1739209768.717831;-38.13080360867914
1739209768.7178543;-35.57807855764607
1739209768.7178776;-38.13080360867914
1739209768.717901;-45.120503652039325
1739209768.7179244;-38.13080360867914
1739209768.7179477;-30.49652367304973
1739209768.7179713;-38.13080360867914
1739209768.7179947;-38.13080360867914
1739209768.718018;-45.120503652039325
1739209768.7180414;-45.120503652039325
1739209768.7180648;-45.120503652039325
1739209768.7180882;-38.13080360867914
1739209768.7181115;-45.120503652039325
1739209768.718135;-31.141103565318915
1739209768.7181585;-38.13080360867914
1739209768.7181818;-45.120503652039325
1739209768.7182052;-38.13080360867914
1739209768.7182286;-38.13080360867914
1739209768.718252;-38.13080360867914
1739209768.7182755;-45.120503652039325
1739209768.718299;-38.13080360867914
1739209768.7183223;-45.120503652039325
1739209768.7183456;-38.13080360867914
1739209768.718369;-38.13080360867914
1739209768.7183924;-38.13080360867914
1739209768.718416;-35.57807855764607
1739209768.7184393;-38.13080360867914
1739209768.7184627;-38.13080360867914
1739209768.718486;-45.120503652039325
1739209768.7185094;-38.13080360867914
1739209768.7185328;-38.13080360867914
1739209768.7185564;-38.13080360867914
1739209768.7185798;-38.13080360867914
1739209768.7186031;-38.13080360867914
1739209768.7186265;-45.120503652039325
1739209768.7186499;-38.13080360867914
1739209768.7186732;-38.13080360867914
1739209768.7186966;-33.981070128970906
1739209768.7187202;-33.981070128970906
1739209768.7187436;-45.120503652039325
1739209768.718767;-38.13080360867914
1739209768.7187903;-32.816014438256545
1739209768.7188137;-38.13080360867914
1739209768.718837;-45.120503652039325
1739209768.7188606;-32.816014438256545
1739209768.718884;-35.57807855764607
1739209768.7189074;-31.141103565318943
1739209768.7189307;-38.13080360867914
1739209768.718954;-35.57807855764607
1739209768.7189775;-38.13080360867914
1739209768.719001;-45.120503652039325
1739209768.7190244;-38.13080360867914
1739209768.7190478;-38.13080360867914
1739209768.7190711;-35.57807855764607
1739209768.7190945;-38.13080360867914
1739209768.7191179;-45.120503652039325
1739209768.7191415;-38.13080360867914
1739209768.7191648;-45.120503652039325
1739209768.7191882;-45.120503652039325
1739209768.7192116;-38.13080360867914
1739209768.719235;-35.57807855764607
1739209768.7192583;-38.13080360867914
1739209768.7192817;-45.120503652039325
1739209768.7193053;-38.13080360867914
1739209768.7193286;-35.57807855764607
1739209768.719352;-35.57807855764607
1739209768.7193754;-38.13080360867914
1739209768.7193987;-45.120503652039325
1739209768.719422;-45.120503652039325
1739209768.7194457;-38.13080360867914
1739209768.719469;-38.13080360867914
1739209768.7194924;-35.57807855764607
1739209768.7195158;-45.120503652039325
1739209768.7195392;-45.120503652039325
1739209768.7195625;-38.13080360867914
1739209768.7195861;-35.57807855764607
1739209768.7196095;-45.120503652039325
1739209768.7196329;-38.13080360867914
1739209768.7196562;-38.13080360867914
1739209768.7196796;-45.120503652039325
1739209768.719703;-45.120503652039325
1739209768.7197266;-38.13080360867914
1739209768.71975;-38.13080360867914
1739209768.7197733;-45.120503652039325
1739209768.7197967;-38.13080360867914
1739209768.71982;-38.13080360867914
1739209768.7198434;-38.13080360867914
1739209768.7198668;-45.120503652039325
1739209768.7198904;-45.120503652039325
1739209768.7199137;-45.120503652039325
1739209768.719937;-35.57807855764607
1739209768.7199605;-45.120503652039325
1739209768.7199838;-45.120503652039325
1739209768.7200072;-38.13080360867914
1739209768.7200308;-35.57807855764607
