CAN Message; 0x77:c8ca89be10b90de2
Timestamp;Amplitude
1739209727.5263748;-38.13080360867914
1739209727.5263844;-45.120503652039325
1739209727.5263941;-38.13080360867914
1739209727.5264037;-45.120503652039325
1739209727.5264132;-38.13080360867914
1739209727.5264227;-45.120503652039325
1739209727.5264323;-45.120503652039325
1739209727.526442;-32.816014438256545
1739209727.5264516;-45.120503652039325
1739209727.5264611;-38.13080360867914
1739209727.5264707;-26.991370085610736
1739209727.5264802;-33.981070128970906
1739209727.52649;-45.120503652039325
1739209727.5264995;-38.13080360867914
1739209727.526509;-29.438486411369333
1739209727.5265186;-38.13080360867914
1739209727.5265281;-45.120503652039325
1739209727.526538;-45.120503652039325
1739209727.5265474;-45.120503652039325
1739209727.526557;-45.120503652039325
1739209727.5265665;-45.120503652039325
1739209727.526576;-38.13080360867914
1739209727.5265858;-35.57807855764607
1739209727.5265954;-38.13080360867914
1739209727.526605;-45.120503652039325
1739209727.5266144;-35.57807855764607
1739209727.526624;-29.438486411369333
1739209727.5266337;-38.13080360867914
1739209727.5266433;-45.120503652039325
1739209727.5266528;-45.120503652039325
1739209727.5266623;-38.13080360867914
1739209727.526672;-38.13080360867914
1739209727.5266817;-45.120503652039325
1739209727.5266912;-38.13080360867914
1739209727.5267007;-45.120503652039325
1739209727.5267103;-45.120503652039325
1739209727.5267198;-45.120503652039325
1739209727.5267296;-38.13080360867914
1739209727.5267391;-38.13080360867914
1739209727.5267487;-38.13080360867914
1739209727.5267582;-45.120503652039325
1739209727.5267677;-45.120503652039325
1739209727.5267775;-33.981070128970906
1739209727.526787;-38.13080360867914
1739209727.5267966;-45.120503652039325
1739209727.526806;-38.13080360867914
1739209727.5268157;-38.13080360867914
1739209727.5268254;-45.120503652039325
1739209727.526835;-45.120503652039325
1739209727.5268445;-33.981070128970906
1739209727.526854;-38.13080360867914
1739209727.5268636;-38.13080360867914
1739209727.5268734;-45.120503652039325
1739209727.526883;-38.13080360867914
1739209727.5268924;-35.57807855764607
1739209727.526902;-45.120503652039325
1739209727.5269115;-45.120503652039325
1739209727.526921;-38.13080360867914
1739209727.5269308;-45.120503652039325
1739209727.5269403;-45.120503652039325
1739209727.52695;-38.13080360867914
1739209727.5269594;-38.13080360867914
1739209727.526969;-38.13080360867914
1739209727.5269787;-45.120503652039325
1739209727.5269883;-45.120503652039325
1739209727.5269978;-45.120503652039325
