CAN Message; 0x150:05007ebfc000d44e
Timestamp;Amplitude
1739209899.2575595;-38.13080360867914
1739209899.2575657;-35.57807855764607
1739209899.257572;-38.13080360867914
1739209899.2575781;-45.120503652039325
1739209899.2575843;-38.13080360867914
1739209899.2575905;-32.816014438256545
1739209899.2575967;-38.13080360867914
1739209899.257603;-45.120503652039325
1739209899.2576091;-38.13080360867914
1739209899.2576153;-45.120503652039325
1739209899.2576215;-38.13080360867914
1739209899.2576277;-33.981070128970906
1739209899.257634;-45.120503652039325
1739209899.2576401;-45.120503652039325
1739209899.2576463;-45.120503652039325
1739209899.2576525;-38.13080360867914
1739209899.2576587;-38.13080360867914
1739209899.257665;-38.13080360867914
1739209899.257671;-38.13080360867914
1739209899.2576773;-45.120503652039325
1739209899.2576835;-35.57807855764607
1739209899.2576897;-38.13080360867914
1739209899.257696;-35.57807855764607
1739209899.257702;-45.120503652039325
1739209899.2577083;-38.13080360867914
1739209899.2577145;-38.13080360867914
1739209899.2577207;-38.13080360867914
1739209899.257727;-38.13080360867914
1739209899.257733;-45.120503652039325
1739209899.2577393;-32.816014438256545
1739209899.2577455;-45.120503652039325
1739209899.2577517;-32.816014438256545
1739209899.257758;-38.13080360867914
1739209899.257764;-38.13080360867914
1739209899.2577703;-45.120503652039325
1739209899.2577765;-38.13080360867914
1739209899.2577827;-38.13080360867914
1739209899.257789;-45.120503652039325
1739209899.257795;-38.13080360867914
1739209899.2578013;-45.120503652039325
1739209899.2578075;-45.120503652039325
1739209899.2578137;-45.120503652039325
1739209899.25782;-38.13080360867914
1739209899.257826;-45.120503652039325
1739209899.2578323;-45.120503652039325
1739209899.2578385;-33.981070128970906
1739209899.2578447;-45.120503652039325
1739209899.257851;-38.13080360867914
1739209899.257857;-38.13080360867914
1739209899.2578633;-38.13080360867914
1739209899.2578695;-38.13080360867914
1739209899.2578757;-38.13080360867914
1739209899.2578819;-35.57807855764607
1739209899.257888;-38.13080360867914
1739209899.2578943;-45.120503652039325
1739209899.2579005;-45.120503652039325
1739209899.257907;-45.120503652039325
1739209899.257913;-45.120503652039325
1739209899.2579193;-45.120503652039325
1739209899.2579255;-45.120503652039325
1739209899.2579317;-45.120503652039325
1739209899.257938;-45.120503652039325
1739209899.257944;-45.120503652039325
1739209899.2579503;-38.13080360867914
1739209899.2579565;-33.981070128970906
1739209899.2579627;-45.120503652039325
1739209899.257969;-38.13080360867914
1739209899.257975;-32.816014438256545
1739209899.2579813;-32.816014438256545
1739209899.2579875;-38.13080360867914
1739209899.2579937;-45.120503652039325
1739209899.258;-38.13080360867914
1739209899.258006;-45.120503652039325
1739209899.2580123;-45.120503652039325
1739209899.2580185;-38.13080360867914
1739209899.2580247;-45.120503652039325
1739209899.258031;-45.120503652039325
1739209899.258037;-38.13080360867914
1739209899.2580433;-38.13080360867914
1739209899.2580495;-38.13080360867914
1739209899.2580557;-38.13080360867914
1739209899.258062;-38.13080360867914
1739209899.258068;-38.13080360867914
1739209899.2580743;-33.981070128970906
1739209899.2580805;-38.13080360867914
1739209899.2580867;-45.120503652039325
1739209899.2580929;-38.13080360867914
1739209899.258099;-38.13080360867914
1739209899.2581053;-33.981070128970906
1739209899.2581115;-45.120503652039325
1739209899.2581177;-45.120503652039325
1739209899.2581239;-45.120503652039325
1739209899.25813;-45.120503652039325
1739209899.2581363;-45.120503652039325
1739209899.2581425;-38.13080360867914
1739209899.2581487;-33.981070128970906
1739209899.2581549;-35.57807855764607
1739209899.258161;-45.120503652039325
1739209899.2581673;-45.120503652039325
1739209899.2581735;-45.120503652039325
1739209899.2581797;-45.120503652039325
1739209899.2581859;-45.120503652039325
1739209899.258192;-45.120503652039325
1739209899.2581983;-38.13080360867914
1739209899.2582045;-28.58837851428586
1739209899.2582107;-45.120503652039325
1739209899.2582169;-38.13080360867914
1739209899.258223;-35.57807855764607
1739209899.2582293;-45.120503652039325
1739209899.2582355;-35.57807855764607
1739209899.2582417;-35.57807855764607
1739209899.2582479;-38.13080360867914
1739209899.258254;-30.49652367304973
1739209899.2582603;-45.120503652039325
1739209899.2582664;-45.120503652039325
1739209899.2582726;-45.120503652039325
