CAN Message; 0x150:0000243e4a122fd4
Timestamp;Amplitude
1739209913.1118805;-45.120503652039325
1739209913.1118839;-45.120503652039325
1739209913.1118872;-45.120503652039325
1739209913.1118903;-45.120503652039325
1739209913.1118937;-38.13080360867914
1739209913.111897;-38.13080360867914
1739209913.1119003;-45.120503652039325
1739209913.1119037;-38.13080360867914
1739209913.111907;-35.57807855764607
1739209913.11191;-38.13080360867914
1739209913.1119134;-45.120503652039325
1739209913.1119168;-45.120503652039325
1739209913.11192;-45.120503652039325
1739209913.1119235;-38.13080360867914
1739209913.1119268;-38.13080360867914
1739209913.1119301;-38.13080360867914
1739209913.1119332;-35.57807855764607
1739209913.1119366;-45.120503652039325
1739209913.11194;-45.120503652039325
1739209913.1119432;-35.57807855764607
1739209913.1119466;-38.13080360867914
1739209913.11195;-45.120503652039325
1739209913.1119533;-45.120503652039325
1739209913.1119564;-38.13080360867914
1739209913.1119597;-35.57807855764607
1739209913.111963;-45.120503652039325
1739209913.1119664;-45.120503652039325
1739209913.1119697;-33.981070128970906
1739209913.111973;-38.13080360867914
1739209913.1119761;-38.13080360867914
1739209913.1119795;-33.981070128970906
1739209913.1119828;-45.120503652039325
1739209913.1119862;-38.13080360867914
1739209913.1119895;-33.981070128970906
1739209913.1119928;-33.981070128970906
1739209913.1119962;-33.981070128970906
1739209913.1119993;-45.120503652039325
1739209913.1120026;-38.13080360867914
1739209913.112006;-45.120503652039325
1739209913.1120093;-38.13080360867914
1739209913.1120126;-38.13080360867914
1739209913.112016;-38.13080360867914
1739209913.1120193;-38.13080360867914
1739209913.1120224;-33.981070128970906
1739209913.1120257;-45.120503652039325
1739209913.112029;-38.13080360867914
1739209913.1120324;-35.57807855764607
1739209913.1120358;-38.13080360867914
1739209913.112039;-45.120503652039325
1739209913.1120422;-38.13080360867914
1739209913.1120455;-28.992665084841942
1739209913.1120489;-28.992665084841942
1739209913.1120522;-38.13080360867914
1739209913.1120555;-38.13080360867914
1739209913.1120589;-38.13080360867914
1739209913.1120622;-35.57807855764607
1739209913.1120653;-38.13080360867914
1739209913.1120687;-38.13080360867914
1739209913.112072;-38.13080360867914
1739209913.1120753;-38.13080360867914
1739209913.1120787;-45.120503652039325
1739209913.112082;-45.120503652039325
1739209913.1120853;-45.120503652039325
1739209913.1120884;-45.120503652039325
1739209913.1120918;-45.120503652039325
1739209913.112095;-45.120503652039325
1739209913.1120985;-38.13080360867914
1739209913.1121018;-38.13080360867914
1739209913.1121051;-45.120503652039325
1739209913.1121082;-33.981070128970906
1739209913.1121116;-35.57807855764607
1739209913.112115;-38.13080360867914
1739209913.1121182;-45.120503652039325
1739209913.1121216;-45.120503652039325
1739209913.112125;-45.120503652039325
1739209913.1121283;-38.13080360867914
1739209913.1121314;-38.13080360867914
1739209913.1121347;-45.120503652039325
1739209913.112138;-45.120503652039325
1739209913.1121414;-38.13080360867914
1739209913.1121447;-38.13080360867914
1739209913.112148;-38.13080360867914
1739209913.1121514;-45.120503652039325
1739209913.1121545;-33.981070128970906
1739209913.1121578;-45.120503652039325
1739209913.1121612;-45.120503652039325
1739209913.1121645;-38.13080360867914
1739209913.1121678;-45.120503652039325
1739209913.1121712;-45.120503652039325
1739209913.1121743;-45.120503652039325
1739209913.1121776;-45.120503652039325
1739209913.112181;-32.816014438256545
1739209913.1121843;-45.120503652039325
1739209913.1121876;-33.981070128970906
1739209913.112191;-45.120503652039325
1739209913.1121943;-38.13080360867914
1739209913.1121974;-38.13080360867914
1739209913.1122007;-38.13080360867914
1739209913.112204;-38.13080360867914
1739209913.1122074;-27.267205301931607
1739209913.1122108;-32.816014438256545
1739209913.112214;-45.120503652039325
1739209913.1122174;-45.120503652039325
1739209913.1122205;-38.13080360867914
1739209913.1122239;-38.13080360867914
1739209913.1122272;-33.981070128970906
1739209913.1122305;-45.120503652039325
1739209913.1122339;-32.81601443825658
1739209913.1122372;-38.13080360867914
1739209913.1122403;-33.981070128970906
1739209913.1122437;-45.120503652039325
1739209913.112247;-38.13080360867914
1739209913.1122503;-35.57807855764607
1739209913.1122537;-45.120503652039325
1739209913.112257;-45.120503652039325
1739209913.1122603;-33.981070128970906
1739209913.1122634;-38.13080360867914
1739209913.1122668;-38.13080360867914
1739209913.11227;-38.13080360867914
1739209913.1122735;-45.120503652039325
1739209913.1122768;-45.120503652039325
1739209913.1122801;-45.120503652039325
1739209913.1122835;-38.13080360867914
1739209913.1122866;-38.13080360867914
1739209913.11229;-45.120503652039325
1739209913.1122932;-33.981070128970906
1739209913.1122966;-38.13080360867914
1739209913.1123;-35.57807855764607
1739209913.1123033;-38.13080360867914
1739209913.1123064;-45.120503652039325
1739209913.1123097;-35.57807855764607
1739209913.112313;-45.120503652039325
1739209913.1123164;-45.120503652039325
1739209913.1123197;-38.13080360867914
1739209913.112323;-35.57807855764607
1739209913.1123264;-45.120503652039325
1739209913.1123295;-38.13080360867914
1739209913.1123328;-35.57807855764607
1739209913.1123362;-38.13080360867914
1739209913.1123395;-35.57807855764607
1739209913.1123428;-38.13080360867914
1739209913.1123462;-38.13080360867914
1739209913.1123493;-38.13080360867914
1739209913.1123526;-45.120503652039325
1739209913.112356;-45.120503652039325
1739209913.1123593;-45.120503652039325
1739209913.1123626;-35.57807855764607
1739209913.112366;-45.120503652039325
1739209913.1123693;-45.120503652039325
1739209913.1123724;-38.13080360867914
1739209913.1123757;-38.13080360867914
1739209913.112379;-38.13080360867914
1739209913.1123824;-38.13080360867914
1739209913.1123857;-45.120503652039325
1739209913.112389;-45.120503652039325
1739209913.1123924;-38.13080360867914
1739209913.1123955;-38.13080360867914
1739209913.1123989;-45.120503652039325
1739209913.1124022;-38.13080360867914
1739209913.1124055;-45.120503652039325
1739209913.1124089;-45.120503652039325
1739209913.1124122;-38.13080360867914
1739209913.1124153;-38.13080360867914
1739209913.1124187;-38.13080360867914
1739209913.112422;-45.120503652039325
1739209913.1124253;-38.13080360867914
1739209913.1124287;-45.120503652039325
1739209913.112432;-45.120503652039325
1739209913.1124353;-45.120503652039325
1739209913.1124384;-45.120503652039325
1739209913.1124418;-33.981070128970906
1739209913.112445;-45.120503652039325
1739209913.1124485;-38.13080360867914
1739209913.1124518;-38.13080360867914
1739209913.1124551;-35.57807855764607
1739209913.1124585;-38.13080360867914
1739209913.1124616;-45.120503652039325
1739209913.112465;-35.57807855764607
1739209913.1124682;-45.120503652039325
1739209913.1124716;-38.13080360867914
1739209913.112475;-38.13080360867914
1739209913.1124783;-45.120503652039325
1739209913.1124814;-45.120503652039325
1739209913.1124847;-33.981070128970906
1739209913.112488;-45.120503652039325
1739209913.1124914;-45.120503652039325
1739209913.1124947;-45.120503652039325
1739209913.112498;-45.120503652039325
1739209913.1125014;-33.981070128970906
1739209913.1125045;-35.57807855764607
1739209913.1125078;-35.57807855764607
1739209913.1125112;-38.13080360867914
1739209913.1125145;-38.13080360867914
1739209913.1125178;-32.816014438256545
1739209913.1125212;-35.57807855764607
1739209913.1125245;-38.13080360867914
1739209913.1125276;-45.120503652039325
1739209913.112531;-45.120503652039325
1739209913.1125343;-38.13080360867914
1739209913.1125376;-38.13080360867914
1739209913.112541;-45.120503652039325
1739209913.1125443;-38.13080360867914
1739209913.1125474;-45.120503652039325
1739209913.1125507;-35.57807855764607
1739209913.112554;-45.120503652039325
1739209913.1125574;-45.120503652039325
1739209913.1125607;-38.13080360867914
1739209913.112564;-45.120503652039325
1739209913.1125674;-45.120503652039325
1739209913.1125705;-45.120503652039325
1739209913.1125739;-38.13080360867914
1739209913.1125772;-38.13080360867914
1739209913.1125805;-28.992665084841942
1739209913.1125839;-31.141103565318915
1739209913.1125872;-35.57807855764607
1739209913.1125906;-38.13080360867914
1739209913.1125937;-45.120503652039325
1739209913.112597;-38.13080360867914
1739209913.1126003;-45.120503652039325
1739209913.1126037;-38.13080360867914
1739209913.112607;-35.57807855764607
1739209913.1126103;-38.13080360867914
1739209913.1126134;-45.120503652039325
1739209913.1126168;-45.120503652039325
1739209913.11262;-38.13080360867914
1739209913.1126235;-38.13080360867914
1739209913.1126268;-38.13080360867914
1739209913.1126301;-45.120503652039325
1739209913.1126335;-31.141103565318915
1739209913.1126366;-31.141103565318915
1739209913.11264;-38.13080360867914
1739209913.1126432;-35.57807855764607
1739209913.1126466;-33.981070128970906
1739209913.11265;-38.13080360867914
1739209913.1126533;-45.120503652039325
1739209913.1126566;-38.13080360867914
1739209913.1126597;-38.13080360867914
1739209913.112663;-38.13080360867914
1739209913.1126664;-38.13080360867914
1739209913.1126697;-45.120503652039325
