CAN Message; 0x98:0000428aaeae75b8
Timestamp;Amplitude
1739209872.777703;-35.57807855764607
1739209872.7777143;-38.13080360867914
1739209872.7777255;-45.120503652039325
1739209872.7777367;-45.120503652039325
1739209872.7777479;-38.13080360867914
1739209872.777759;-45.120503652039325
1739209872.7777703;-32.816014438256545
1739209872.7777815;-35.57807855764607
1739209872.7777927;-38.13080360867914
1739209872.777804;-35.57807855764607
1739209872.777815;-38.13080360867914
1739209872.7778263;-45.120503652039325
1739209872.7778375;-38.13080360867914
1739209872.7778487;-38.13080360867914
1739209872.77786;-38.13080360867914
1739209872.7778711;-38.13080360867914
1739209872.7778823;-45.120503652039325
1739209872.7778935;-38.13080360867914
1739209872.7779047;-45.120503652039325
1739209872.777916;-38.13080360867914
1739209872.7779272;-38.13080360867914
1739209872.7779384;-38.13080360867914
1739209872.7779496;-32.816014438256545
1739209872.7779608;-45.120503652039325
1739209872.7779722;-45.120503652039325
1739209872.7779834;-38.13080360867914
1739209872.7779946;-33.981070128970906
1739209872.7780058;-38.13080360867914
1739209872.778017;-38.13080360867914
1739209872.7780282;-33.981070128970906
1739209872.7780395;-45.120503652039325
1739209872.7780507;-45.120503652039325
1739209872.7780619;-45.120503652039325
1739209872.778073;-38.13080360867914
1739209872.7780843;-31.141103565318915
1739209872.7780955;-38.13080360867914
1739209872.7781067;-45.120503652039325
1739209872.778118;-38.13080360867914
1739209872.778129;-38.13080360867914
1739209872.7781403;-38.13080360867914
1739209872.7781515;-38.13080360867914
1739209872.7781627;-38.13080360867914
1739209872.778174;-38.13080360867914
1739209872.7781851;-38.13080360867914
1739209872.7781963;-45.120503652039325
1739209872.7782075;-33.981070128970906
1739209872.7782187;-38.13080360867914
1739209872.77823;-38.13080360867914
1739209872.7782412;-45.120503652039325
1739209872.7782524;-45.120503652039325
1739209872.7782636;-33.981070128970906
1739209872.7782748;-38.13080360867914
1739209872.778286;-45.120503652039325
1739209872.7782972;-45.120503652039325
1739209872.7783084;-35.57807855764607
1739209872.7783196;-35.57807855764607
1739209872.7783308;-38.13080360867914
1739209872.778342;-33.981070128970906
1739209872.7783532;-27.267205301931607
1739209872.7783644;-45.120503652039325
