CAN Message; 0x98:0000f98da20c4ff2
Timestamp;Amplitude
1739209686.336768;-38.13080360867914
1739209686.3367765;-35.57807855764607
1739209686.3367853;-45.120503652039325
1739209686.336794;-45.120503652039325
1739209686.3368027;-38.13080360867914
1739209686.3368113;-35.57807855764607
1739209686.3368201;-38.13080360867914
1739209686.3368287;-45.120503652039325
1739209686.3368375;-33.981070128970906
1739209686.336846;-45.120503652039325
1739209686.336855;-33.981070128970906
1739209686.3368635;-35.57807855764607
1739209686.3368723;-45.120503652039325
1739209686.336881;-45.120503652039325
1739209686.3368897;-45.120503652039325
1739209686.3368983;-45.120503652039325
1739209686.3369071;-45.120503652039325
1739209686.3369157;-35.57807855764607
1739209686.3369246;-38.13080360867914
1739209686.3369331;-45.120503652039325
1739209686.336942;-32.816014438256545
1739209686.3369505;-38.13080360867914
1739209686.3369594;-45.120503652039325
1739209686.336968;-45.120503652039325
1739209686.3369768;-35.57807855764607
1739209686.3369853;-45.120503652039325
1739209686.3369942;-38.13080360867914
1739209686.3370028;-32.816014438256545
1739209686.3370116;-38.13080360867914
1739209686.3370202;-35.57807855764607
1739209686.337029;-45.120503652039325
1739209686.3370376;-38.13080360867914
1739209686.3370464;-33.981070128970906
1739209686.3370552;-45.120503652039325
1739209686.3370638;-45.120503652039325
1739209686.3370726;-45.120503652039325
1739209686.3370812;-38.13080360867914
1739209686.33709;-45.120503652039325
1739209686.3370986;-45.120503652039325
1739209686.3371074;-45.120503652039325
1739209686.337116;-38.13080360867914
1739209686.3371248;-33.981070128970906
1739209686.3371334;-45.120503652039325
1739209686.3371422;-32.816014438256545
1739209686.3371508;-38.13080360867914
1739209686.3371596;-38.13080360867914
1739209686.3371682;-45.120503652039325
1739209686.337177;-38.13080360867914
1739209686.3371856;-35.57807855764607
1739209686.3371944;-38.13080360867914
1739209686.337203;-45.120503652039325
1739209686.3372118;-45.120503652039325
1739209686.3372204;-45.120503652039325
1739209686.3372293;-38.13080360867914
1739209686.3372378;-38.13080360867914
1739209686.3372467;-38.13080360867914
1739209686.3372552;-38.13080360867914
1739209686.337264;-45.120503652039325
1739209686.3372726;-45.120503652039325
1739209686.3372815;-33.981070128970906
1739209686.33729;-45.120503652039325
1739209686.3372989;-31.141103565318915
1739209686.3373075;-45.120503652039325
1739209686.3373163;-38.13080360867914
1739209686.337325;-38.13080360867914
1739209686.3373337;-45.120503652039325
1739209686.3373425;-45.120503652039325
1739209686.337351;-45.120503652039325
1739209686.33736;-38.13080360867914
1739209686.3373685;-38.13080360867914
1739209686.3373773;-45.120503652039325
1739209686.337386;-45.120503652039325
1739209686.3373947;-38.13080360867914
1739209686.3374033;-35.57807855764607
1739209686.337412;-45.120503652039325
1739209686.3374207;-38.13080360867914
1739209686.3374295;-38.13080360867914
1739209686.337438;-45.120503652039325
1739209686.337447;-45.120503652039325
1739209686.3374555;-38.13080360867914
1739209686.3374643;-45.120503652039325
1739209686.337473;-38.13080360867914
1739209686.3374817;-45.120503652039325
1739209686.3374903;-38.13080360867914
1739209686.3374991;-45.120503652039325
1739209686.3375077;-45.120503652039325
1739209686.3375165;-38.13080360867914
1739209686.3375251;-45.120503652039325
1739209686.337534;-45.120503652039325
1739209686.3375425;-38.13080360867914
1739209686.3375514;-45.120503652039325
1739209686.33756;-45.120503652039325
1739209686.3375688;-33.981070128970906
1739209686.3375773;-38.13080360867914
1739209686.3375862;-38.13080360867914
1739209686.337595;-35.57807855764607
1739209686.3376036;-38.13080360867914
1739209686.3376124;-45.120503652039325
1739209686.337621;-45.120503652039325
1739209686.3376298;-33.981070128970906
1739209686.3376384;-38.13080360867914
1739209686.3376472;-45.120503652039325
1739209686.3376558;-38.13080360867914
1739209686.3376646;-45.120503652039325
1739209686.3376732;-38.13080360867914
1739209686.337682;-38.13080360867914
1739209686.3376906;-45.120503652039325
1739209686.3376994;-38.13080360867914
1739209686.337708;-33.981070128970906
1739209686.3377168;-45.120503652039325
1739209686.3377254;-45.120503652039325
1739209686.3377342;-38.13080360867914
1739209686.3377428;-38.13080360867914
1739209686.3377516;-33.981070128970906
1739209686.3377602;-45.120503652039325
1739209686.337769;-45.120503652039325
1739209686.3377776;-33.981070128970906
1739209686.3377864;-38.13080360867914
1739209686.337795;-45.120503652039325
1739209686.3378038;-45.120503652039325
1739209686.3378124;-45.120503652039325
1739209686.3378212;-45.120503652039325
1739209686.3378298;-45.120503652039325
1739209686.3378386;-38.13080360867914
1739209686.3378472;-31.141103565318915
1739209686.337856;-45.120503652039325
1739209686.3378646;-45.120503652039325
1739209686.3378735;-38.13080360867914
1739209686.3378823;-38.13080360867914
1739209686.3378909;-45.120503652039325
1739209686.3378997;-45.120503652039325
1739209686.3379083;-45.120503652039325
1739209686.337917;-38.13080360867914
1739209686.3379257;-38.13080360867914
1739209686.3379345;-38.13080360867914
1739209686.337943;-45.120503652039325
1739209686.337952;-45.120503652039325
1739209686.3379605;-38.13080360867914
1739209686.3379693;-45.120503652039325
1739209686.337978;-38.13080360867914
1739209686.3379867;-31.141103565318915
1739209686.3379953;-32.816014438256545
1739209686.338004;-38.13080360867914
1739209686.3380127;-45.120503652039325
1739209686.3380215;-35.57807855764607
1739209686.33803;-35.57807855764607
1739209686.338039;-45.120503652039325
1739209686.3380475;-45.120503652039325
1739209686.3380563;-38.13080360867914
1739209686.338065;-38.13080360867914
1739209686.3380737;-38.13080360867914
1739209686.3380823;-35.57807855764607
