CAN Message; 0x39:040089c34fbc3827
Timestamp;Amplitude
1739209819.3579276;-35.57807855764607
1739209819.3579366;-45.120503652039325
1739209819.3579454;-45.120503652039325
1739209819.3579543;-45.120503652039325
1739209819.357963;-45.120503652039325
1739209819.3579721;-38.13080360867914
1739209819.357981;-35.57807855764607
1739209819.3579898;-45.120503652039325
1739209819.3579986;-38.13080360867914
1739209819.3580077;-45.120503652039325
1739209819.3580165;-45.120503652039325
1739209819.3580253;-33.981070128970906
1739209819.3580341;-38.13080360867914
1739209819.3580432;-33.981070128970906
1739209819.358052;-27.267205301931607
1739209819.3580608;-38.13080360867914
1739209819.35807;-38.13080360867914
1739209819.3580787;-38.13080360867914
1739209819.3580875;-35.57807855764607
1739209819.3580964;-45.120503652039325
1739209819.3581054;-38.13080360867914
1739209819.3581142;-45.120503652039325
1739209819.358123;-32.816014438256545
1739209819.358132;-38.13080360867914
1739209819.358141;-38.13080360867914
1739209819.3581498;-45.120503652039325
1739209819.3581586;-45.120503652039325
1739209819.3581676;-45.120503652039325
1739209819.3581765;-45.120503652039325
1739209819.3581853;-45.120503652039325
1739209819.358194;-38.13080360867914
1739209819.3582032;-38.13080360867914
1739209819.358212;-35.57807855764607
1739209819.3582208;-38.13080360867914
1739209819.3582296;-38.13080360867914
1739209819.3582387;-33.981070128970906
1739209819.3582475;-45.120503652039325
1739209819.3582563;-38.13080360867914
1739209819.3582652;-35.57807855764607
1739209819.3582742;-38.13080360867914
1739209819.358283;-33.981070128970906
1739209819.3582919;-45.120503652039325
1739209819.358301;-33.981070128970906
1739209819.3583097;-45.120503652039325
1739209819.3583186;-38.13080360867914
1739209819.3583274;-38.13080360867914
1739209819.3583364;-38.13080360867914
1739209819.3583453;-45.120503652039325
1739209819.358354;-45.120503652039325
1739209819.358363;-35.57807855764607
1739209819.358372;-38.13080360867914
1739209819.3583808;-38.13080360867914
1739209819.3583896;-35.57807855764607
1739209819.3583987;-45.120503652039325
1739209819.3584075;-38.13080360867914
1739209819.3584163;-35.57807855764607
1739209819.3584251;-38.13080360867914
1739209819.3584342;-45.120503652039325
1739209819.358443;-38.13080360867914
1739209819.3584518;-31.141103565318893
1739209819.3584607;-38.13080360867914
1739209819.3584697;-38.13080360867914
1739209819.3584785;-33.981070128970906
1739209819.3584874;-45.120503652039325
1739209819.3584962;-45.120503652039325
1739209819.3585052;-45.120503652039325
1739209819.358514;-45.120503652039325
1739209819.358523;-45.120503652039325
1739209819.358532;-38.13080360867914
1739209819.3585408;-45.120503652039325
1739209819.3585496;-45.120503652039325
1739209819.3585584;-45.120503652039325
1739209819.3585675;-45.120503652039325
1739209819.3585763;-45.120503652039325
1739209819.3585851;-38.13080360867914
1739209819.358594;-38.13080360867914
1739209819.358603;-38.13080360867914
1739209819.3586118;-45.120503652039325
1739209819.3586206;-35.57807855764607
1739209819.3586295;-32.816014438256545
1739209819.3586385;-45.120503652039325
1739209819.3586473;-45.120503652039325
1739209819.3586562;-45.120503652039325
1739209819.3586652;-32.816014438256545
1739209819.358674;-45.120503652039325
1739209819.3586829;-45.120503652039325
1739209819.3586917;-38.13080360867914
1739209819.3587008;-45.120503652039325
1739209819.3587096;-35.57807855764607
1739209819.3587184;-35.57807855764607
1739209819.3587272;-35.57807855764607
1739209819.3587363;-45.120503652039325
1739209819.358745;-45.120503652039325
1739209819.358754;-45.120503652039325
1739209819.358763;-45.120503652039325
1739209819.3587718;-31.141103565318893
1739209819.3587806;-38.13080360867914
1739209819.3587894;-45.120503652039325
1739209819.3587985;-45.120503652039325
1739209819.3588073;-33.981070128970906
1739209819.3588161;-38.13080360867914
1739209819.358825;-45.120503652039325
1739209819.358834;-38.13080360867914
1739209819.3588428;-45.120503652039325
1739209819.3588517;-38.13080360867914
1739209819.3588605;-45.120503652039325
1739209819.3588696;-35.57807855764607
1739209819.3588784;-45.120503652039325
1739209819.3588872;-45.120503652039325
1739209819.3588963;-45.120503652039325
1739209819.358905;-45.120503652039325
1739209819.358914;-38.13080360867914
1739209819.3589227;-35.57807855764607
1739209819.3589318;-38.13080360867914
1739209819.3589406;-35.57807855764607
1739209819.3589494;-45.120503652039325
1739209819.3589582;-45.120503652039325
1739209819.3589673;-33.981070128970906
1739209819.3589761;-45.120503652039325
1739209819.358985;-38.13080360867914
1739209819.3589938;-35.57807855764607
1739209819.3590028;-35.57807855764607
1739209819.3590117;-38.13080360867914
1739209819.3590205;-45.120503652039325
1739209819.3590295;-38.13080360867914
1739209819.3590384;-32.816014438256545
1739209819.3590472;-33.981070128970906
1739209819.359056;-45.120503652039325
1739209819.359065;-45.120503652039325
1739209819.3590739;-38.13080360867914
1739209819.3590827;-38.13080360867914
1739209819.3590915;-45.120503652039325
1739209819.3591006;-45.120503652039325
1739209819.3591094;-35.57807855764607
1739209819.3591182;-45.120503652039325
