CAN Message; 0x39:028fcf7060fd162e
Timestamp;Amplitude
1739209869.133555;-33.981070128970906
1739209869.1335626;-45.120503652039325
1739209869.1335704;-35.57807855764607
1739209869.133578;-45.120503652039325
1739209869.133586;-38.13080360867914
1739209869.1335938;-38.13080360867914
1739209869.1336014;-45.120503652039325
1739209869.1336093;-45.120503652039325
1739209869.133617;-33.981070128970906
1739209869.1336248;-32.816014438256545
1739209869.1336324;-45.120503652039325
1739209869.1336403;-45.120503652039325
1739209869.1336482;-45.120503652039325
1739209869.1336558;-45.120503652039325
1739209869.1336637;-45.120503652039325
1739209869.1336713;-38.13080360867914
1739209869.1336792;-45.120503652039325
1739209869.133687;-38.13080360867914
1739209869.1336946;-33.981070128970906
1739209869.1337025;-35.57807855764607
1739209869.1337101;-38.13080360867914
1739209869.133718;-31.141103565318893
1739209869.133726;-33.981070128970906
1739209869.1337335;-45.120503652039325
1739209869.1337414;-38.13080360867914
1739209869.133749;-38.13080360867914
1739209869.1337569;-35.57807855764607
1739209869.1337647;-38.13080360867914
1739209869.1337724;-38.13080360867914
1739209869.1337802;-32.816014438256545
1739209869.1337879;-38.13080360867914
1739209869.1337957;-45.120503652039325
1739209869.1338034;-38.13080360867914
1739209869.1338112;-30.49652367304973
1739209869.133819;-33.981070128970906
1739209869.1338267;-45.120503652039325
1739209869.1338346;-38.13080360867914
1739209869.1338422;-45.120503652039325
1739209869.13385;-33.981070128970906
1739209869.133858;-38.13080360867914
1739209869.1338656;-45.120503652039325
1739209869.1338735;-45.120503652039325
1739209869.133881;-38.13080360867914
1739209869.133889;-35.57807855764607
1739209869.1338968;-38.13080360867914
1739209869.1339045;-45.120503652039325
1739209869.1339123;-32.816014438256545
1739209869.13392;-38.13080360867914
1739209869.1339278;-45.120503652039325
1739209869.1339355;-38.13080360867914
1739209869.1339433;-38.13080360867914
1739209869.1339512;-45.120503652039325
1739209869.1339588;-45.120503652039325
1739209869.1339667;-45.120503652039325
1739209869.1339743;-45.120503652039325
1739209869.1339822;-45.120503652039325
1739209869.13399;-45.120503652039325
1739209869.1339977;-45.120503652039325
1739209869.1340055;-45.120503652039325
1739209869.1340132;-35.57807855764607
1739209869.134021;-45.120503652039325
1739209869.134029;-45.120503652039325
1739209869.1340365;-33.981070128970906
1739209869.1340444;-38.13080360867914
1739209869.134052;-38.13080360867914
1739209869.13406;-45.120503652039325
1739209869.1340678;-38.13080360867914
1739209869.1340754;-31.141103565318893
1739209869.1340833;-38.13080360867914
1739209869.134091;-38.13080360867914
1739209869.1340988;-38.13080360867914
1739209869.1341064;-45.120503652039325
1739209869.1341143;-45.120503652039325
1739209869.1341221;-45.120503652039325
1739209869.1341298;-45.120503652039325
1739209869.1341376;-45.120503652039325
1739209869.1341453;-33.981070128970906
1739209869.1341531;-38.13080360867914
1739209869.134161;-38.13080360867914
1739209869.1341686;-45.120503652039325
1739209869.1341765;-38.13080360867914
1739209869.1341841;-38.13080360867914
