CAN Message; 0x1d3:0000b790ac02d33a
Timestamp;Amplitude
1739209833.3513813;-38.13080360867914
1739209833.3513904;-38.13080360867914
1739209833.3513994;-38.13080360867914
1739209833.3514085;-38.13080360867914
1739209833.3514175;-38.13080360867914
1739209833.3514266;-45.120503652039325
1739209833.3514357;-38.13080360867914
1739209833.351445;-38.13080360867914
1739209833.351454;-33.981070128970906
1739209833.351463;-45.120503652039325
1739209833.3514721;-45.120503652039325
1739209833.3514812;-45.120503652039325
1739209833.3514903;-38.13080360867914
1739209833.3514993;-45.120503652039325
1739209833.3515084;-33.981070128970956
1739209833.3515177;-38.13080360867914
1739209833.3515267;-38.13080360867914
1739209833.3515358;-45.120503652039325
1739209833.3515449;-38.13080360867914
1739209833.351554;-38.13080360867914
1739209833.351563;-45.120503652039325
1739209833.351572;-30.49652367304973
1739209833.3515813;-28.992665084841942
1739209833.3515904;-45.120503652039325
1739209833.3515995;-45.120503652039325
1739209833.3516085;-45.120503652039325
1739209833.3516176;-45.120503652039325
1739209833.3516266;-45.120503652039325
1739209833.3516357;-38.13080360867914
1739209833.3516448;-45.120503652039325
1739209833.351654;-38.13080360867914
1739209833.351663;-45.120503652039325
1739209833.3516722;-38.13080360867914
1739209833.3516812;-38.13080360867914
1739209833.3516903;-45.120503652039325
1739209833.3516994;-38.13080360867914
1739209833.3517084;-45.120503652039325
1739209833.3517177;-30.49652367304973
1739209833.3517268;-27.267205301931607
1739209833.3517358;-45.120503652039325
1739209833.351745;-38.13080360867914
1739209833.351754;-38.13080360867914
1739209833.351763;-33.981070128970906
1739209833.351772;-45.120503652039325
1739209833.3517811;-38.13080360867914
1739209833.3517904;-38.13080360867914
1739209833.3517995;-38.13080360867914
1739209833.3518085;-35.57807855764607
1739209833.3518176;-38.13080360867914
1739209833.3518267;-45.120503652039325
1739209833.3518357;-38.13080360867914
1739209833.3518448;-38.13080360867914
1739209833.351854;-38.13080360867914
1739209833.3518631;-45.120503652039325
1739209833.3518722;-35.57807855764607
1739209833.3518813;-38.13080360867914
1739209833.3518903;-45.120503652039325
1739209833.3518994;-45.120503652039325
1739209833.3519084;-38.13080360867914
1739209833.3519177;-38.13080360867914
1739209833.3519268;-45.120503652039325
1739209833.3519359;-38.13080360867914
1739209833.351945;-27.267205301931607
1739209833.351954;-38.13080360867914
1739209833.351963;-38.13080360867914
1739209833.351972;-45.120503652039325
1739209833.3519812;-38.13080360867914
1739209833.3519905;-35.57807855764607
1739209833.3519995;-38.13080360867914
1739209833.3520086;-45.120503652039325
1739209833.3520176;-29.438486411369347
1739209833.3520267;-45.120503652039325
1739209833.3520358;-45.120503652039325
1739209833.3520448;-38.13080360867914
1739209833.352054;-45.120503652039325
1739209833.3520632;-32.816014438256545
1739209833.3520722;-38.13080360867914
1739209833.3520813;-45.120503652039325
1739209833.3520904;-31.141103565318915
1739209833.3520994;-38.13080360867914
1739209833.3521085;-35.57807855764607
1739209833.3521175;-45.120503652039325
1739209833.3521268;-45.120503652039325
1739209833.352136;-32.816014438256545
1739209833.352145;-33.981070128970906
1739209833.352154;-38.13080360867914
1739209833.352163;-33.981070128970906
1739209833.3521721;-35.57807855764607
1739209833.3521812;-38.13080360867914
1739209833.3521905;-38.13080360867914
1739209833.3521996;-45.120503652039325
1739209833.3522086;-38.13080360867914
1739209833.3522177;-45.120503652039325
1739209833.3522267;-45.120503652039325
1739209833.3522358;-45.120503652039325
1739209833.3522449;-45.120503652039325
1739209833.3522542;-38.13080360867914
1739209833.3522632;-32.816014438256545
1739209833.3522723;-38.13080360867914
1739209833.3522813;-45.120503652039325
1739209833.3522904;-45.120503652039325
1739209833.3522995;-38.13080360867914
1739209833.3523085;-38.13080360867914
1739209833.3523176;-38.13080360867914
1739209833.3523269;-38.13080360867914
1739209833.352336;-35.57807855764607
1739209833.352345;-31.141103565318915
1739209833.352354;-35.57807855764607
1739209833.352363;-45.120503652039325
1739209833.3523722;-45.120503652039325
1739209833.3523812;-38.13080360867914
1739209833.3523905;-45.120503652039325
1739209833.3523996;-45.120503652039325
1739209833.3524086;-38.13080360867914
1739209833.3524177;-35.57807855764607
1739209833.3524268;-45.120503652039325
1739209833.3524358;-35.57807855764607
1739209833.352445;-38.13080360867914
1739209833.352454;-45.120503652039325
1739209833.3524632;-38.13080360867914
1739209833.3524723;-33.981070128970906
1739209833.3524814;-45.120503652039325
1739209833.3524904;-38.13080360867914
1739209833.3524995;-35.57807855764607
1739209833.3525085;-45.120503652039325
1739209833.3525176;-45.120503652039325
1739209833.352527;-38.13080360867914
1739209833.352536;-32.816014438256545
1739209833.352545;-38.13080360867914
1739209833.352554;-45.120503652039325
1739209833.3525631;-38.13080360867914
1739209833.3525722;-38.13080360867914
1739209833.3525813;-38.13080360867914
1739209833.3525903;-45.120503652039325
1739209833.3525996;-38.13080360867914
1739209833.3526087;-33.981070128970906
1739209833.3526177;-45.120503652039325
1739209833.3526268;-45.120503652039325
1739209833.3526359;-38.13080360867914
1739209833.352645;-38.13080360867914
1739209833.352654;-38.13080360867914
1739209833.3526633;-45.120503652039325
1739209833.3526723;-38.13080360867914
1739209833.3526814;-31.141103565318893
1739209833.3526905;-38.13080360867914
1739209833.3526995;-45.120503652039325
1739209833.3527086;-45.120503652039325
1739209833.3527176;-32.816014438256545
1739209833.352727;-35.57807855764607
1739209833.352736;-45.120503652039325
1739209833.352745;-38.13080360867914
1739209833.352754;-45.120503652039325
1739209833.3527632;-45.120503652039325
1739209833.3527722;-38.13080360867914
1739209833.3527813;-38.13080360867914
1739209833.3527904;-45.120503652039325
1739209833.3527997;-45.120503652039325
1739209833.3528087;-38.13080360867914
1739209833.3528178;-45.120503652039325
1739209833.3528268;-32.816014438256545
1739209833.352836;-45.120503652039325
1739209833.352845;-45.120503652039325
1739209833.352854;-38.13080360867914
1739209833.3528633;-45.120503652039325
1739209833.3528724;-45.120503652039325
1739209833.3528814;-45.120503652039325
1739209833.3528905;-45.120503652039325
1739209833.3528996;-45.120503652039325
1739209833.3529086;-45.120503652039325
1739209833.3529177;-38.13080360867914
1739209833.3529267;-33.981070128970906
1739209833.352936;-45.120503652039325
1739209833.352945;-45.120503652039325
1739209833.3529541;-38.13080360867914
1739209833.3529632;-38.13080360867914
1739209833.3529723;-45.120503652039325
1739209833.3529813;-38.13080360867914
1739209833.3529904;-35.57807855764607
1739209833.3529997;-38.13080360867914
1739209833.3530087;-32.816014438256545
1739209833.3530178;-38.13080360867914
1739209833.3530269;-38.13080360867914
1739209833.353036;-38.13080360867914
1739209833.353045;-38.13080360867914
1739209833.353054;-35.57807855764607
1739209833.353063;-45.120503652039325
1739209833.3530724;-33.981070128970906
1739209833.3530815;-45.120503652039325
1739209833.3530905;-38.13080360867914
1739209833.3530996;-45.120503652039325
1739209833.3531086;-33.981070128970906
1739209833.3531177;-38.13080360867914
1739209833.3531268;-45.120503652039325
1739209833.353136;-45.120503652039325
1739209833.3531451;-45.120503652039325
1739209833.3531542;-35.57807855764607
1739209833.3531632;-45.120503652039325
1739209833.3531723;-38.13080360867914
1739209833.3531814;-45.120503652039325
1739209833.3531904;-32.816014438256545
1739209833.3531997;-30.49652367304973
1739209833.3532088;-38.13080360867914
1739209833.3532178;-38.13080360867914
1739209833.353227;-35.57807855764607
1739209833.353236;-35.57807855764607
1739209833.353245;-45.120503652039325
1739209833.353254;-35.57807855764607
1739209833.3532631;-38.13080360867914
1739209833.3532724;-45.120503652039325
1739209833.3532815;-38.13080360867914
1739209833.3532906;-38.13080360867914
1739209833.3532996;-32.816014438256545
1739209833.3533087;-33.981070128970906
1739209833.3533177;-45.120503652039325
1739209833.3533268;-38.13080360867914
1739209833.353336;-38.13080360867914
1739209833.3533452;-45.120503652039325
1739209833.3533542;-45.120503652039325
1739209833.3533633;-38.13080360867914
1739209833.3533723;-38.13080360867914
1739209833.3533814;-38.13080360867914
1739209833.3533905;-38.13080360867914
1739209833.3533995;-38.13080360867914
1739209833.3534088;-32.816014438256545
1739209833.3534179;-31.141103565318915
1739209833.353427;-45.120503652039325
1739209833.353436;-38.13080360867914
1739209833.353445;-32.816014438256545
1739209833.353454;-32.816014438256545
1739209833.3534632;-38.13080360867914
1739209833.3534725;-38.13080360867914
1739209833.3534815;-33.981070128970906
1739209833.3534906;-35.57807855764607
1739209833.3534997;-45.120503652039325
1739209833.3535087;-45.120503652039325
1739209833.3535178;-45.120503652039325
1739209833.3535268;-45.120503652039325
1739209833.3535361;-38.13080360867914
1739209833.3535452;-38.13080360867914
1739209833.3535542;-32.816014438256545
1739209833.3535633;-27.267205301931607
1739209833.3535724;-32.816014438256545
1739209833.3535814;-45.120503652039325
1739209833.3535905;-38.13080360867914
1739209833.3535995;-32.816014438256545
1739209833.3536088;-38.13080360867914
1739209833.353618;-38.13080360867914
1739209833.353627;-45.120503652039325
1739209833.353636;-32.816014438256545
1739209833.353645;-38.13080360867914
1739209833.3536541;-38.13080360867914
1739209833.3536632;-45.120503652039325
1739209833.3536725;-45.120503652039325
1739209833.3536816;-45.120503652039325
1739209833.3536906;-45.120503652039325
1739209833.3536997;-38.13080360867914
1739209833.3537087;-45.120503652039325
1739209833.3537178;-35.57807855764607
1739209833.3537269;-38.13080360867914
1739209833.353736;-45.120503652039325
1739209833.3537452;-38.13080360867914
1739209833.3537543;-35.57807855764607
1739209833.3537633;-38.13080360867914
1739209833.3537724;-38.13080360867914
1739209833.3537815;-45.120503652039325
1739209833.3537905;-35.57807855764607
1739209833.3537996;-35.57807855764607
1739209833.3538089;-38.13080360867914
1739209833.353818;-33.981070128970906
1739209833.353827;-38.13080360867914
1739209833.353836;-45.120503652039325
1739209833.3538451;-38.13080360867914
1739209833.3538542;-38.13080360867914
1739209833.3538632;-45.120503652039325
1739209833.3538723;-38.13080360867914
1739209833.3538816;-30.49652367304973
1739209833.3538907;-45.120503652039325
1739209833.3538997;-45.120503652039325
1739209833.3539088;-38.13080360867914
1739209833.3539178;-45.120503652039325
1739209833.353927;-33.981070128970906
1739209833.353936;-45.120503652039325
1739209833.3539453;-45.120503652039325
1739209833.3539543;-45.120503652039325
1739209833.3539634;-45.120503652039325
1739209833.3539724;-45.120503652039325
