CAN Message; 0x1d3:00005061880c5903
Timestamp;Amplitude
1739209721.4376242;-45.120503652039325
1739209721.4376264;-33.981070128970906
1739209721.4376285;-35.57807855764607
1739209721.4376307;-38.13080360867914
1739209721.4376328;-35.57807855764607
1739209721.437635;-33.981070128970906
1739209721.437637;-45.120503652039325
1739209721.4376392;-38.13080360867914
1739209721.4376414;-38.13080360867914
1739209721.4376435;-45.120503652039325
1739209721.4376457;-45.120503652039325
1739209721.4376478;-38.13080360867914
1739209721.43765;-35.57807855764607
1739209721.437652;-38.13080360867914
1739209721.4376543;-38.13080360867914
1739209721.4376564;-38.13080360867914
1739209721.4376585;-38.13080360867914
1739209721.4376607;-38.13080360867914
1739209721.4376628;-35.57807855764607
1739209721.437665;-45.120503652039325
1739209721.4376671;-35.57807855764607
1739209721.4376693;-38.13080360867914
1739209721.4376714;-45.120503652039325
1739209721.4376736;-38.13080360867914
1739209721.4376757;-38.13080360867914
1739209721.4376779;-45.120503652039325
1739209721.43768;-45.120503652039325
1739209721.4376822;-38.13080360867914
1739209721.4376843;-38.13080360867914
1739209721.4376864;-38.13080360867914
1739209721.4376886;-38.13080360867914
1739209721.4376907;-38.13080360867914
1739209721.4376929;-35.57807855764607
1739209721.437695;-38.13080360867914
1739209721.4376972;-38.13080360867914
1739209721.4376993;-38.13080360867914
1739209721.4377015;-45.120503652039325
1739209721.4377036;-31.141103565318915
1739209721.4377058;-28.992665084841942
1739209721.437708;-45.120503652039325
1739209721.43771;-38.13080360867914
1739209721.4377122;-35.57807855764607
1739209721.4377143;-35.57807855764607
1739209721.4377165;-35.57807855764607
1739209721.4377186;-38.13080360867914
1739209721.4377208;-45.120503652039325
1739209721.437723;-45.120503652039325
1739209721.437725;-45.120503652039325
1739209721.4377272;-45.120503652039325
1739209721.4377294;-45.120503652039325
1739209721.4377315;-45.120503652039325
1739209721.4377337;-45.120503652039325
1739209721.4377358;-38.13080360867914
1739209721.437738;-38.13080360867914
1739209721.43774;-45.120503652039325
1739209721.4377422;-45.120503652039325
1739209721.4377441;-45.120503652039325
1739209721.4377463;-45.120503652039325
1739209721.4377484;-38.13080360867914
1739209721.4377506;-35.57807855764607
1739209721.4377527;-45.120503652039325
1739209721.4377549;-32.816014438256545
1739209721.437757;-28.58837851428586
1739209721.4377592;-38.13080360867914
1739209721.4377613;-45.120503652039325
1739209721.4377635;-38.13080360867914
1739209721.4377656;-38.13080360867914
1739209721.4377677;-45.120503652039325
1739209721.43777;-45.120503652039325
1739209721.437772;-45.120503652039325
1739209721.4377742;-38.13080360867914
1739209721.4377763;-38.13080360867914
1739209721.4377785;-38.13080360867914
1739209721.4377806;-33.981070128970906
1739209721.4377828;-35.57807855764607
1739209721.437785;-45.120503652039325
1739209721.437787;-45.120503652039325
1739209721.4377892;-45.120503652039325
1739209721.4377913;-45.120503652039325
1739209721.4377935;-38.13080360867914
1739209721.4377956;-35.57807855764607
1739209721.4377978;-38.13080360867914
1739209721.4378;-38.13080360867914
1739209721.437802;-35.57807855764607
1739209721.4378042;-33.981070128970906
1739209721.4378064;-38.13080360867914
1739209721.4378085;-35.57807855764607
1739209721.4378107;-38.13080360867914
1739209721.4378128;-45.120503652039325
1739209721.437815;-38.13080360867914
1739209721.437817;-38.13080360867914
1739209721.4378192;-45.120503652039325
1739209721.4378214;-38.13080360867914
1739209721.4378235;-45.120503652039325
1739209721.4378257;-45.120503652039325
1739209721.4378278;-38.13080360867914
1739209721.43783;-38.13080360867914
1739209721.437832;-45.120503652039325
1739209721.4378343;-38.13080360867914
