CAN Message; 0x1b8:03004e737b7c8104
Timestamp;Amplitude
1739209693.5040977;-45.120503652039325
1739209693.5041037;-45.120503652039325
1739209693.5041094;-45.120503652039325
1739209693.504115;-45.120503652039325
1739209693.504121;-45.120503652039325
1739209693.5041268;-38.13080360867914
1739209693.5041325;-35.57807855764607
1739209693.5041382;-45.120503652039325
1739209693.5041442;-45.120503652039325
1739209693.50415;-38.13080360867914
1739209693.5041556;-32.816014438256545
1739209693.5041616;-45.120503652039325
1739209693.5041673;-38.13080360867914
1739209693.504173;-28.992665084841942
1739209693.504179;-38.13080360867914
1739209693.5041847;-38.13080360867914
1739209693.5041904;-45.120503652039325
1739209693.5041962;-32.816014438256545
1739209693.5042021;-38.13080360867914
1739209693.5042078;-45.120503652039325
1739209693.5042136;-38.13080360867914
1739209693.5042195;-29.438486411369347
1739209693.5042253;-45.120503652039325
1739209693.504231;-45.120503652039325
1739209693.504237;-45.120503652039325
1739209693.5042427;-45.120503652039325
1739209693.5042484;-45.120503652039325
1739209693.504254;-38.13080360867914
1739209693.50426;-45.120503652039325
1739209693.5042658;-31.141103565318915
1739209693.5042715;-45.120503652039325
1739209693.5042775;-35.57807855764607
1739209693.5042832;-45.120503652039325
1739209693.504289;-38.13080360867914
1739209693.5042949;-38.13080360867914
1739209693.5043006;-45.120503652039325
1739209693.5043063;-35.57807855764607
1739209693.504312;-38.13080360867914
1739209693.504318;-38.13080360867914
1739209693.5043237;-33.981070128970906
1739209693.5043294;-33.981070128970906
1739209693.5043354;-45.120503652039325
1739209693.5043411;-38.13080360867914
1739209693.5043468;-38.13080360867914
1739209693.5043528;-45.120503652039325
1739209693.5043585;-38.13080360867914
1739209693.5043643;-38.13080360867914
1739209693.50437;-38.13080360867914
1739209693.504376;-35.57807855764607
1739209693.5043817;-38.13080360867914
1739209693.5043874;-45.120503652039325
1739209693.5043933;-38.13080360867914
1739209693.504399;-32.816014438256545
1739209693.5044048;-33.981070128970906
1739209693.5044107;-35.57807855764607
1739209693.5044165;-38.13080360867914
1739209693.5044222;-38.13080360867914
1739209693.5044281;-38.13080360867914
1739209693.5044339;-38.13080360867914
1739209693.5044396;-45.120503652039325
1739209693.5044453;-35.57807855764607
1739209693.5044513;-38.13080360867914
1739209693.504457;-45.120503652039325
1739209693.5044627;-45.120503652039325
1739209693.5044687;-35.57807855764607
1739209693.5044744;-38.13080360867914
1739209693.5044801;-45.120503652039325
1739209693.504486;-38.13080360867914
1739209693.5044918;-35.57807855764607
1739209693.5044975;-38.13080360867914
1739209693.5045033;-45.120503652039325
1739209693.5045092;-45.120503652039325
1739209693.504515;-45.120503652039325
