CAN Message; 0x39:0a660cc9d172d7ea
Timestamp;Amplitude
1739209875.0548685;-33.981070128970906
1739209875.054873;-45.120503652039325
1739209875.0548775;-35.57807855764607
1739209875.054882;-38.13080360867914
1739209875.0548866;-45.120503652039325
1739209875.0548909;-45.120503652039325
1739209875.0548954;-38.13080360867914
1739209875.0549;-35.57807855764607
1739209875.0549045;-45.120503652039325
1739209875.054909;-35.57807855764607
1739209875.0549135;-38.13080360867914
1739209875.054918;-38.13080360867914
1739209875.0549226;-38.13080360867914
1739209875.054927;-45.120503652039325
1739209875.0549316;-38.13080360867914
1739209875.054936;-35.57807855764607
1739209875.0549405;-35.57807855764607
1739209875.054945;-45.120503652039325
1739209875.0549495;-45.120503652039325
1739209875.054954;-35.57807855764607
1739209875.0549586;-38.13080360867914
1739209875.054963;-45.120503652039325
1739209875.0549676;-38.13080360867914
1739209875.0549722;-35.57807855764607
1739209875.0549767;-38.13080360867914
1739209875.054981;-45.120503652039325
1739209875.0549855;-33.981070128970906
1739209875.05499;-45.120503652039325
1739209875.0549946;-38.13080360867914
1739209875.054999;-38.13080360867914
1739209875.0550036;-38.13080360867914
1739209875.0550082;-45.120503652039325
1739209875.0550127;-45.120503652039325
1739209875.0550172;-38.13080360867914
1739209875.0550218;-45.120503652039325
1739209875.055026;-33.981070128970906
1739209875.0550306;-31.141103565318893
1739209875.055035;-45.120503652039325
1739209875.0550396;-38.13080360867914
1739209875.0550442;-32.816014438256545
1739209875.0550487;-38.13080360867914
1739209875.0550532;-45.120503652039325
1739209875.0550578;-45.120503652039325
1739209875.0550623;-35.57807855764607
1739209875.0550668;-30.49652367304973
1739209875.055071;-38.13080360867914
1739209875.0550756;-45.120503652039325
1739209875.0550802;-33.981070128970906
1739209875.0550847;-38.13080360867914
1739209875.0550892;-38.13080360867914
1739209875.0550938;-38.13080360867914
1739209875.0550983;-45.120503652039325
1739209875.0551028;-30.49652367304976
1739209875.0551074;-35.57807855764607
1739209875.055112;-33.981070128970906
1739209875.0551162;-45.120503652039325
1739209875.0551207;-45.120503652039325
1739209875.0551252;-45.120503652039325
1739209875.0551298;-38.13080360867914
1739209875.0551343;-38.13080360867914
1739209875.0551388;-33.981070128970906
1739209875.0551434;-38.13080360867914
1739209875.055148;-38.13080360867914
1739209875.0551524;-45.120503652039325
1739209875.055157;-38.13080360867914
1739209875.0551612;-45.120503652039325
1739209875.0551658;-45.120503652039325
1739209875.0551703;-45.120503652039325
1739209875.0551748;-45.120503652039325
1739209875.0551794;-45.120503652039325
1739209875.055184;-45.120503652039325
1739209875.0551884;-45.120503652039325
1739209875.055193;-35.57807855764607
1739209875.0551975;-38.13080360867914
1739209875.055202;-33.981070128970906
1739209875.0552065;-45.120503652039325
1739209875.0552108;-45.120503652039325
1739209875.0552154;-33.981070128970906
1739209875.05522;-38.13080360867914
1739209875.0552244;-45.120503652039325
1739209875.055229;-45.120503652039325
1739209875.0552335;-38.13080360867914
1739209875.055238;-38.13080360867914
1739209875.0552425;-35.57807855764607
1739209875.055247;-32.816014438256545
1739209875.0552516;-45.120503652039325
1739209875.055256;-45.120503652039325
1739209875.0552604;-38.13080360867914
1739209875.055265;-38.13080360867914
1739209875.0552695;-45.120503652039325
1739209875.055274;-38.13080360867914
1739209875.0552785;-38.13080360867914
1739209875.055283;-45.120503652039325
1739209875.0552876;-32.816014438256545
1739209875.0552921;-38.13080360867914
1739209875.0552967;-45.120503652039325
1739209875.055301;-33.981070128970906
1739209875.0553055;-45.120503652039325
1739209875.05531;-45.120503652039325
1739209875.0553145;-33.981070128970906
1739209875.055319;-38.13080360867914
1739209875.0553236;-38.13080360867914
1739209875.0553281;-45.120503652039325
1739209875.0553327;-38.13080360867914
1739209875.0553372;-38.13080360867914
1739209875.0553417;-45.120503652039325
1739209875.055346;-45.120503652039325
1739209875.0553505;-45.120503652039325
1739209875.055355;-38.13080360867914
1739209875.0553596;-35.57807855764607
1739209875.0553641;-35.57807855764607
1739209875.0553687;-45.120503652039325
1739209875.0553732;-38.13080360867914
1739209875.0553777;-38.13080360867914
1739209875.0553823;-38.13080360867914
1739209875.0553868;-45.120503652039325
1739209875.055391;-38.13080360867914
1739209875.0553956;-38.13080360867914
1739209875.0554001;-45.120503652039325
1739209875.0554047;-35.57807855764607
1739209875.0554092;-33.981070128970906
1739209875.0554137;-45.120503652039325
1739209875.0554183;-45.120503652039325
1739209875.0554228;-38.13080360867914
1739209875.0554273;-38.13080360867914
1739209875.0554318;-32.81601443825658
1739209875.0554361;-45.120503652039325
1739209875.0554407;-38.13080360867914
1739209875.0554452;-38.13080360867914
1739209875.0554497;-38.13080360867914
1739209875.0554543;-35.57807855764607
1739209875.0554588;-45.120503652039325
1739209875.0554633;-38.13080360867914
1739209875.0554678;-35.57807855764607
1739209875.0554724;-45.120503652039325
1739209875.055477;-38.13080360867914
1739209875.0554812;-38.13080360867914
1739209875.0554857;-45.120503652039325
1739209875.0554903;-38.13080360867914
1739209875.0554948;-45.120503652039325
1739209875.0554993;-35.57807855764607
1739209875.0555038;-30.49652367304973
1739209875.0555084;-38.13080360867914
1739209875.055513;-45.120503652039325
1739209875.0555174;-38.13080360867914
1739209875.055522;-45.120503652039325
1739209875.0555265;-45.120503652039325
1739209875.0555308;-38.13080360867914
1739209875.0555353;-33.981070128970906
1739209875.0555398;-28.992665084841967
1739209875.0555444;-38.13080360867914
1739209875.055549;-45.120503652039325
1739209875.0555534;-45.120503652039325
1739209875.055558;-45.120503652039325
1739209875.0555625;-38.13080360867914
1739209875.055567;-45.120503652039325
1739209875.0555716;-38.13080360867914
1739209875.0555758;-30.49652367304973
1739209875.0555804;-45.120503652039325
1739209875.055585;-45.120503652039325
1739209875.0555894;-45.120503652039325
1739209875.055594;-45.120503652039325
1739209875.0555985;-38.13080360867914
1739209875.055603;-38.13080360867914
1739209875.0556076;-38.13080360867914
1739209875.055612;-45.120503652039325
1739209875.0556166;-45.120503652039325
1739209875.055621;-45.120503652039325
1739209875.0556254;-38.13080360867914
1739209875.05563;-35.57807855764607
1739209875.0556345;-38.13080360867914
1739209875.055639;-35.57807855764607
1739209875.0556436;-38.13080360867914
1739209875.055648;-45.120503652039325
1739209875.0556526;-45.120503652039325
1739209875.0556571;-38.13080360867914
1739209875.0556617;-35.57807855764607
1739209875.055666;-38.13080360867914
1739209875.0556705;-38.13080360867914
1739209875.055675;-45.120503652039325
1739209875.0556796;-38.13080360867914
1739209875.055684;-32.816014438256545
1739209875.0556886;-38.13080360867914
1739209875.0556931;-45.120503652039325
1739209875.0556977;-45.120503652039325
1739209875.0557022;-45.120503652039325
1739209875.0557067;-45.120503652039325
1739209875.055711;-45.120503652039325
1739209875.0557156;-38.13080360867914
1739209875.05572;-45.120503652039325
1739209875.0557246;-38.13080360867914
1739209875.0557292;-38.13080360867914
1739209875.0557337;-45.120503652039325
1739209875.0557382;-45.120503652039325
1739209875.0557427;-45.120503652039325
1739209875.0557473;-35.57807855764607
1739209875.0557518;-38.13080360867914
1739209875.055756;-45.120503652039325
1739209875.0557606;-38.13080360867914
1739209875.0557652;-45.120503652039325
1739209875.0557697;-45.120503652039325
1739209875.0557742;-45.120503652039325
1739209875.0557787;-45.120503652039325
1739209875.0557833;-45.120503652039325
1739209875.0557878;-38.13080360867914
1739209875.0557923;-38.13080360867914
1739209875.0557969;-45.120503652039325
1739209875.0558012;-45.120503652039325
1739209875.0558057;-45.120503652039325
1739209875.0558102;-32.816014438256545
1739209875.0558147;-38.13080360867914
1739209875.0558193;-45.120503652039325
1739209875.0558238;-45.120503652039325
1739209875.0558283;-45.120503652039325
1739209875.0558329;-31.141103565318915
1739209875.0558374;-38.13080360867914
1739209875.055842;-38.13080360867914
1739209875.0558462;-45.120503652039325
1739209875.0558507;-38.13080360867914
1739209875.0558553;-38.13080360867914
1739209875.0558598;-38.13080360867914
1739209875.0558643;-45.120503652039325
1739209875.0558689;-38.13080360867914
1739209875.0558734;-32.816014438256545
1739209875.055878;-35.57807855764607
1739209875.0558825;-38.13080360867914
1739209875.055887;-45.120503652039325
1739209875.0558915;-45.120503652039325
1739209875.0558958;-45.120503652039325
1739209875.0559003;-45.120503652039325
1739209875.0559049;-45.120503652039325
