CAN Message; 0x98:0000a6f5f2d5db99
Timestamp;Amplitude
1739209650.7932253;-33.981070128970906
1739209650.793234;-35.57807855764607
1739209650.7932427;-38.13080360867914
1739209650.7932513;-45.120503652039325
1739209650.7932599;-38.13080360867914
1739209650.7932687;-38.13080360867914
1739209650.7932773;-45.120503652039325
1739209650.7932858;-45.120503652039325
1739209650.7932944;-38.13080360867914
1739209650.7933033;-38.13080360867914
1739209650.7933118;-45.120503652039325
1739209650.7933204;-32.816014438256545
1739209650.793329;-45.120503652039325
1739209650.7933378;-33.981070128970956
1739209650.7933464;-33.981070128970906
1739209650.793355;-35.57807855764607
1739209650.7933636;-38.13080360867914
1739209650.7933724;-45.120503652039325
1739209650.793381;-38.13080360867914
1739209650.7933896;-38.13080360867914
1739209650.7933984;-31.141103565318893
1739209650.793407;-27.8777449560314
1739209650.7934155;-38.13080360867914
1739209650.7934241;-45.120503652039325
1739209650.793433;-38.13080360867914
1739209650.7934415;-32.816014438256545
1739209650.79345;-45.120503652039325
1739209650.7934587;-35.57807855764607
1739209650.7934675;-38.13080360867914
1739209650.793476;-32.81601443825658
1739209650.7934847;-38.13080360867914
1739209650.7934933;-38.13080360867914
1739209650.793502;-38.13080360867914
1739209650.7935107;-45.120503652039325
1739209650.7935193;-33.981070128970906
1739209650.793528;-38.13080360867914
1739209650.7935367;-35.57807855764607
1739209650.7935452;-32.816014438256545
1739209650.7935538;-38.13080360867914
1739209650.7935627;-38.13080360867914
1739209650.7935712;-38.13080360867914
1739209650.7935798;-38.13080360867914
1739209650.7935884;-45.120503652039325
1739209650.7935972;-35.57807855764607
1739209650.7936058;-38.13080360867914
1739209650.7936144;-45.120503652039325
1739209650.793623;-45.120503652039325
1739209650.7936318;-38.13080360867914
1739209650.7936404;-45.120503652039325
1739209650.793649;-45.120503652039325
1739209650.7936575;-45.120503652039325
1739209650.7936664;-45.120503652039325
1739209650.793675;-45.120503652039325
1739209650.7936835;-38.13080360867914
1739209650.7936924;-38.13080360867914
1739209650.793701;-35.57807855764607
1739209650.7937095;-38.13080360867914
1739209650.793718;-45.120503652039325
1739209650.793727;-45.120503652039325
1739209650.7937355;-45.120503652039325
1739209650.793744;-45.120503652039325
1739209650.7937527;-26.991370085610736
1739209650.7937615;-38.13080360867914
1739209650.79377;-38.13080360867914
1739209650.7937787;-38.13080360867914
1739209650.7937872;-35.57807855764607
1739209650.793796;-38.13080360867914
1739209650.7938046;-45.120503652039325
1739209650.7938132;-45.120503652039325
1739209650.793822;-45.120503652039325
1739209650.7938306;-45.120503652039325
1739209650.7938392;-45.120503652039325
1739209650.7938478;-38.13080360867914
1739209650.7938566;-35.57807855764607
1739209650.7938652;-38.13080360867914
1739209650.7938738;-45.120503652039325
1739209650.7938824;-38.13080360867914
1739209650.7938912;-45.120503652039325
1739209650.7938998;-45.120503652039325
1739209650.7939084;-45.120503652039325
1739209650.793917;-45.120503652039325
1739209650.7939258;-45.120503652039325
1739209650.7939343;-38.13080360867914
1739209650.793943;-45.120503652039325
1739209650.7939515;-45.120503652039325
1739209650.7939603;-33.981070128970906
1739209650.793969;-38.13080360867914
1739209650.7939775;-45.120503652039325
1739209650.7939863;-45.120503652039325
1739209650.793995;-35.57807855764607
1739209650.7940035;-38.13080360867914
1739209650.794012;-45.120503652039325
1739209650.794021;-45.120503652039325
1739209650.7940295;-45.120503652039325
1739209650.794038;-45.120503652039325
1739209650.7940466;-45.120503652039325
1739209650.7940555;-45.120503652039325
1739209650.794064;-45.120503652039325
1739209650.7940726;-38.13080360867914
1739209650.7940812;-45.120503652039325
1739209650.79409;-38.13080360867914
1739209650.7940986;-38.13080360867914
1739209650.7941072;-38.13080360867914
1739209650.794116;-38.13080360867914
1739209650.7941246;-38.13080360867914
1739209650.7941332;-38.13080360867914
1739209650.7941418;-38.13080360867914
1739209650.7941506;-45.120503652039325
1739209650.7941592;-38.13080360867914
1739209650.7941678;-38.13080360867914
1739209650.7941763;-38.13080360867914
1739209650.7941852;-45.120503652039325
1739209650.7941937;-45.120503652039325
1739209650.7942023;-38.13080360867914
1739209650.794211;-38.13080360867914
1739209650.7942197;-45.120503652039325
1739209650.7942283;-38.13080360867914
1739209650.794237;-38.13080360867914
1739209650.7942455;-38.13080360867914
1739209650.7942543;-45.120503652039325
1739209650.794263;-38.13080360867914
1739209650.7942715;-33.981070128970906
1739209650.7942803;-38.13080360867914
1739209650.7942889;-45.120503652039325
1739209650.7942975;-45.120503652039325
1739209650.794306;-38.13080360867914
1739209650.7943149;-33.981070128970906
1739209650.7943234;-45.120503652039325
1739209650.794332;-45.120503652039325
1739209650.7943406;-45.120503652039325
1739209650.7943494;-38.13080360867914
1739209650.794358;-45.120503652039325
1739209650.7943666;-38.13080360867914
1739209650.7943752;-35.57807855764607
1739209650.794384;-38.13080360867914
1739209650.7943926;-45.120503652039325
1739209650.7944012;-45.120503652039325
