CAN Message; 0x1d3:00002cfe239d81eb
Timestamp;Amplitude
1739209662.5066135;-45.120503652039325
1739209662.5066223;-45.120503652039325
1739209662.506631;-45.120503652039325
1739209662.5066397;-45.120503652039325
1739209662.5066483;-38.13080360867914
1739209662.5066571;-38.13080360867914
1739209662.5066657;-45.120503652039325
1739209662.5066745;-45.120503652039325
1739209662.506683;-32.816014438256545
1739209662.5066917;-38.13080360867914
1739209662.5067005;-45.120503652039325
1739209662.506709;-45.120503652039325
1739209662.506718;-38.13080360867914
1739209662.5067265;-38.13080360867914
1739209662.5067353;-38.13080360867914
1739209662.506744;-38.13080360867914
1739209662.5067527;-35.57807855764607
1739209662.5067613;-38.13080360867914
1739209662.50677;-38.13080360867914
1739209662.5067787;-38.13080360867914
1739209662.5067873;-38.13080360867914
1739209662.5067961;-33.981070128970906
1739209662.5068047;-45.120503652039325
1739209662.5068135;-38.13080360867914
1739209662.506822;-38.13080360867914
1739209662.506831;-33.981070128970906
1739209662.5068395;-38.13080360867914
1739209662.506848;-45.120503652039325
1739209662.506857;-35.57807855764607
1739209662.5068655;-38.13080360867914
1739209662.5068743;-45.120503652039325
1739209662.506883;-38.13080360867914
1739209662.5068917;-38.13080360867914
1739209662.5069003;-45.120503652039325
1739209662.5069091;-30.49652367304973
1739209662.5069177;-32.816014438256545
1739209662.5069263;-45.120503652039325
1739209662.5069351;-45.120503652039325
1739209662.5069437;-38.13080360867914
1739209662.5069525;-35.57807855764607
1739209662.506961;-45.120503652039325
1739209662.50697;-38.13080360867914
1739209662.5069785;-45.120503652039325
1739209662.5069873;-32.81601443825658
1739209662.506996;-38.13080360867914
1739209662.5070045;-45.120503652039325
1739209662.5070133;-45.120503652039325
1739209662.507022;-45.120503652039325
1739209662.5070307;-38.13080360867914
1739209662.5070393;-45.120503652039325
1739209662.5070481;-30.49652367304973
1739209662.5070567;-28.58837851428586
1739209662.5070655;-45.120503652039325
1739209662.507074;-45.120503652039325
1739209662.5070827;-38.13080360867914
1739209662.5070915;-38.13080360867914
1739209662.5071;-45.120503652039325
1739209662.507109;-38.13080360867914
1739209662.5071175;-45.120503652039325
1739209662.5071263;-38.13080360867914
1739209662.507135;-38.13080360867914
1739209662.5071437;-45.120503652039325
1739209662.5071523;-45.120503652039325
1739209662.5071611;-45.120503652039325
1739209662.5071697;-38.13080360867914
1739209662.5071783;-38.13080360867914
1739209662.5071871;-35.57807855764607
1739209662.5071957;-35.57807855764607
1739209662.5072045;-45.120503652039325
1739209662.507213;-38.13080360867914
1739209662.507222;-38.13080360867914
1739209662.5072305;-38.13080360867914
1739209662.5072393;-45.120503652039325
1739209662.507248;-38.13080360867914
1739209662.5072565;-35.57807855764607
1739209662.5072653;-28.992665084841942
1739209662.507274;-38.13080360867914
1739209662.5072827;-45.120503652039325
1739209662.5072913;-38.13080360867914
1739209662.5073001;-35.57807855764607
1739209662.5073087;-45.120503652039325
1739209662.5073175;-45.120503652039325
1739209662.5073261;-45.120503652039325
1739209662.5073347;-38.13080360867914
