CAN Message; 0x1d3:0000e2f203fbf8e9
Timestamp;Amplitude
1739209733.0694711;-38.13080360867914
1739209733.069473;-38.13080360867914
1739209733.0694747;-38.13080360867914
1739209733.0694766;-38.13080360867914
1739209733.0694785;-45.120503652039325
1739209733.0694804;-38.13080360867914
1739209733.0694823;-38.13080360867914
1739209733.069484;-38.13080360867914
1739209733.069486;-38.13080360867914
1739209733.0694878;-45.120503652039325
1739209733.0694897;-38.13080360867914
1739209733.0694916;-35.57807855764607
1739209733.0694935;-38.13080360867914
1739209733.0694952;-38.13080360867914
1739209733.069497;-38.13080360867914
1739209733.069499;-45.120503652039325
1739209733.069501;-45.120503652039325
1739209733.0695028;-38.13080360867914
1739209733.0695045;-33.981070128970906
1739209733.0695064;-35.57807855764607
1739209733.0695083;-38.13080360867914
1739209733.0695102;-33.981070128970906
1739209733.0695121;-31.14110356531892
1739209733.0695138;-45.120503652039325
1739209733.0695157;-45.120503652039325
1739209733.0695176;-45.120503652039325
1739209733.0695195;-45.120503652039325
1739209733.0695214;-38.13080360867914
1739209733.0695233;-38.13080360867914
1739209733.069525;-38.13080360867914
1739209733.069527;-28.992665084841942
1739209733.0695288;-45.120503652039325
1739209733.0695307;-45.120503652039325
1739209733.0695326;-45.120503652039325
1739209733.0695343;-45.120503652039325
1739209733.0695362;-45.120503652039325
1739209733.069538;-38.13080360867914
1739209733.06954;-33.981070128970906
1739209733.069542;-29.438486411369354
1739209733.0695436;-45.120503652039325
1739209733.0695455;-38.13080360867914
1739209733.0695474;-38.13080360867914
1739209733.0695493;-38.13080360867914
1739209733.0695512;-38.13080360867914
1739209733.0695531;-38.13080360867914
1739209733.0695548;-35.57807855764607
1739209733.0695567;-33.981070128970906
1739209733.0695586;-45.120503652039325
1739209733.0695605;-38.13080360867914
1739209733.0695624;-30.49652367304973
1739209733.069564;-38.13080360867914
1739209733.069566;-45.120503652039325
1739209733.069568;-38.13080360867914
1739209733.0695698;-38.13080360867914
1739209733.0695717;-38.13080360867914
1739209733.0695734;-45.120503652039325
1739209733.0695753;-45.120503652039325
1739209733.0695772;-45.120503652039325
1739209733.0695791;-45.120503652039325
1739209733.069581;-45.120503652039325
1739209733.069583;-35.57807855764607
1739209733.0695846;-35.57807855764607
1739209733.0695865;-33.981070128970956
