CAN Message; 0x39:035c24c4a60dce30
Timestamp;Amplitude
1739209705.063758;-32.816014438256545
1739209705.0637643;-38.13080360867914
1739209705.063771;-45.120503652039325
1739209705.0637774;-38.13080360867914
1739209705.063784;-45.120503652039325
1739209705.0637903;-38.13080360867914
1739209705.0637968;-35.57807855764607
1739209705.0638034;-38.13080360867914
1739209705.0638099;-38.13080360867914
1739209705.0638163;-38.13080360867914
1739209705.0638227;-45.120503652039325
1739209705.0638292;-45.120503652039325
1739209705.0638359;-35.57807855764607
1739209705.0638423;-38.13080360867914
1739209705.0638487;-45.120503652039325
1739209705.0638552;-45.120503652039325
1739209705.0638616;-35.57807855764607
1739209705.0638683;-35.57807855764607
1739209705.0638747;-45.120503652039325
1739209705.0638812;-38.13080360867914
1739209705.0638876;-45.120503652039325
1739209705.063894;-33.981070128970906
1739209705.0639007;-45.120503652039325
1739209705.0639071;-45.120503652039325
1739209705.0639136;-45.120503652039325
1739209705.06392;-38.13080360867914
1739209705.0639265;-45.120503652039325
1739209705.0639331;-38.13080360867914
1739209705.0639396;-35.57807855764607
1739209705.063946;-45.120503652039325
1739209705.0639524;-45.120503652039325
1739209705.063959;-38.13080360867914
1739209705.0639656;-38.13080360867914
1739209705.063972;-38.13080360867914
1739209705.0639784;-45.120503652039325
1739209705.0639849;-38.13080360867914
1739209705.0639913;-45.120503652039325
1739209705.063998;-35.57807855764607
1739209705.0640044;-32.816014438256545
1739209705.0640109;-38.13080360867914
1739209705.0640173;-45.120503652039325
1739209705.0640237;-38.13080360867914
1739209705.0640304;-35.57807855764607
1739209705.0640368;-45.120503652039325
1739209705.0640433;-38.13080360867914
1739209705.0640497;-33.981070128970906
1739209705.0640562;-45.120503652039325
1739209705.0640628;-45.120503652039325
1739209705.0640693;-45.120503652039325
1739209705.0640757;-38.13080360867914
1739209705.0640821;-45.120503652039325
1739209705.0640886;-45.120503652039325
1739209705.0640953;-45.120503652039325
1739209705.0641017;-28.992665084841942
1739209705.0641081;-31.141103565318915
1739209705.0641146;-45.120503652039325
1739209705.064121;-45.120503652039325
1739209705.0641277;-45.120503652039325
1739209705.0641341;-45.120503652039325
1739209705.0641406;-45.120503652039325
1739209705.064147;-45.120503652039325
1739209705.0641534;-38.13080360867914
1739209705.06416;-45.120503652039325
1739209705.0641665;-38.13080360867914
1739209705.064173;-38.13080360867914
1739209705.0641794;-45.120503652039325
1739209705.0641859;-45.120503652039325
1739209705.0641925;-38.13080360867914
1739209705.064199;-45.120503652039325
1739209705.0642054;-28.992665084841942
1739209705.0642118;-31.141103565318915
1739209705.0642183;-38.13080360867914
1739209705.064225;-38.13080360867914
1739209705.0642314;-33.981070128970906
1739209705.0642378;-33.981070128970906
1739209705.0642443;-45.120503652039325
1739209705.0642507;-33.981070128970906
1739209705.0642574;-32.816014438256545
1739209705.0642638;-45.120503652039325
1739209705.0642703;-45.120503652039325
1739209705.0642767;-45.120503652039325
1739209705.0642831;-45.120503652039325
1739209705.0642898;-38.13080360867914
1739209705.0642962;-33.981070128970906
1739209705.0643027;-45.120503652039325
1739209705.0643091;-45.120503652039325
1739209705.0643156;-45.120503652039325
1739209705.0643222;-33.981070128970906
1739209705.0643287;-45.120503652039325
