CAN Message; 0x1a7:00003450330db2a6
Timestamp;Amplitude
1739209746.7996132;-45.120503652039325
1739209746.799618;-38.13080360867914
1739209746.7996228;-38.13080360867914
1739209746.7996278;-45.120503652039325
1739209746.7996325;-33.981070128970906
1739209746.7996373;-28.58837851428586
1739209746.799642;-38.13080360867914
1739209746.7996469;-31.141103565318893
1739209746.7996516;-31.141103565318915
1739209746.7996564;-28.58837851428586
1739209746.7996612;-27.8777449560314
1739209746.7996662;-27.8777449560314
1739209746.799671;-32.816014438256545
1739209746.7996757;-38.13080360867914
1739209746.7996805;-31.141103565318915
1739209746.7996852;-27.8777449560314
1739209746.79969;-29.438486411369347
1739209746.7996948;-45.120503652039325
1739209746.7996995;-33.981070128970906
1739209746.7997046;-45.120503652039325
1739209746.7997093;-31.141103565318915
1739209746.799714;-30.49652367304976
1739209746.7997189;-45.120503652039325
1739209746.7997236;-38.13080360867914
1739209746.7997284;-29.438486411369333
1739209746.7997332;-45.120503652039325
1739209746.799738;-35.57807855764607
1739209746.799743;-38.13080360867914
1739209746.7997477;-29.438486411369333
1739209746.7997525;-32.816014438256545
1739209746.7997572;-45.120503652039325
1739209746.799762;-28.992665084841942
1739209746.7997668;-33.981070128970906
1739209746.7997715;-33.981070128970956
1739209746.7997763;-26.487275050834715
1739209746.7997813;-33.981070128970906
1739209746.799786;-45.120503652039325
1739209746.7997909;-35.57807855764607
1739209746.7997956;-38.13080360867914
1739209746.7998004;-31.141103565318943
1739209746.7998052;-28.58837851428586
1739209746.79981;-32.816014438256545
1739209746.7998147;-38.13080360867914
1739209746.7998197;-29.438486411369333
1739209746.7998245;-33.981070128970906
1739209746.7998292;-38.13080360867914
1739209746.799834;-38.13080360867914
1739209746.7998388;-33.981070128970906
1739209746.7998435;-33.981070128970906
1739209746.7998483;-45.120503652039325
1739209746.799853;-38.13080360867914
1739209746.799858;-31.141103565318915
1739209746.7998629;-38.13080360867914
1739209746.7998676;-45.120503652039325
1739209746.7998724;-38.13080360867914
1739209746.7998772;-32.816014438256545
1739209746.799882;-28.58837851428586
1739209746.7998867;-33.981070128970906
1739209746.7998915;-45.120503652039325
1739209746.7998965;-45.120503652039325
1739209746.7999012;-38.13080360867914
1739209746.799906;-33.981070128970906
1739209746.7999108;-30.49652367304973
1739209746.7999156;-33.981070128970956
1739209746.7999203;-25.826314394896364
1739209746.799925;-26.991370085610736
1739209746.79993;-31.141103565318915
1739209746.7999349;-45.120503652039325
1739209746.7999396;-35.57807855764607
1739209746.7999444;-33.981070128970906
1739209746.7999492;-32.816014438256545
1739209746.799954;-45.120503652039325
1739209746.7999587;-33.981070128970906
1739209746.7999635;-45.120503652039325
1739209746.7999685;-33.981070128970906
1739209746.7999732;-32.816014438256545
1739209746.799978;-29.438486411369333
1739209746.7999828;-27.877744956031414
1739209746.7999876;-38.13080360867914
