CAN Message; 0x1a7:0000c2b9a50d4543
Timestamp;Amplitude
1739209764.8079054;-45.120503652039325
1739209764.80791;-38.13080360867914
1739209764.8079145;-33.981070128970906
1739209764.807919;-38.13080360867914
1739209764.8079238;-31.141103565318915
1739209764.8079283;-45.120503652039325
1739209764.8079329;-45.120503652039325
1739209764.8079374;-32.816014438256545
1739209764.807942;-33.981070128970906
1739209764.8079464;-38.13080360867914
1739209764.807951;-38.13080360867914
1739209764.8079555;-38.13080360867914
1739209764.80796;-45.120503652039325
1739209764.8079648;-38.13080360867914
1739209764.8079693;-45.120503652039325
1739209764.8079739;-45.120503652039325
1739209764.8079784;-45.120503652039325
1739209764.807983;-45.120503652039325
1739209764.8079875;-45.120503652039325
1739209764.807992;-45.120503652039325
1739209764.8079965;-38.13080360867914
1739209764.808001;-38.13080360867914
1739209764.8080058;-45.120503652039325
1739209764.8080103;-38.13080360867914
1739209764.8080149;-45.120503652039325
1739209764.8080194;-38.13080360867914
1739209764.808024;-38.13080360867914
1739209764.8080285;-45.120503652039325
1739209764.808033;-31.141103565318915
1739209764.8080375;-35.57807855764607
1739209764.808042;-38.13080360867914
1739209764.8080468;-45.120503652039325
1739209764.8080513;-45.120503652039325
1739209764.8080559;-45.120503652039325
1739209764.8080604;-38.13080360867914
1739209764.808065;-45.120503652039325
1739209764.8080695;-32.81601443825658
1739209764.808074;-38.13080360867914
1739209764.8080785;-33.981070128970906
1739209764.808083;-45.120503652039325
1739209764.8080878;-38.13080360867914
1739209764.8080924;-45.120503652039325
1739209764.808097;-38.13080360867914
1739209764.8081014;-45.120503652039325
1739209764.808106;-33.981070128970906
1739209764.8081105;-35.57807855764607
1739209764.808115;-45.120503652039325
1739209764.8081195;-38.13080360867914
1739209764.808124;-38.13080360867914
1739209764.8081288;-45.120503652039325
1739209764.8081334;-38.13080360867914
1739209764.808138;-45.120503652039325
1739209764.8081424;-45.120503652039325
1739209764.808147;-33.981070128970906
1739209764.8081515;-38.13080360867914
1739209764.808156;-45.120503652039325
1739209764.8081605;-45.120503652039325
1739209764.808165;-38.13080360867914
1739209764.8081698;-38.13080360867914
1739209764.8081744;-35.57807855764607
1739209764.808179;-33.981070128970906
1739209764.8081834;-38.13080360867914
1739209764.808188;-38.13080360867914
1739209764.8081925;-45.120503652039325
1739209764.808197;-38.13080360867914
1739209764.8082016;-45.120503652039325
1739209764.808206;-45.120503652039325
1739209764.8082108;-35.57807855764607
1739209764.8082154;-31.141103565318915
1739209764.80822;-33.981070128970906
1739209764.8082244;-38.13080360867914
1739209764.808229;-35.57807855764607
1739209764.8082335;-33.981070128970906
1739209764.808238;-35.57807855764607
1739209764.8082426;-45.120503652039325
1739209764.808247;-38.13080360867914
1739209764.8082519;-31.141103565318915
1739209764.8082564;-33.981070128970906
1739209764.808261;-45.120503652039325
1739209764.8082654;-38.13080360867914
1739209764.80827;-45.120503652039325
1739209764.8082745;-45.120503652039325
1739209764.808279;-38.13080360867914
1739209764.8082836;-38.13080360867914
1739209764.808288;-33.981070128970906
1739209764.8082929;-38.13080360867914
1739209764.8082974;-38.13080360867914
1739209764.808302;-38.13080360867914
1739209764.8083065;-38.13080360867914
1739209764.808311;-45.120503652039325
1739209764.8083155;-45.120503652039325
1739209764.80832;-45.120503652039325
1739209764.8083246;-38.13080360867914
1739209764.808329;-38.13080360867914
1739209764.8083339;-45.120503652039325
1739209764.8083384;-38.13080360867914
1739209764.808343;-38.13080360867914
1739209764.8083475;-38.13080360867914
1739209764.808352;-45.120503652039325
1739209764.8083565;-33.981070128970906
1739209764.808361;-30.49652367304973
1739209764.8083656;-38.13080360867914
1739209764.80837;-45.120503652039325
1739209764.808375;-38.13080360867914
1739209764.8083794;-38.13080360867914
1739209764.808384;-45.120503652039325
1739209764.8083885;-45.120503652039325
1739209764.808393;-45.120503652039325
1739209764.8083975;-38.13080360867914
1739209764.808402;-38.13080360867914
1739209764.8084066;-45.120503652039325
1739209764.8084111;-35.57807855764607
1739209764.808416;-38.13080360867914
1739209764.8084204;-33.981070128970906
1739209764.808425;-38.13080360867914
1739209764.8084295;-45.120503652039325
1739209764.808434;-38.13080360867914
1739209764.8084385;-45.120503652039325
1739209764.808443;-45.120503652039325
1739209764.8084476;-38.13080360867914
1739209764.8084521;-45.120503652039325
1739209764.808457;-38.13080360867914
1739209764.8084614;-35.57807855764607
1739209764.808466;-45.120503652039325
1739209764.8084705;-45.120503652039325
1739209764.808475;-45.120503652039325
1739209764.8084795;-45.120503652039325
1739209764.808484;-38.13080360867914
1739209764.8084886;-35.57807855764607
1739209764.8084931;-45.120503652039325
1739209764.808498;-45.120503652039325
1739209764.8085024;-33.981070128970906
1739209764.808507;-45.120503652039325
1739209764.8085115;-31.141103565318893
1739209764.808516;-32.816014438256545
1739209764.8085206;-45.120503652039325
1739209764.808525;-45.120503652039325
1739209764.8085296;-38.13080360867914
1739209764.8085341;-35.57807855764607
1739209764.808539;-45.120503652039325
1739209764.8085434;-45.120503652039325
1739209764.808548;-45.120503652039325
1739209764.8085525;-45.120503652039325
1739209764.808557;-38.13080360867914
1739209764.8085616;-45.120503652039325
1739209764.808566;-45.120503652039325
1739209764.8085706;-38.13080360867914
1739209764.8085752;-38.13080360867914
1739209764.80858;-38.13080360867914
1739209764.8085845;-38.13080360867914
1739209764.808589;-45.120503652039325
1739209764.8085935;-38.13080360867914
1739209764.808598;-38.13080360867914
1739209764.8086026;-32.816014438256545
1739209764.808607;-38.13080360867914
1739209764.8086116;-45.120503652039325
1739209764.8086162;-45.120503652039325
1739209764.808621;-29.438486411369333
1739209764.8086255;-30.49652367304973
1739209764.80863;-45.120503652039325
1739209764.8086345;-45.120503652039325
1739209764.808639;-38.13080360867914
1739209764.8086436;-33.981070128970906
1739209764.808648;-45.120503652039325
1739209764.8086526;-38.13080360867914
1739209764.8086572;-45.120503652039325
1739209764.808662;-45.120503652039325
1739209764.8086665;-38.13080360867914
1739209764.808671;-45.120503652039325
1739209764.8086755;-38.13080360867914
1739209764.80868;-45.120503652039325
1739209764.8086846;-38.13080360867914
1739209764.808689;-45.120503652039325
1739209764.8086936;-29.438486411369333
1739209764.8086982;-29.438486411369333
1739209764.808703;-45.120503652039325
1739209764.8087075;-38.13080360867914
1739209764.808712;-35.57807855764607
1739209764.8087165;-35.57807855764607
1739209764.808721;-38.13080360867914
1739209764.8087256;-45.120503652039325
1739209764.8087301;-35.57807855764607
1739209764.8087347;-35.57807855764607
1739209764.8087392;-38.13080360867914
1739209764.808744;-38.13080360867914
1739209764.8087485;-45.120503652039325
1739209764.808753;-45.120503652039325
1739209764.8087575;-45.120503652039325
1739209764.808762;-45.120503652039325
1739209764.8087666;-45.120503652039325
1739209764.8087711;-45.120503652039325
1739209764.8087757;-45.120503652039325
1739209764.8087802;-45.120503652039325
1739209764.808785;-45.120503652039325
1739209764.8087895;-45.120503652039325
1739209764.808794;-45.120503652039325
1739209764.8087986;-45.120503652039325
1739209764.808803;-30.49652367304973
1739209764.8088076;-26.991370085610722
1739209764.8088121;-45.120503652039325
1739209764.8088167;-45.120503652039325
1739209764.8088212;-32.816014438256545
1739209764.808826;-32.816014438256545
1739209764.8088305;-45.120503652039325
1739209764.808835;-38.13080360867914
1739209764.8088396;-45.120503652039325
1739209764.808844;-31.141103565318943
1739209764.8088486;-38.13080360867914
1739209764.8088531;-35.57807855764607
1739209764.8088577;-45.120503652039325
1739209764.8088622;-45.120503652039325
1739209764.808867;-38.13080360867914
1739209764.8088715;-38.13080360867914
1739209764.808876;-38.13080360867914
1739209764.8088806;-31.141103565318915
1739209764.808885;-38.13080360867914
1739209764.8088896;-38.13080360867914
1739209764.8088942;-32.816014438256545
1739209764.8088987;-38.13080360867914
1739209764.8089032;-45.120503652039325
1739209764.808908;-45.120503652039325
1739209764.8089125;-38.13080360867914
1739209764.808917;-38.13080360867914
1739209764.8089216;-38.13080360867914
1739209764.808926;-38.13080360867914
1739209764.8089306;-38.13080360867914
1739209764.8089352;-32.816014438256545
1739209764.8089397;-38.13080360867914
1739209764.8089442;-38.13080360867914
1739209764.808949;-45.120503652039325
1739209764.8089535;-45.120503652039325
1739209764.808958;-45.120503652039325
1739209764.8089626;-38.13080360867914
1739209764.808967;-38.13080360867914
1739209764.8089716;-45.120503652039325
1739209764.8089762;-45.120503652039325
1739209764.8089807;-45.120503652039325
1739209764.8089852;-45.120503652039325
1739209764.80899;-35.57807855764607
1739209764.8089945;-38.13080360867914
1739209764.808999;-38.13080360867914
1739209764.8090036;-45.120503652039325
1739209764.8090081;-35.57807855764607
1739209764.8090127;-33.981070128970906
1739209764.8090172;-38.13080360867914
1739209764.8090217;-45.120503652039325
1739209764.8090262;-45.120503652039325
1739209764.809031;-45.120503652039325
1739209764.8090355;-45.120503652039325
1739209764.80904;-45.120503652039325
1739209764.8090446;-38.13080360867914
1739209764.8090491;-33.981070128970906
1739209764.8090537;-38.13080360867914
1739209764.8090582;-38.13080360867914
1739209764.8090627;-31.141103565318915
1739209764.8090672;-38.13080360867914
1739209764.809072;-45.120503652039325
1739209764.8090765;-45.120503652039325
1739209764.809081;-38.13080360867914
1739209764.8090856;-38.13080360867914
1739209764.8090901;-45.120503652039325
1739209764.8090947;-38.13080360867914
1739209764.8090992;-45.120503652039325
1739209764.8091037;-45.120503652039325
1739209764.8091085;-45.120503652039325
1739209764.809113;-45.120503652039325
1739209764.8091176;-38.13080360867914
1739209764.809122;-45.120503652039325
1739209764.8091266;-45.120503652039325
1739209764.8091311;-32.816014438256545
1739209764.8091357;-38.13080360867914
1739209764.8091402;-38.13080360867914
1739209764.8091447;-32.816014438256545
1739209764.8091495;-38.13080360867914
1739209764.809154;-45.120503652039325
1739209764.8091586;-45.120503652039325
1739209764.809163;-38.13080360867914
1739209764.8091676;-38.13080360867914
1739209764.8091722;-35.57807855764607
1739209764.8091767;-31.141103565318915
1739209764.8091812;-45.120503652039325
1739209764.8091857;-38.13080360867914
1739209764.8091905;-38.13080360867914
1739209764.809195;-35.57807855764607
1739209764.8091996;-38.13080360867914
1739209764.809204;-35.57807855764607
1739209764.8092086;-38.13080360867914
1739209764.8092132;-38.13080360867914
1739209764.8092177;-45.120503652039325
1739209764.8092222;-33.981070128970906
1739209764.8092268;-38.13080360867914
1739209764.8092315;-45.120503652039325
1739209764.809236;-45.120503652039325
1739209764.8092406;-38.13080360867914
1739209764.809245;-33.981070128970906
1739209764.8092496;-45.120503652039325
1739209764.8092542;-45.120503652039325
1739209764.8092587;-38.13080360867914
1739209764.8092632;-38.13080360867914
1739209764.8092678;-38.13080360867914
1739209764.8092725;-38.13080360867914
1739209764.809277;-33.981070128970906
1739209764.8092816;-31.141103565318915
1739209764.809286;-35.57807855764607
1739209764.8092906;-38.13080360867914
1739209764.8092952;-45.120503652039325
1739209764.8092997;-45.120503652039325
1739209764.8093042;-38.13080360867914
1739209764.8093088;-45.120503652039325
1739209764.8093135;-45.120503652039325
1739209764.809318;-38.13080360867914
1739209764.8093226;-38.13080360867914
1739209764.8093271;-45.120503652039325
1739209764.8093317;-38.13080360867914
1739209764.8093362;-38.13080360867914
1739209764.8093407;-45.120503652039325
