CAN Message; 0x77:b3c76210c9cbd45e
Timestamp;Amplitude
1739209697.7515652;-38.13080360867914
1739209697.7515674;-33.981070128970906
1739209697.7515693;-33.981070128970906
1739209697.7515714;-38.13080360867914
1739209697.7515736;-38.13080360867914
1739209697.7515755;-45.120503652039325
1739209697.7515776;-38.13080360867914
1739209697.7515798;-38.13080360867914
1739209697.751582;-38.13080360867914
1739209697.7515838;-38.13080360867914
1739209697.751586;-35.57807855764607
1739209697.751588;-38.13080360867914
1739209697.75159;-33.981070128970956
1739209697.7515922;-38.13080360867914
1739209697.7515943;-45.120503652039325
1739209697.7515965;-45.120503652039325
1739209697.7515984;-45.120503652039325
1739209697.7516005;-45.120503652039325
1739209697.7516026;-45.120503652039325
1739209697.7516048;-38.13080360867914
1739209697.7516067;-29.438486411369333
1739209697.7516088;-33.981070128970906
1739209697.751611;-45.120503652039325
1739209697.751613;-38.13080360867914
1739209697.751615;-35.57807855764607
1739209697.7516172;-45.120503652039325
1739209697.7516193;-45.120503652039325
1739209697.7516212;-38.13080360867914
1739209697.7516234;-38.13080360867914
1739209697.7516255;-45.120503652039325
1739209697.7516274;-38.13080360867914
1739209697.7516296;-38.13080360867914
1739209697.7516317;-38.13080360867914
1739209697.751634;-38.13080360867914
1739209697.7516358;-45.120503652039325
1739209697.751638;-45.120503652039325
1739209697.75164;-32.816014438256545
1739209697.7516422;-38.13080360867914
1739209697.7516441;-45.120503652039325
1739209697.7516463;-35.57807855764607
1739209697.7516484;-35.57807855764607
1739209697.7516503;-33.981070128970906
1739209697.7516525;-45.120503652039325
1739209697.7516546;-38.13080360867914
1739209697.7516568;-45.120503652039325
1739209697.7516587;-45.120503652039325
1739209697.7516608;-38.13080360867914
1739209697.751663;-45.120503652039325
1739209697.7516649;-38.13080360867914
1739209697.751667;-45.120503652039325
1739209697.7516692;-45.120503652039325
1739209697.7516713;-45.120503652039325
1739209697.7516732;-45.120503652039325
1739209697.7516754;-45.120503652039325
1739209697.7516775;-45.120503652039325
1739209697.7516794;-45.120503652039325
1739209697.7516816;-45.120503652039325
1739209697.7516837;-45.120503652039325
1739209697.7516859;-45.120503652039325
1739209697.7516878;-45.120503652039325
1739209697.75169;-29.438486411369333
1739209697.751692;-33.981070128970906
1739209697.7516942;-45.120503652039325
1739209697.751696;-45.120503652039325
1739209697.7516983;-38.13080360867914
1739209697.7517004;-38.13080360867914
1739209697.7517023;-45.120503652039325
1739209697.7517045;-38.13080360867914
1739209697.7517066;-38.13080360867914
1739209697.7517087;-45.120503652039325
1739209697.7517107;-35.57807855764607
1739209697.7517128;-38.13080360867914
1739209697.751715;-45.120503652039325
1739209697.7517169;-38.13080360867914
1739209697.751719;-38.13080360867914
1739209697.7517211;-45.120503652039325
1739209697.7517233;-30.49652367304973
1739209697.7517252;-30.49652367304973
1739209697.7517273;-35.57807855764607
1739209697.7517295;-38.13080360867914
1739209697.7517314;-38.13080360867914
1739209697.7517335;-38.13080360867914
1739209697.7517357;-38.13080360867914
1739209697.7517378;-38.13080360867914
1739209697.7517397;-45.120503652039325
1739209697.751742;-45.120503652039325
1739209697.751744;-38.13080360867914
1739209697.7517462;-38.13080360867914
1739209697.751748;-38.13080360867914
1739209697.7517502;-35.57807855764607
1739209697.7517524;-38.13080360867914
1739209697.7517543;-38.13080360867914
1739209697.7517564;-38.13080360867914
1739209697.7517586;-45.120503652039325
1739209697.7517607;-45.120503652039325
1739209697.7517626;-45.120503652039325
1739209697.7517648;-45.120503652039325
1739209697.751767;-45.120503652039325
1739209697.7517688;-32.816014438256545
1739209697.751771;-38.13080360867914
1739209697.751773;-38.13080360867914
1739209697.7517753;-35.57807855764607
1739209697.7517772;-38.13080360867914
1739209697.7517793;-38.13080360867914
1739209697.7517815;-45.120503652039325
1739209697.7517836;-38.13080360867914
1739209697.7517855;-45.120503652039325
1739209697.7517877;-38.13080360867914
1739209697.7517898;-45.120503652039325
1739209697.7517917;-45.120503652039325
1739209697.7517939;-33.981070128970906
1739209697.751796;-35.57807855764607
1739209697.7517982;-38.13080360867914
1739209697.7518;-45.120503652039325
1739209697.7518022;-45.120503652039325
1739209697.7518044;-38.13080360867914
1739209697.7518063;-45.120503652039325
1739209697.7518084;-35.57807855764607
1739209697.7518106;-35.57807855764607
1739209697.7518127;-38.13080360867914
1739209697.7518146;-38.13080360867914
1739209697.7518167;-31.141103565318915
1739209697.751819;-38.13080360867914
1739209697.7518208;-38.13080360867914
1739209697.751823;-45.120503652039325
1739209697.751825;-45.120503652039325
1739209697.7518272;-38.13080360867914
1739209697.7518291;-38.13080360867914
1739209697.7518313;-45.120503652039325
1739209697.7518334;-45.120503652039325
1739209697.7518356;-38.13080360867914
1739209697.7518375;-35.57807855764607
1739209697.7518396;-35.57807855764607
1739209697.7518418;-45.120503652039325
1739209697.7518437;-45.120503652039325
1739209697.7518458;-38.13080360867914
1739209697.751848;-38.13080360867914
1739209697.7518501;-45.120503652039325
1739209697.751852;-38.13080360867914
1739209697.7518542;-33.981070128970906
1739209697.7518563;-38.13080360867914
1739209697.7518582;-30.49652367304973
1739209697.7518604;-33.981070128970906
1739209697.7518625;-38.13080360867914
1739209697.7518647;-38.13080360867914
1739209697.7518666;-38.13080360867914
1739209697.7518687;-45.120503652039325
1739209697.7518709;-45.120503652039325
1739209697.751873;-35.57807855764607
1739209697.751875;-45.120503652039325
1739209697.751877;-38.13080360867914
1739209697.7518792;-33.981070128970906
1739209697.7518811;-38.13080360867914
1739209697.7518833;-45.120503652039325
1739209697.7518854;-45.120503652039325
1739209697.7518876;-45.120503652039325
1739209697.7518895;-38.13080360867914
1739209697.7518916;-35.57807855764607
1739209697.7518938;-38.13080360867914
1739209697.7518957;-38.13080360867914
1739209697.7518978;-35.57807855764607
1739209697.7519;-38.13080360867914
1739209697.751902;-38.13080360867914
1739209697.751904;-45.120503652039325
1739209697.7519062;-45.120503652039325
1739209697.7519083;-45.120503652039325
1739209697.7519102;-45.120503652039325
1739209697.7519124;-45.120503652039325
1739209697.7519145;-38.13080360867914
1739209697.7519166;-38.13080360867914
1739209697.7519186;-38.13080360867914
1739209697.7519207;-38.13080360867914
1739209697.7519228;-45.120503652039325
1739209697.751925;-45.120503652039325
1739209697.751927;-45.120503652039325
1739209697.751929;-33.981070128970906
1739209697.7519312;-45.120503652039325
1739209697.751933;-38.13080360867914
1739209697.7519352;-33.981070128970906
1739209697.7519374;-33.981070128970906
1739209697.7519395;-45.120503652039325
1739209697.7519414;-33.981070128970906
1739209697.7519436;-32.816014438256545
1739209697.7519457;-38.13080360867914
1739209697.7519476;-45.120503652039325
1739209697.7519498;-45.120503652039325
1739209697.751952;-38.13080360867914
1739209697.751954;-38.13080360867914
1739209697.751956;-45.120503652039325
1739209697.7519581;-45.120503652039325
1739209697.7519603;-45.120503652039325
1739209697.7519622;-33.981070128970906
1739209697.7519643;-45.120503652039325
1739209697.7519665;-38.13080360867914
1739209697.7519686;-32.816014438256545
1739209697.7519705;-38.13080360867914
1739209697.7519727;-45.120503652039325
1739209697.7519748;-38.13080360867914
1739209697.751977;-27.8777449560314
1739209697.7519789;-45.120503652039325
