CAN Message; 0x77:3e484afd9234d671
Timestamp;Amplitude
1739209772.2041678;-35.57807855764607
1739209772.2041714;-33.981070128970906
1739209772.2041748;-38.13080360867914
1739209772.204178;-45.120503652039325
1739209772.2041817;-38.13080360867914
1739209772.204185;-45.120503652039325
1739209772.2041883;-38.13080360867914
1739209772.204192;-45.120503652039325
1739209772.2041953;-45.120503652039325
1739209772.2041986;-38.13080360867914
1739209772.2042022;-38.13080360867914
1739209772.2042055;-38.13080360867914
1739209772.204209;-33.981070128970906
1739209772.2042124;-35.57807855764607
1739209772.2042158;-38.13080360867914
1739209772.2042193;-45.120503652039325
1739209772.2042227;-38.13080360867914
1739209772.204226;-33.981070128970906
1739209772.2042296;-45.120503652039325
1739209772.204233;-38.13080360867914
1739209772.2042363;-38.13080360867914
1739209772.2042398;-45.120503652039325
1739209772.2042432;-32.816014438256545
1739209772.2042465;-38.13080360867914
1739209772.20425;-45.120503652039325
1739209772.2042534;-38.13080360867914
1739209772.2042568;-38.13080360867914
1739209772.2042603;-45.120503652039325
1739209772.2042637;-38.13080360867914
1739209772.204267;-45.120503652039325
1739209772.2042706;-38.13080360867914
1739209772.204274;-45.120503652039325
1739209772.2042773;-38.13080360867914
1739209772.2042809;-30.49652367304973
1739209772.2042842;-38.13080360867914
1739209772.2042875;-38.13080360867914
1739209772.204291;-45.120503652039325
1739209772.2042944;-45.120503652039325
1739209772.204298;-45.120503652039325
1739209772.2043014;-38.13080360867914
1739209772.2043047;-38.13080360867914
1739209772.2043083;-45.120503652039325
1739209772.2043116;-38.13080360867914
1739209772.204315;-38.13080360867914
1739209772.2043185;-45.120503652039325
1739209772.2043219;-45.120503652039325
1739209772.2043252;-33.981070128970906
1739209772.2043288;-38.13080360867914
1739209772.204332;-38.13080360867914
1739209772.2043355;-45.120503652039325
1739209772.204339;-45.120503652039325
1739209772.2043424;-38.13080360867914
1739209772.2043457;-38.13080360867914
1739209772.2043493;-38.13080360867914
1739209772.2043526;-38.13080360867914
1739209772.204356;-38.13080360867914
1739209772.2043595;-45.120503652039325
1739209772.2043629;-45.120503652039325
1739209772.2043662;-38.13080360867914
1739209772.2043698;-45.120503652039325
1739209772.2043731;-45.120503652039325
1739209772.2043765;-45.120503652039325
1739209772.20438;-38.13080360867914
1739209772.2043834;-35.57807855764607
1739209772.204387;-35.57807855764607
1739209772.2043903;-38.13080360867914
1739209772.2043936;-45.120503652039325
1739209772.2043972;-45.120503652039325
1739209772.2044005;-45.120503652039325
1739209772.2044039;-38.13080360867914
1739209772.2044075;-38.13080360867914
1739209772.2044108;-38.13080360867914
1739209772.2044141;-38.13080360867914
1739209772.2044177;-38.13080360867914
1739209772.204421;-33.981070128970906
1739209772.2044244;-45.120503652039325
1739209772.204428;-38.13080360867914
1739209772.2044313;-45.120503652039325
1739209772.2044346;-45.120503652039325
1739209772.2044382;-45.120503652039325
1739209772.2044415;-38.13080360867914
1739209772.204445;-38.13080360867914
1739209772.2044485;-45.120503652039325
1739209772.2044518;-45.120503652039325
1739209772.2044551;-45.120503652039325
1739209772.2044587;-32.816014438256545
1739209772.204462;-35.57807855764607
1739209772.2044656;-45.120503652039325
1739209772.204469;-45.120503652039325
1739209772.2044723;-35.57807855764607
1739209772.2044759;-35.57807855764607
1739209772.2044792;-45.120503652039325
1739209772.2044826;-38.13080360867914
1739209772.2044861;-45.120503652039325
1739209772.2044895;-45.120503652039325
1739209772.2044928;-45.120503652039325
1739209772.2044964;-38.13080360867914
1739209772.2044997;-45.120503652039325
1739209772.204503;-38.13080360867914
1739209772.2045066;-38.13080360867914
1739209772.20451;-38.13080360867914
1739209772.2045133;-35.57807855764607
1739209772.204517;-45.120503652039325
1739209772.2045202;-45.120503652039325
1739209772.2045236;-38.13080360867914
1739209772.2045271;-32.816014438256545
1739209772.2045305;-33.981070128970906
1739209772.2045338;-45.120503652039325
1739209772.2045374;-38.13080360867914
1739209772.2045407;-35.57807855764607
1739209772.204544;-33.981070128970906
1739209772.2045476;-45.120503652039325
1739209772.204551;-38.13080360867914
1739209772.2045546;-45.120503652039325
1739209772.204558;-45.120503652039325
1739209772.2045612;-45.120503652039325
1739209772.2045648;-45.120503652039325
1739209772.2045681;-45.120503652039325
1739209772.2045715;-38.13080360867914
1739209772.204575;-38.13080360867914
1739209772.2045784;-45.120503652039325
1739209772.2045817;-35.57807855764607
1739209772.2045853;-35.57807855764607
1739209772.2045887;-38.13080360867914
1739209772.204592;-45.120503652039325
1739209772.2045956;-38.13080360867914
1739209772.204599;-38.13080360867914
1739209772.2046022;-45.120503652039325
1739209772.2046058;-38.13080360867914
1739209772.2046092;-45.120503652039325
1739209772.2046125;-45.120503652039325
1739209772.204616;-38.13080360867914
1739209772.2046194;-35.57807855764607
1739209772.2046227;-38.13080360867914
1739209772.2046263;-33.981070128970956
1739209772.2046297;-45.120503652039325
1739209772.204633;-38.13080360867914
1739209772.2046366;-33.981070128970906
1739209772.20464;-45.120503652039325
1739209772.2046435;-32.816014438256545
1739209772.2046468;-45.120503652039325
1739209772.2046502;-33.981070128970906
1739209772.2046537;-28.992665084841942
1739209772.204657;-45.120503652039325
1739209772.2046604;-45.120503652039325
1739209772.204664;-45.120503652039325
1739209772.2046673;-38.13080360867914
1739209772.2046707;-45.120503652039325
1739209772.2046742;-45.120503652039325
1739209772.2046776;-45.120503652039325
1739209772.204681;-35.57807855764607
1739209772.2046845;-45.120503652039325
1739209772.2046878;-38.13080360867914
1739209772.2046912;-38.13080360867914
1739209772.2046947;-38.13080360867914
1739209772.204698;-38.13080360867914
1739209772.2047014;-45.120503652039325
1739209772.204705;-38.13080360867914
1739209772.2047083;-33.981070128970906
1739209772.2047117;-45.120503652039325
1739209772.2047153;-45.120503652039325
1739209772.2047186;-35.57807855764607
1739209772.2047222;-38.13080360867914
1739209772.2047255;-38.13080360867914
