CAN Message; 0x24:035c27119ba3980d
Timestamp;Amplitude
1739209832.3734024;-38.13080360867914
1739209832.3734145;-45.120503652039325
1739209832.3734264;-35.57807855764607
1739209832.3734386;-31.141103565318915
1739209832.3734505;-31.141103565318915
1739209832.3734627;-38.13080360867914
1739209832.3734746;-35.57807855764607
1739209832.3734868;-33.981070128970906
1739209832.3734987;-45.120503652039325
1739209832.3735108;-45.120503652039325
1739209832.3735228;-33.981070128970906
1739209832.3735347;-38.13080360867914
1739209832.3735468;-35.57807855764607
1739209832.3735588;-35.57807855764607
1739209832.373571;-38.13080360867914
1739209832.3735828;-45.120503652039325
1739209832.373595;-38.13080360867914
1739209832.373607;-35.57807855764607
1739209832.373619;-45.120503652039325
1739209832.373631;-33.981070128970906
1739209832.3736432;-31.141103565318915
1739209832.373655;-45.120503652039325
1739209832.373667;-38.13080360867914
1739209832.3736792;-38.13080360867914
1739209832.373691;-38.13080360867914
1739209832.3737032;-45.120503652039325
1739209832.3737152;-38.13080360867914
1739209832.3737273;-45.120503652039325
1739209832.3737392;-45.120503652039325
1739209832.3737514;-45.120503652039325
1739209832.3737633;-35.57807855764607
1739209832.3737755;-38.13080360867914
1739209832.3737874;-45.120503652039325
1739209832.3737993;-45.120503652039325
1739209832.3738115;-35.57807855764607
1739209832.3738234;-38.13080360867914
1739209832.3738356;-45.120503652039325
1739209832.3738475;-38.13080360867914
1739209832.3738596;-38.13080360867914
1739209832.3738716;-45.120503652039325
1739209832.3738837;-38.13080360867914
1739209832.3738956;-38.13080360867914
1739209832.3739076;-45.120503652039325
1739209832.3739197;-38.13080360867914
1739209832.3739316;-30.49652367304973
1739209832.3739438;-38.13080360867914
1739209832.3739557;-45.120503652039325
1739209832.373968;-35.57807855764607
1739209832.3739798;-33.981070128970906
1739209832.373992;-45.120503652039325
1739209832.374004;-38.13080360867914
1739209832.374016;-45.120503652039325
1739209832.374028;-38.13080360867914
1739209832.37404;-45.120503652039325
1739209832.374052;-45.120503652039325
1739209832.374064;-45.120503652039325
1739209832.3740761;-38.13080360867914
1739209832.374088;-33.981070128970906
1739209832.3741002;-45.120503652039325
1739209832.3741121;-33.981070128970906
1739209832.3741243;-24.746238672633048
1739209832.3741362;-38.13080360867914
1739209832.3741484;-45.120503652039325
1739209832.3741603;-38.13080360867914
1739209832.3741722;-32.816014438256545
1739209832.3741844;-38.13080360867914
1739209832.3741963;-45.120503652039325
1739209832.3742085;-38.13080360867914
1739209832.3742204;-33.981070128970956
1739209832.3742325;-45.120503652039325
1739209832.3742445;-38.13080360867914
1739209832.3742566;-45.120503652039325
1739209832.3742685;-45.120503652039325
1739209832.3742807;-45.120503652039325
1739209832.3742926;-35.57807855764607
1739209832.3743045;-38.13080360867914
1739209832.3743167;-32.816014438256545
1739209832.3743286;-35.57807855764607
