CAN Message; 0x150:07008d8cb028d07a
Timestamp;Amplitude
1739209798.2717757;-27.267205301931607
1739209798.2717824;-28.992665084841942
1739209798.2717893;-45.120503652039325
1739209798.271796;-45.120503652039325
1739209798.271803;-38.13080360867914
1739209798.2718096;-38.13080360867914
1739209798.2718165;-45.120503652039325
1739209798.2718232;-38.13080360867914
1739209798.27183;-45.120503652039325
1739209798.271837;-38.13080360867914
1739209798.2718437;-45.120503652039325
1739209798.2718506;-45.120503652039325
1739209798.2718573;-45.120503652039325
1739209798.2718642;-38.13080360867914
1739209798.2718709;-45.120503652039325
1739209798.2718778;-38.13080360867914
1739209798.2718844;-38.13080360867914
1739209798.2718914;-45.120503652039325
1739209798.2718983;-45.120503652039325
1739209798.271905;-38.13080360867914
1739209798.2719119;-38.13080360867914
1739209798.2719185;-45.120503652039325
1739209798.2719254;-33.981070128970906
1739209798.2719321;-38.13080360867914
1739209798.271939;-33.981070128970906
1739209798.2719457;-31.141103565318915
1739209798.2719526;-35.57807855764607
1739209798.2719595;-38.13080360867914
1739209798.2719662;-38.13080360867914
1739209798.2719731;-35.57807855764607
1739209798.2719798;-32.816014438256545
1739209798.2719867;-38.13080360867914
1739209798.2719934;-38.13080360867914
1739209798.2720003;-29.438486411369347
1739209798.272007;-38.13080360867914
1739209798.272014;-38.13080360867914
1739209798.2720206;-45.120503652039325
1739209798.2720275;-45.120503652039325
1739209798.2720344;-38.13080360867914
1739209798.272041;-45.120503652039325
1739209798.272048;-38.13080360867914
1739209798.2720547;-33.981070128970906
1739209798.2720616;-38.13080360867914
1739209798.2720683;-38.13080360867914
1739209798.2720752;-38.13080360867914
1739209798.2720819;-38.13080360867914
1739209798.2720888;-38.13080360867914
1739209798.2720957;-33.981070128970906
1739209798.2721024;-38.13080360867914
1739209798.2721093;-35.57807855764607
1739209798.272116;-38.13080360867914
1739209798.2721229;-38.13080360867914
1739209798.2721295;-38.13080360867914
1739209798.2721364;-33.981070128970906
1739209798.2721431;-38.13080360867914
1739209798.27215;-38.13080360867914
1739209798.272157;-35.57807855764607
1739209798.2721636;-38.13080360867914
1739209798.2721705;-45.120503652039325
1739209798.2721772;-38.13080360867914
1739209798.2721841;-38.13080360867914
1739209798.2721908;-45.120503652039325
1739209798.2721977;-45.120503652039325
1739209798.2722044;-45.120503652039325
1739209798.2722113;-45.120503652039325
1739209798.2722182;-38.13080360867914
1739209798.272225;-45.120503652039325
1739209798.2722318;-38.13080360867914
1739209798.2722385;-38.13080360867914
1739209798.2722454;-32.816014438256545
1739209798.272252;-38.13080360867914
1739209798.272259;-45.120503652039325
1739209798.2722657;-38.13080360867914
1739209798.2722726;-45.120503652039325
1739209798.2722795;-45.120503652039325
1739209798.2722862;-38.13080360867914
1739209798.272293;-45.120503652039325
1739209798.2722998;-45.120503652039325
1739209798.2723067;-45.120503652039325
1739209798.2723134;-45.120503652039325
1739209798.2723203;-45.120503652039325
1739209798.272327;-45.120503652039325
1739209798.2723339;-38.13080360867914
1739209798.2723408;-38.13080360867914
1739209798.2723475;-45.120503652039325
1739209798.2723544;-38.13080360867914
1739209798.272361;-38.13080360867914
1739209798.272368;-38.13080360867914
1739209798.2723746;-45.120503652039325
1739209798.2723815;-32.816014438256545
1739209798.2723882;-29.438486411369333
1739209798.2723951;-38.13080360867914
1739209798.2724018;-45.120503652039325
1739209798.2724087;-38.13080360867914
1739209798.2724156;-29.438486411369333
1739209798.2724223;-45.120503652039325
1739209798.2724292;-45.120503652039325
1739209798.272436;-45.120503652039325
1739209798.2724428;-45.120503652039325
1739209798.2724495;-33.981070128970906
1739209798.2724564;-45.120503652039325
1739209798.272463;-45.120503652039325
1739209798.27247;-38.13080360867914
1739209798.272477;-35.57807855764607
1739209798.2724836;-38.13080360867914
1739209798.2724905;-38.13080360867914
1739209798.2724972;-45.120503652039325
1739209798.272504;-45.120503652039325
