CAN Message; 0x98:00006b7c039ce1d3
Timestamp;Amplitude
1739209786.8170242;-45.120503652039325
1739209786.817034;-38.13080360867914
1739209786.8170435;-33.981070128970906
1739209786.8170533;-45.120503652039325
1739209786.8170629;-38.13080360867914
1739209786.8170726;-33.981070128970906
1739209786.8170822;-38.13080360867914
1739209786.817092;-45.120503652039325
1739209786.8171015;-33.981070128970906
1739209786.8171113;-31.141103565318893
1739209786.8171208;-45.120503652039325
1739209786.8171306;-45.120503652039325
1739209786.81714;-31.141103565318893
1739209786.8171496;-38.13080360867914
1739209786.8171594;-45.120503652039325
1739209786.817169;-45.120503652039325
1739209786.8171787;-38.13080360867914
1739209786.8171883;-35.57807855764607
1739209786.817198;-38.13080360867914
1739209786.8172076;-45.120503652039325
1739209786.8172174;-38.13080360867914
1739209786.817227;-35.57807855764607
1739209786.8172367;-38.13080360867914
1739209786.8172462;-45.120503652039325
1739209786.817256;-45.120503652039325
1739209786.8172655;-38.13080360867914
1739209786.817275;-45.120503652039325
1739209786.8172848;-45.120503652039325
1739209786.8172944;-38.13080360867914
1739209786.8173041;-35.57807855764607
1739209786.8173137;-38.13080360867914
1739209786.8173234;-33.981070128970906
1739209786.817333;-33.981070128970906
1739209786.8173428;-38.13080360867914
1739209786.8173523;-38.13080360867914
1739209786.817362;-45.120503652039325
1739209786.8173716;-38.13080360867914
1739209786.8173814;-32.816014438256545
1739209786.817391;-35.57807855764607
1739209786.8174005;-38.13080360867914
1739209786.8174102;-38.13080360867914
1739209786.8174198;-35.57807855764607
1739209786.8174295;-45.120503652039325
1739209786.817439;-38.13080360867914
1739209786.8174489;-33.981070128970906
1739209786.8174584;-45.120503652039325
1739209786.8174682;-38.13080360867914
1739209786.8174777;-32.816014438256545
1739209786.8174875;-38.13080360867914
1739209786.817497;-45.120503652039325
1739209786.8175068;-45.120503652039325
1739209786.8175163;-38.13080360867914
1739209786.8175259;-26.991370085610722
1739209786.8175356;-45.120503652039325
1739209786.8175452;-45.120503652039325
1739209786.817555;-38.13080360867914
1739209786.8175645;-33.981070128970906
1739209786.8175743;-45.120503652039325
1739209786.8175838;-45.120503652039325
1739209786.8175936;-38.13080360867914
1739209786.817603;-31.141103565318915
1739209786.817613;-45.120503652039325
1739209786.8176224;-38.13080360867914
1739209786.8176322;-45.120503652039325
1739209786.8176417;-45.120503652039325
1739209786.8176513;-45.120503652039325
1739209786.817661;-45.120503652039325
1739209786.8176706;-38.13080360867914
1739209786.8176804;-38.13080360867914
1739209786.81769;-38.13080360867914
1739209786.8176997;-38.13080360867914
1739209786.8177092;-38.13080360867914
1739209786.817719;-38.13080360867914
1739209786.8177285;-38.13080360867914
1739209786.8177383;-38.13080360867914
1739209786.8177478;-45.120503652039325
1739209786.8177576;-33.981070128970906
1739209786.8177671;-32.816014438256545
1739209786.8177767;-45.120503652039325
1739209786.8177865;-45.120503652039325
1739209786.817796;-45.120503652039325
1739209786.8178058;-35.57807855764607
1739209786.8178153;-38.13080360867914
1739209786.817825;-45.120503652039325
1739209786.8178346;-27.267205301931607
1739209786.8178444;-33.981070128970906
1739209786.817854;-38.13080360867914
1739209786.8178637;-45.120503652039325
1739209786.8178732;-45.120503652039325
1739209786.817883;-38.13080360867914
1739209786.8178926;-33.981070128970906
1739209786.817902;-45.120503652039325
1739209786.8179119;-45.120503652039325
1739209786.8179214;-38.13080360867914
1739209786.8179312;-45.120503652039325
1739209786.8179407;-45.120503652039325
1739209786.8179505;-38.13080360867914
1739209786.81796;-38.13080360867914
1739209786.8179698;-45.120503652039325
1739209786.8179793;-45.120503652039325
1739209786.817989;-45.120503652039325
1739209786.8179986;-33.981070128970906
1739209786.8180084;-38.13080360867914
1739209786.818018;-45.120503652039325
1739209786.8180277;-38.13080360867914
1739209786.8180373;-31.141103565318893
1739209786.8180468;-45.120503652039325
1739209786.8180566;-45.120503652039325
1739209786.8180661;-33.981070128970906
1739209786.818076;-45.120503652039325
1739209786.8180854;-45.120503652039325
1739209786.8180952;-45.120503652039325
1739209786.8181047;-38.13080360867914
1739209786.8181145;-45.120503652039325
1739209786.818124;-45.120503652039325
1739209786.8181338;-45.120503652039325
1739209786.8181434;-45.120503652039325
1739209786.8181531;-45.120503652039325
1739209786.8181627;-38.13080360867914
1739209786.8181722;-45.120503652039325
1739209786.818182;-45.120503652039325
1739209786.8181915;-45.120503652039325
1739209786.8182013;-38.13080360867914
1739209786.8182108;-38.13080360867914
1739209786.8182206;-45.120503652039325
1739209786.8182302;-45.120503652039325
1739209786.81824;-33.981070128970906
1739209786.8182495;-38.13080360867914
1739209786.8182592;-45.120503652039325
1739209786.8182688;-38.13080360867914
1739209786.8182786;-38.13080360867914
1739209786.818288;-38.13080360867914
1739209786.8182976;-45.120503652039325
1739209786.8183074;-45.120503652039325
1739209786.818317;-38.13080360867914
1739209786.8183267;-38.13080360867914
1739209786.8183362;-38.13080360867914
1739209786.818346;-45.120503652039325
1739209786.8183556;-45.120503652039325
1739209786.8183653;-45.120503652039325
1739209786.8183749;-38.13080360867914
1739209786.8183846;-32.816014438256545
1739209786.8183942;-38.13080360867914
1739209786.818404;-45.120503652039325
1739209786.8184135;-45.120503652039325
1739209786.818423;-32.816014438256545
1739209786.8184328;-35.57807855764607
1739209786.8184423;-45.120503652039325
1739209786.8184521;-38.13080360867914
1739209786.8184617;-45.120503652039325
1739209786.8184714;-45.120503652039325
1739209786.818481;-38.13080360867914
1739209786.8184907;-38.13080360867914
1739209786.8185003;-45.120503652039325
1739209786.81851;-45.120503652039325
1739209786.8185196;-38.13080360867914
1739209786.8185294;-38.13080360867914
1739209786.818539;-35.57807855764607
1739209786.8185484;-38.13080360867914
1739209786.8185582;-45.120503652039325
1739209786.8185678;-45.120503652039325
1739209786.8185775;-32.816014438256545
1739209786.818587;-33.981070128970906
1739209786.8185968;-45.120503652039325
1739209786.8186064;-38.13080360867914
1739209786.8186162;-35.57807855764607
1739209786.8186257;-38.13080360867914
1739209786.8186355;-45.120503652039325
1739209786.818645;-45.120503652039325
1739209786.8186548;-45.120503652039325
1739209786.8186643;-45.120503652039325
1739209786.8186738;-45.120503652039325
1739209786.8186836;-38.13080360867914
