CAN Message; 0x150:0400b8022dfc1245
Timestamp;Amplitude
1739209894.8419914;-35.57807855764607
1739209894.8419983;-26.991370085610722
1739209894.8420055;-45.120503652039325
1739209894.8420124;-45.120503652039325
1739209894.8420196;-38.13080360867914
1739209894.8420265;-35.57807855764607
1739209894.8420336;-45.120503652039325
1739209894.8420408;-45.120503652039325
1739209894.8420477;-45.120503652039325
1739209894.8420548;-38.13080360867914
1739209894.8420618;-45.120503652039325
1739209894.842069;-45.120503652039325
1739209894.8420758;-38.13080360867914
1739209894.842083;-45.120503652039325
1739209894.8420901;-38.13080360867914
1739209894.842097;-45.120503652039325
1739209894.8421042;-38.13080360867914
1739209894.842111;-33.981070128970906
1739209894.8421183;-38.13080360867914
1739209894.8421252;-38.13080360867914
1739209894.8421323;-38.13080360867914
1739209894.8421395;-33.981070128970906
1739209894.8421464;-45.120503652039325
1739209894.8421535;-45.120503652039325
1739209894.8421605;-38.13080360867914
1739209894.8421676;-33.981070128970906
1739209894.8421745;-45.120503652039325
1739209894.8421817;-45.120503652039325
1739209894.8421888;-38.13080360867914
1739209894.8421957;-38.13080360867914
1739209894.842203;-45.120503652039325
1739209894.8422098;-45.120503652039325
1739209894.842217;-38.13080360867914
1739209894.842224;-45.120503652039325
1739209894.842231;-45.120503652039325
1739209894.8422382;-38.13080360867914
1739209894.842245;-45.120503652039325
1739209894.8422523;-45.120503652039325
1739209894.8422592;-45.120503652039325
1739209894.8422663;-45.120503652039325
1739209894.8422732;-33.981070128970906
1739209894.8422804;-27.267205301931607
1739209894.8422875;-33.981070128970906
1739209894.8422945;-45.120503652039325
1739209894.8423016;-38.13080360867914
1739209894.8423085;-33.981070128970906
1739209894.8423157;-45.120503652039325
1739209894.8423226;-45.120503652039325
1739209894.8423297;-32.816014438256545
1739209894.842337;-33.981070128970906
1739209894.8423438;-38.13080360867914
1739209894.842351;-45.120503652039325
1739209894.8423579;-38.13080360867914
1739209894.842365;-38.13080360867914
1739209894.842372;-45.120503652039325
1739209894.842379;-45.120503652039325
1739209894.8423862;-38.13080360867914
1739209894.8423932;-31.141103565318915
1739209894.8424003;-38.13080360867914
1739209894.8424072;-45.120503652039325
1739209894.8424144;-38.13080360867914
1739209894.8424213;-30.49652367304973
1739209894.8424284;-45.120503652039325
1739209894.8424356;-45.120503652039325
1739209894.8424425;-38.13080360867914
1739209894.8424497;-38.13080360867914
1739209894.8424566;-45.120503652039325
1739209894.8424637;-45.120503652039325
1739209894.8424706;-33.981070128970906
1739209894.8424778;-33.981070128970906
1739209894.842485;-38.13080360867914
1739209894.8424919;-38.13080360867914
1739209894.842499;-35.57807855764607
1739209894.842506;-38.13080360867914
1739209894.842513;-38.13080360867914
1739209894.84252;-45.120503652039325
